2024
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/chikunbr.def
Chikungunya Fever
"Município de residência";"Jan";"Fev";"Mar";"Dez";"Total"
"250070 SAO JOAO DO RIO DO PEIXE";-;1;-;-;1
"250090 ARARA";-;1;1;-;2
"250100 ARARUNA";-;-;1;-;1
"250110 AREIA";2;5;1;-;8
"250130 AROEIRAS";4;5;18;-;27
"250135 ASSUNCAO";-;3;2;-;5
"250140 BAIA DA TRAICAO";-;-;2;-;2
"250157 BARRA DE SANTANA";2;-;1;-;3
"250160 BARRA DE SANTA ROSA";1;1;-;-;2
"250170 BARRA DE SAO MIGUEL";-;3;3;-;6
"250180 BAYEUX";2;2;6;-;10
"250200 BELEM DO BREJO DO CRUZ";-;-;1;-;1
"250215 BOA VISTA";-;1;-;-;1
"250230 BOM SUCESSO";-;2;-;-;2
"250240 BONITO DE SANTA FE";-;1;-;-;1
"250270 BORBOREMA";-;-;1;-;1
"250280 BREJO DO CRUZ";1;-;-;-;1
"250300 CAAPORA";-;1;5;-;6
"250310 CABACEIRAS";-;6;1;-;7
"250320 CABEDELO";3;8;2;-;13
"250330 CACHOEIRA DOS INDIOS";2;6;2;-;10
"250370 CAJAZEIRAS";-;1;5;-;6
"250390 CAMALAU";-;6;3;-;9
"250400 CAMPINA GRANDE";17;169;291;-;477
"250420 CATINGUEIRA";-;2;1;-;3
"250430 CATOLE DO ROCHA";-;1;2;-;3
"250435 CATURITE";1;1;1;-;3
"250450 CONDADO";-;3;2;-;5
"250460 CONDE";-;2;5;-;7
"250480 COREMAS";1;-;-;-;1
"250490 CRUZ DO ESPIRITO SANTO";-;3;-;-;3
"250500 CUBATI";-;-;2;-;2
"250510 CUITE";-;1;1;-;2
"250527 CURRAL DE CIMA";-;1;1;-;2
"250570 DONA INES";-;-;2;-;2
"250600 ESPERANCA";-;-;2;-;2
"250610 FAGUNDES";1;4;6;-;11
"250630 GUARABIRA";-;12;-;-;12
"250650 GURJAO";-;6;1;-;7
"250690 ITABAIANA";-;11;12;-;23
"250700 ITAPORANGA";-;-;-;1;1
"250710 ITAPOROROCA";-;-;5;-;5
"250720 ITATUBA";-;2;-;-;2
"250740 JERICO";-;-;1;-;1
"250750 JOAO PESSOA";68;102;48;4;222
"250770 JUAZEIRINHO";-;1;1;-;2
"250780 JUNCO DO SERIDO";-;-;1;-;1
"250790 JURIPIRANGA";-;1;3;-;4
"250800 JURU";-;1;-;-;1
"250820 LAGOA DE DENTRO";-;1;5;-;6
"250855 LOGRADOURO";-;1;-;-;1
"250860 LUCENA";3;7;2;-;12
"250870 MAE D'AGUA";1;-;1;-;2
"250905 MARCACAO";-;-;1;-;1
"250920 MASSARANDUBA";1;1;-;-;2
"250930 MATARACA";-;-;1;-;1
"250940 MOGEIRO";-;1;1;-;2
"250960 MONTE HOREBE";-;1;-;-;1
"250970 MONTEIRO";13;6;15;-;34
"250990 NATUBA";-;3;8;-;11
"251000 NAZAREZINHO";-;-;1;-;1
"251010 NOVA FLORESTA";1;2;-;-;3
"251030 NOVA PALMEIRA";-;-;1;-;1
"251050 OLIVEDOS";4;-;-;-;4
"251060 OURO VELHO";-;1;1;-;2
"251065 PARARI";-;2;-;-;2
"251080 PATOS";-;4;9;-;13
"251110 PEDRA LAVRADA";-;-;1;-;1
"251120 PEDRAS DE FOGO";-;3;1;-;4
"251130 PIANCO";-;1;-;-;1
"251140 PICUI";-;3;2;-;5
"251150 PILAR";-;1;5;-;6
"251160 PILOES";-;1;-;-;1
"251190 PITIMBU";1;1;1;-;3
"251200 POCINHOS";-;1;5;-;6
"251210 POMBAL";-;2;3;-;5
"251230 PRINCESA ISABEL";-;-;1;-;1
"251240 PUXINANA";1;1;1;1;4
"251250 QUEIMADAS";4;27;58;-;89
"251272 PEDRO REGIS";-;1;-;-;1
"251274 RIACHAO";-;-;1;-;1
"251275 RIACHAO DO BACAMARTE";-;-;1;-;1
"251278 RIACHO DE SANTO ANTONIO";1;1;-;-;2
"251280 RIACHO DOS CAVALOS";-;-;1;-;1
"251290 RIO TINTO";-;1;1;-;2
"251310 SALGADO DE SAO FELIX";-;-;1;-;1
"251315 SANTA CECILIA";-;1;-;-;1
"251320 SANTA CRUZ";-;3;-;-;3
"251340 SANTA LUZIA";-;1;-;-;1
"251370 SANTA RITA";3;5;25;1;34
"251445 SAO JOSE DOS RAMOS";-;5;1;-;6
"251465 SAO JOSE DO BREJO DO CRUZ";-;1;-;-;1
"251510 SAO SEBASTIAO DE LAGOA DE ROCA";2;2;9;-;13
"251520 SAO SEBASTIAO DO UMBUZEIRO";1;-;-;-;1
"251530 SAPE";3;6;1;-;10
"251540 SAO VICENTE DO SERIDO";1;5;1;-;7
"251550 SERRA BRANCA";-;-;1;-;1
"251560 SERRA DA RAIZ";-;1;-;-;1
"251600 SOLANEA";-;1;-;-;1
"251610 SOLEDADE";2;-;3;-;5
"251615 SOSSEGO";-;1;-;-;1
"251630 SUME";-;5;3;-;8
"251640 TACIMA";-;1;-;-;1
"251650 TAPEROA";2;1;-;-;3
"251670 TEIXEIRA";-;1;1;-;2
"251690 UIRAUNA";1;-;-;-;1
"251700 UMBUZEIRO";-;3;1;-;4
"251710 VARZEA";-;5;4;-;9
"251740 ZABELE";1;12;3;-;16
"260005 ABREU E LIMA";7;4;4;-;15
"260010 AFOGADOS DA INGAZEIRA";-;4;-;-;4
"260020 AFRANIO";1;2;2;-;5
"260030 AGRESTINA";-;5;12;-;17
"260040 AGUA PRETA";1;-;-;-;1
"260060 ALAGOINHA";1;-;-;-;1
"260070 ALIANCA";-;15;21;-;36
"260080 ALTINHO";1;1;-;-;2
"260090 AMARAJI";-;17;19;-;36
"260105 ARACOIABA";-;2;-;-;2
"260110 ARARIPINA";12;33;40;-;85
"260120 ARCOVERDE";5;2;1;-;8
"260130 BARRA DE GUABIRABA";-;3;-;-;3
"260140 BARREIROS";1;2;3;-;6
"260160 BELEM DE SAO FRANCISCO";9;42;32;-;83
"260170 BELO JARDIM";1;-;2;-;3
"260190 BEZERROS";3;10;30;-;43
"260200 BODOCO";-;1;-;-;1
"260220 BOM JARDIM";1;2;-;-;3
"260230 BONITO";-;5;-;-;5
"260250 BREJINHO";-;1;-;-;1
"260260 BREJO DA MADRE DE DEUS";2;2;7;-;11
"260280 BUIQUE";5;13;6;1;25
"260290 CABO DE SANTO AGOSTINHO";9;25;5;-;39
"260300 CABROBO";-;3;3;-;6
"260310 CACHOEIRINHA";1;4;2;-;7
"260340 CALUMBI";-;1;-;-;1
"260345 CAMARAGIBE";8;14;6;-;28
"260360 CAMUTANGA";-;7;14;-;21
"260380 CAPOEIRAS";1;-;-;-;1
"260392 CARNAUBEIRA DA PENHA";-;1;-;-;1
"260400 CARPINA";1;1;1;-;3
"260410 CARUARU";34;95;135;1;265
"260420 CATENDE";-;-;1;-;1
"260430 CEDRO";5;1;-;-;6
"260440 CHA DE ALEGRIA";-;46;14;-;60
"260450 CHA GRANDE";1;2;1;-;4
"260460 CONDADO";1;24;115;-;140
"260500 CUPIRA";5;6;2;-;13
"260510 CUSTODIA";1;13;4;-;18
"260515 DORMENTES";-;4;2;-;6
"260520 ESCADA";-;1;-;-;1
"260530 EXU";5;18;2;-;25
"260540 FEIRA NOVA";-;2;-;-;2
"260545 FERNANDO DE NORONHA";-;4;1;-;5
"260550 FERREIROS";2;4;50;-;56
"260570 FLORESTA";1;2;2;-;5
"260590 GAMELEIRA";1;11;3;-;15
"260600 GARANHUNS";2;8;9;-;19
"260620 GOIANA";9;36;100;-;145
"260630 GRANITO";1;7;13;-;21
"260640 GRAVATA";41;100;104;-;245
"260660 IBIMIRIM";-;-;1;-;1
"260680 IGARASSU";2;5;4;-;11
"260690 IGUARACY";1;-;-;-;1
"260700 INAJA";-;1;2;-;3
"260720 IPOJUCA";22;50;30;-;102
"260740 ITACURUBA";-;3;1;-;4
"260760 ILHA DE ITAMARACA";-;-;1;-;1
"260765 ITAMBE";-;2;3;-;5
"260770 ITAPETIM";-;1;1;-;2
"260780 ITAQUITINGA";4;50;126;-;180
"260790 JABOATAO DOS GUARARAPES";21;18;19;1;59
"260795 JAQUEIRA";-;-;1;-;1
"260800 JATAUBA";-;3;2;-;5
"260805 JATOBA";1;2;-;-;3
"260810 JOAO ALFREDO";-;2;-;-;2
"260825 JUCATI";-;2;3;-;5
"260840 JUREMA";-;9;1;-;10
"260860 LAGOA DO OURO";-;1;-;-;1
"260870 LAGOA DOS GATOS";-;1;-;-;1
"260875 LAGOA GRANDE";-;9;12;-;21
"260880 LAJEDO";1;2;2;-;5
"260890 LIMOEIRO";5;8;8;-;21
"260900 MACAPARANA";2;14;-;-;16
"260910 MACHADOS";2;1;1;-;4
"260915 MANARI";-;1;1;-;2
"260920 MARAIAL";-;-;2;-;2
"260930 MIRANDIBA";-;26;33;-;59
"260940 MORENO";1;19;37;-;57
"260950 NAZARE DA MATA";-;-;2;-;2
"260960 OLINDA";17;16;18;1;52
"260970 OROBO";1;1;4;-;6
"260980 OROCO";-;-;1;-;1
"260990 OURICURI";2;7;3;1;13
"261000 PALMARES";-;10;4;-;14
"261020 PANELAS";-;2;1;-;3
"261040 PARNAMIRIM";9;10;11;-;30
"261050 PASSIRA";-;3;-;-;3
"261060 PAUDALHO";1;1;3;-;5
"261070 PAULISTA";68;77;21;4;170
"261080 PEDRA";1;2;9;-;12
"261090 PESQUEIRA";-;1;-;-;1
"261100 PETROLANDIA";1;-;-;-;1
"261110 PETROLINA";14;61;66;-;141
"261150 QUIPAPA";8;20;79;-;107
"261160 RECIFE";103;314;172;3;592
"261170 RIACHO DAS ALMAS";-;-;11;-;11
"261180 RIBEIRAO";-;1;-;-;1
"261190 RIO FORMOSO";-;1;-;-;1
"261220 SALGUEIRO";1;47;64;-;112
"261240 SANHARO";1;1;3;-;5
"261245 SANTA CRUZ";-;2;1;-;3
"261250 SANTA CRUZ DO CAPIBARIBE";12;24;23;-;59
"261255 SANTA FILOMENA";-;-;4;-;4
"261260 SANTA MARIA DA BOA VISTA";-;4;1;-;5
"261310 SAO CAITANO";-;3;-;-;3
"261320 SAO JOAO";-;3;1;-;4
"261330 SAO JOAQUIM DO MONTE";-;2;3;-;5
"261340 SAO JOSE DA COROA GRANDE";-;3;3;-;6
"261350 SAO JOSE DO BELMONTE";1;3;1;-;5
"261370 SAO LOURENCO DA MATA";3;9;3;-;15
"261380 SAO VICENTE FERRER";5;21;51;-;77
"261390 SERRA TALHADA";-;2;1;-;3
"261400 SERRITA";-;4;9;-;13
"261410 SERTANIA";1;2;-;-;3
"261420 SIRINHAEM";-;2;7;-;9
"261430 MOREILANDIA";-;-;1;-;1
"261450 SURUBIM";-;-;1;-;1
"261460 TABIRA";1;-;1;-;2
"261480 TACARATU";1;3;-;-;4
"261500 TAQUARITINGA DO NORTE";1;1;-;-;2
"261520 TERRA NOVA";5;30;21;-;56
"261530 TIMBAUBA";9;24;54;1;88
"261540 TORITAMA";1;-;1;-;2
"261580 TUPANATINGA";-;2;-;-;2
"261600 VENTUROSA";-;-;1;-;1
"261610 VERDEJANTE";-;3;4;-;7
"261640 VITORIA DE SANTO ANTAO";3;16;7;-;26
"261650 XEXEU";-;2;-;-;2
"270010 AGUA BRANCA";1;-;-;-;1
"270020 ANADIA";-;1;-;-;1
"270030 ARAPIRACA";2;1;-;-;3
"270040 ATALAIA";-;-;2;-;2
"270060 BARRA DE SAO MIGUEL";-;3;-;-;3
"270110 BRANQUINHA";-;-;4;-;4
"270170 CAPELA";1;1;3;-;5
"270230 CORURIPE";-;-;2;-;2
"270320 IGREJA NOVA";-;1;1;-;2
"270360 JAPARATINGA";-;5;-;-;5
"270380 JOAQUIM GOMES";-;-;3;-;3
"270400 JUNQUEIRO";-;2;-;-;2
"270420 LIMOEIRO DE ANADIA";-;-;1;-;1
"270430 MACEIO";26;34;3;-;63
"270450 MARAGOGI";-;3;-;-;3
"270470 MARECHAL DEODORO";-;4;1;-;5
"270510 MATRIZ DE CAMARAGIBE";-;-;1;-;1
"270530 MINADOR DO NEGRAO";-;-;1;-;1
"270540 MONTEIROPOLIS";-;1;-;-;1
"270550 MURICI";-;1;-;-;1
"270590 OLHO D'AGUA GRANDE";-;-;1;-;1
"270660 PAULO JACINTO";-;1;-;-;1
"270670 PENEDO";-;2;1;-;3
"270690 PILAR";-;-;2;-;2
"270720 POCO DAS TRINCHEIRAS";1;-;-;-;1
"270730 PORTO CALVO";-;2;-;-;2
"270750 PORTO REAL DO COLEGIO";1;-;-;-;1
"270760 QUEBRANGULO";-;1;-;-;1
"270790 SANTA LUZIA DO NORTE";-;1;-;-;1
"270800 SANTANA DO IPANEMA";1;-;2;-;3
"270820 SAO BRAS";1;-;-;-;1
"270830 SAO JOSE DA LAJE";-;1;1;-;2
"270840 SAO JOSE DA TAPERA";-;-;1;-;1
"270850 SAO LUIS DO QUITUNDE";-;1;-;-;1
"270860 SAO MIGUEL DOS CAMPOS";1;-;1;-;2
"270870 SAO MIGUEL DOS MILAGRES";-;-;1;-;1
"270880 SAO SEBASTIAO";-;1;-;-;1
"270895 SENADOR RUI PALMEIRA";-;-;1;-;1
"270915 TEOTONIO VILELA";3;-;1;-;4
"270930 UNIAO DOS PALMARES";-;3;2;-;5
"270940 VICOSA";-;1;2;-;3
"280010 AMPARO DE SAO FRANCISCO";-;-;1;-;1
"280030 ARACAJU";39;39;35;1;114
"280040 ARAUA";2;6;2;-;10
"280050 AREIA BRANCA";2;1;1;-;4
"280060 BARRA DOS COQUEIROS";4;24;25;-;53
"280067 BOQUIM";1;2;1;-;4
"280100 CAMPO DO BRITO";1;-;-;-;1
"280120 CANINDE DE SAO FRANCISCO";-;3;-;-;3
"280130 CAPELA";-;4;4;-;8
"280160 CEDRO DE SAO JOAO";1;-;-;-;1
"280170 CRISTINAPOLIS";3;2;4;-;9
"280200 DIVINA PASTORA";-;-;1;-;1
"280210 ESTANCIA";6;7;9;-;22
"280220 FEIRA NOVA";-;-;1;-;1
"280230 FREI PAULO";-;1;-;-;1
"280240 GARARU";1;7;-;-;8
"280280 INDIAROBA";-;13;2;-;15
"280290 ITABAIANA";2;17;9;-;28
"280300 ITABAIANINHA";3;-;4;-;7
"280310 ITABI";1;-;-;-;1
"280320 ITAPORANGA D'AJUDA";1;4;-;-;5
"280330 JAPARATUBA";1;1;-;-;2
"280340 JAPOATA";-;14;5;-;19
"280350 LAGARTO";1;5;6;1;13
"280360 LARANJEIRAS";-;4;-;-;4
"280380 MALHADA DOS BOIS";1;2;3;-;6
"280390 MALHADOR";-;1;1;-;2
"280400 MARUIM";-;1;-;-;1
"280410 MOITA BONITA";1;15;7;-;23
"280420 MONTE ALEGRE DE SERGIPE";9;24;32;-;65
"280430 MURIBECA";-;2;-;-;2
"280440 NEOPOLIS";7;35;3;-;45
"280445 NOSSA SENHORA APARECIDA";-;-;3;-;3
"280450 NOSSA SENHORA DA GLORIA";-;1;-;-;1
"280460 NOSSA SENHORA DAS DORES";2;2;2;-;6
"280470 NOSSA SENHORA DE LOURDES";-;-;3;-;3
"280480 NOSSA SENHORA DO SOCORRO";10;13;9;-;32
"280490 PACATUBA";-;-;1;-;1
"280520 PINHAO";1;5;6;-;12
"280540 POCO REDONDO";1;-;-;-;1
"280560 PORTO DA FOLHA";-;2;1;-;3
"280570 PROPRIA";3;3;5;-;11
"280600 RIBEIROPOLIS";1;-;1;-;2
"280610 ROSARIO DO CATETE";-;17;3;-;20
"280630 SANTA LUZIA DO ITANHY";3;-;1;-;4
"280640 SANTANA DO SAO FRANCISCO";-;2;-;-;2
"280670 SAO CRISTOVAO";45;146;144;-;335
"280710 SIMAO DIAS";12;16;5;2;35
"280730 TELHA";1;-;-;-;1
"280740 TOBIAS BARRETO";3;23;24;-;50
"280760 UMBAUBA";-;1;-;-;1
"290030 ACAJUTIBA";-;2;-;-;2
"290040 AGUA FRIA";-;-;1;-;1
"290070 ALAGOINHAS";4;10;6;-;20
"290080 ALCOBACA";1;25;31;-;57
"290115 AMERICA DOURADA";-;3;8;-;11
"290120 ANAGE";-;16;9;-;25
"290150 ANGUERA";1;1;-;-;2
"290170 ANTONIO CARDOSO";-;-;2;-;2
"290180 ANTONIO GONCALVES";-;-;1;-;1
"290205 ARACAS";-;2;2;-;4
"290210 ARACI";3;4;1;-;8
"290230 ARATUIPE";-;-;1;-;1
"290240 AURELINO LEAL";1;3;-;-;4
"290270 BARRA";-;6;-;-;6
"290290 BARRA DO CHOCA";1;10;10;-;21
"290300 BARRA DO MENDES";1;-;-;-;1
"290310 BARRA DO ROCHA";-;1;2;-;3
"290320 BARREIRAS";11;44;7;-;62
"290323 BARRO ALTO";-;1;-;-;1
"290327 BARROCAS";1;-;-;-;1
"290330 BARRO PRETO";-;3;2;-;5
"290340 BELMONTE";1;3;9;-;13
"290370 BOA NOVA";-;2;6;-;8
"290380 BOA VISTA DO TUPIM";-;3;1;-;4
"290390 BOM JESUS DA LAPA";2;1;1;-;4
"290395 BOM JESUS DA SERRA";-;-;3;-;3
"290405 BONITO";15;1;-;-;16
"290410 BOQUIRA";2;1;-;-;3
"290420 BOTUPORA";1;-;-;-;1
"290430 BREJOES";1;1;2;-;4
"290450 BROTAS DE MACAUBAS";-;5;42;-;47
"290460 BRUMADO";1;9;1;-;11
"290470 BUERAREMA";-;3;-;-;3
"290475 BURITIRAMA";-;3;1;-;4
"290485 CABACEIRAS DO PARAGUACU";-;1;-;-;1
"290490 CACHOEIRA";-;1;-;-;1
"290500 CACULE";-;29;1;-;30
"290515 CAETANOS";6;8;1;-;15
"290520 CAETITE";-;5;4;-;9
"290530 CAFARNAUM";2;-;-;-;2
"290550 CALDEIRAO GRANDE";-;2;-;-;2
"290560 CAMACAN";-;11;18;-;29
"290570 CAMACARI";12;47;35;-;94
"290580 CAMAMU";-;1;-;-;1
"290590 CAMPO ALEGRE DE LOURDES";-;5;9;-;14
"290600 CAMPO FORMOSO";-;1;2;-;3
"290620 CANARANA";-;1;2;-;3
"290630 CANAVIEIRAS";-;8;7;-;15
"290650 CANDEIAS";-;4;1;-;5
"290670 CANDIDO SALES";-;5;6;-;11
"290687 CAPIM GROSSO";-;8;-;-;8
"290689 CARAIBAS";-;1;-;-;1
"290690 CARAVELAS";-;1;1;-;2
"290710 CARINHANHA";6;9;3;-;18
"290720 CASA NOVA";1;2;-;-;3
"290730 CASTRO ALVES";3;33;25;-;61
"290750 CATU";-;4;-;-;4
"290755 CATURAMA";-;4;1;-;5
"290760 CENTRAL";-;4;3;-;7
"290770 CHORROCHO";-;2;-;-;2
"290800 COARACI";1;5;4;-;10
"290810 COCOS";1;-;-;-;1
"290830 CONCEICAO DO ALMEIDA";-;-;1;-;1
"290840 CONCEICAO DO COITE";-;1;-;-;1
"290850 CONCEICAO DO JACUIPE";-;1;-;-;1
"290860 CONDE";1;-;-;-;1
"290870 CONDEUBA";23;12;35;-;70
"290880 CONTENDAS DO SINCORA";-;1;-;-;1
"290900 CORDEIROS";2;3;1;-;6
"290960 CRISOPOLIS";-;-;1;-;1
"290970 CRISTOPOLIS";-;1;-;-;1
"290980 CRUZ DAS ALMAS";-;1;-;-;1
"290990 CURACA";-;3;-;-;3
"291000 DARIO MEIRA";-;2;2;-;4
"291040 ENCRUZILHADA";93;22;9;-;124
"291060 ESPLANADA";-;4;11;-;15
"291070 EUCLIDES DA CUNHA";-;-;1;-;1
"291072 EUNAPOLIS";7;10;2;-;19
"291077 FEIRA DA MATA";-;-;1;-;1
"291080 FEIRA DE SANTANA";5;10;14;-;29
"291085 FILADELFIA";1;4;-;-;5
"291090 FIRMINO ALVES";-;-;1;-;1
"291100 FLORESTA AZUL";-;1;-;-;1
"291110 FORMOSA DO RIO PRETO";-;1;-;-;1
"291120 GANDU";4;29;1;-;34
"291130 GENTIO DO OURO";1;-;-;-;1
"291150 GONGOGI";-;1;1;-;2
"291165 GUAJERU";-;-;1;-;1
"291170 GUANAMBI";28;114;130;-;272
"291190 IACU";2;4;1;-;7
"291210 IBICARAI";1;2;-;-;3
"291230 IBICUI";-;1;1;-;2
"291240 IBIPEBA";-;1;2;-;3
"291250 IBIPITANGA";-;2;-;-;2
"291270 IBIRAPITANGA";-;2;-;-;2
"291280 IBIRAPUA";1;211;703;-;915
"291290 IBIRATAIA";1;-;2;-;3
"291300 IBITIARA";17;37;-;3;57
"291320 IBOTIRAMA";-;48;87;-;135
"291340 IGAPORA";1;1;1;-;3
"291350 IGUAI";-;16;25;-;41
"291360 ILHEUS";23;121;129;-;273
"291380 IPECAETA";-;-;1;-;1
"291390 IPIAU";1;59;150;-;210
"291440 IRAQUARA";-;-;2;-;2
"291460 IRECE";3;4;-;-;7
"291465 ITABELA";5;4;2;-;11
"291470 ITABERABA";1;2;-;-;3
"291480 ITABUNA";6;22;3;-;31
"291490 ITACARE";-;-;1;-;1
"291520 ITAGIBA";1;6;1;-;8
"291535 ITAGUACU DA BAHIA";1;-;-;-;1
"291540 ITAJU DO COLONIA";1;-;-;-;1
"291560 ITAMARAJU";2;9;5;-;16
"291580 ITAMBE";-;3;2;-;5
"291600 ITANHEM";-;4;3;-;7
"291610 ITAPARICA";3;30;8;-;41
"291620 ITAPE";1;-;1;-;2
"291630 ITAPEBI";-;-;1;-;1
"291640 ITAPETINGA";8;5;4;-;17
"291660 ITAPITANGA";1;15;10;-;26
"291670 ITAQUARA";-;3;-;-;3
"291685 ITATIM";1;10;14;-;25
"291690 ITIRUCU";-;-;1;-;1
"291720 ITUACU";1;2;-;-;3
"291730 ITUBERA";-;-;2;-;2
"291733 IUIU";-;-;1;-;1
"291735 JABORANDI";-;1;-;-;1
"291740 JACARACI";5;3;1;-;9
"291750 JACOBINA";3;2;-;-;5
"291760 JAGUAQUARA";-;8;-;-;8
"291770 JAGUARARI";2;-;4;-;6
"291800 JEQUIE";1;2;3;-;6
"291810 JEREMOABO";-;-;1;-;1
"291820 JIQUIRICA";1;-;2;-;3
"291835 JOAO DOURADO";1;8;-;-;9
"291840 JUAZEIRO";2;9;4;-;15
"291880 LAJE";-;-;2;-;2
"291890 LAJEDAO";1;2;-;-;3
"291905 LAJEDO DO TABOCAL";-;-;1;-;1
"291915 LAPAO";7;11;10;-;28
"291920 LAURO DE FREITAS";2;4;6;-;12
"291930 LENCOIS";-;-;1;-;1
"291940 LICINIO DE ALMEIDA";-;-;1;-;1
"291950 LIVRAMENTO DE NOSSA SENHORA";-;1;-;-;1
"291955 LUIS EDUARDO MAGALHAES";5;-;-;-;5
"291960 MACAJUBA";3;4;9;-;16
"291970 MACARANI";2;8;9;-;19
"291980 MACAUBAS";13;3;-;1;17
"291990 MACURURE";-;5;1;-;6
"291992 MADRE DE DEUS";2;-;-;-;2
"291995 MAETINGA";-;4;-;-;4
"292000 MAIQUINIQUE";3;-;-;-;3
"292010 MAIRI";3;8;-;1;12
"292030 MALHADA DE PEDRAS";-;5;3;-;8
"292040 MANOEL VITORINO";-;-;1;-;1
"292050 MARACAS";2;-;3;-;5
"292060 MARAGOGIPE";-;-;1;-;1
"292070 MARAU";-;1;-;-;1
"292080 MARCIONILIO SOUZA";-;2;-;-;2
"292090 MASCOTE";-;4;14;-;18
"292100 MATA DE SAO JOAO";-;2;3;-;5
"292105 MATINA";-;2;1;-;3
"292110 MEDEIROS NETO";3;17;14;-;34
"292120 MIGUEL CALMON";-;3;-;-;3
"292145 MIRANTE";-;1;-;-;1
"292160 MORPARA";-;10;2;-;12
"292170 MORRO DO CHAPEU";-;-;3;-;3
"292180 MORTUGABA";-;9;-;-;9
"292200 MUCURI";-;2;2;-;4
"292205 MULUNGU DO MORRO";2;11;3;-;16
"292220 MUNIZ FERREIRA";-;1;2;-;3
"292225 MUQUEM DE SAO FRANCISCO";-;5;7;-;12
"292230 MURITIBA";1;-;3;-;4
"292250 NAZARE";10;35;72;-;117
"292265 NORDESTINA";1;-;-;-;1
"292275 NOVA IBIA";-;1;-;-;1
"292280 NOVA ITARANA";-;4;3;-;7
"292300 NOVA VICOSA";1;2;-;-;3
"292303 NOVO HORIZONTE";1;1;-;-;2
"292305 NOVO TRIUNFO";-;1;-;-;1
"292310 OLINDINA";-;-;1;-;1
"292320 OLIVEIRA DOS BREJINHOS";-;1;2;-;3
"292330 OURICANGAS";-;-;1;-;1
"292335 OUROLANDIA";-;5;-;-;5
"292340 PALMAS DE MONTE ALTO";-;-;2;-;2
"292370 PARATINGA";-;2;-;-;2
"292380 PARIPIRANGA";1;-;-;-;1
"292400 PAULO AFONSO";5;17;12;-;34
"292420 PEDRO ALEXANDRE";-;1;-;-;1
"292460 PINDOBACU";-;2;9;-;11
"292467 PIRAI DO NORTE";-;-;4;-;4
"292470 PIRIPA";21;61;26;1;109
"292480 PIRITIBA";1;-;3;-;4
"292500 PLANALTO";1;9;16;-;26
"292525 PONTO NOVO";-;1;-;-;1
"292530 PORTO SEGURO";4;13;24;-;41
"292540 POTIRAGUA";-;1;2;-;3
"292550 PRADO";-;12;21;-;33
"292560 PRESIDENTE DUTRA";-;9;3;-;12
"292570 PRESIDENTE JANIO QUADROS";2;7;2;-;11
"292575 PRESIDENTE TANCREDO NEVES";2;1;1;-;4
"292590 QUIJINGUE";-;2;-;-;2
"292593 QUIXABEIRA";-;-;1;-;1
"292600 REMANSO";-;6;3;-;9
"292620 RIACHAO DAS NEVES";-;1;-;-;1
"292630 RIACHAO DO JACUIPE";2;27;32;-;61
"292640 RIACHO DE SANTANA";-;-;1;-;1
"292650 RIBEIRA DO AMPARO";-;1;-;-;1
"292660 RIBEIRA DO POMBAL";-;9;-;-;9
"292665 RIBEIRAO DO LARGO";-;4;6;-;10
"292670 RIO DE CONTAS";-;-;1;-;1
"292680 RIO DO ANTONIO";1;1;2;-;4
"292710 RODELAS";-;-;1;-;1
"292720 RUY BARBOSA";1;1;-;-;2
"292730 SALINAS DA MARGARIDA";-;8;5;-;13
"292740 SALVADOR";47;107;55;4;213
"292770 SANTA CRUZ CABRALIA";2;20;29;-;51
"292780 SANTA CRUZ DA VITORIA";-;-;2;-;2
"292810 SANTA MARIA DA VITORIA";-;-;1;-;1
"292840 SANTA RITA DE CASSIA";-;1;-;-;1
"292870 SANTO ANTONIO DE JESUS";17;141;263;-;421
"292880 SANTO ESTEVAO";3;6;4;-;13
"292890 SAO DESIDERIO";9;66;10;-;85
"292905 SAO FELIX DO CORIBE";-;-;1;-;1
"292910 SAO FELIPE";-;3;2;-;5
"292920 SAO FRANCISCO DO CONDE";-;1;-;-;1
"292925 SAO GABRIEL";1;-;-;-;1
"292935 SAO JOSE DA VITORIA";-;1;-;-;1
"292940 SAO MIGUEL DAS MATAS";-;-;1;-;1
"292950 SAO SEBASTIAO DO PASSE";2;1;1;-;4
"292960 SAPEACU";-;2;-;-;2
"292990 SEABRA";6;57;52;-;115
"293000 SEBASTIAO LARANJEIRAS";-;-;5;-;5
"293010 SENHOR DO BONFIM";-;1;1;1;3
"293050 SERRINHA";1;5;10;-;16
"293060 SERROLANDIA";5;2;-;-;7
"293070 SIMOES FILHO";5;10;4;-;19
"293077 SOBRADINHO";-;5;4;-;9
"293080 SOUTO SOARES";1;3;-;-;4
"293100 TANHACU";3;4;6;-;13
"293105 TANQUE NOVO";2;-;1;-;3
"293110 TANQUINHO";-;5;1;-;6
"293130 TAPIRAMUTA";-;-;1;-;1
"293135 TEIXEIRA DE FREITAS";164;892;662;-;1718
"293140 TEODORO SAMPAIO";-;1;-;-;1
"293170 TERRA NOVA";-;-;1;-;1
"293180 TREMEDAL";1;3;1;-;5
"293200 UAUA";-;2;1;-;3
"293240 UIBAI";-;1;-;-;1
"293260 URANDI";-;2;2;-;4
"293270 URUCUCA";2;1;1;-;4
"293290 VALENCA";-;8;-;-;8
"293300 VALENTE";-;1;-;-;1
