2016
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/denguebbr.def
"Município de notificação";"Em Branco/ign";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Semana 44";"Semana 45";"Semana 46";"Semana 47";"Semana 48";"Semana 49";"Semana 50";"Semana 51";"Semana 52";"Semana 53";"Total"
"110026 RIO CRESPO";-;7;12;7;13;6;-;5;15;5;6;3;6;11;10;6;7;6;10;3;1;3;3;-;-;3;1;1;1;-;1;2;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;2;-;-;161
"110028 ROLIM DE MOURA";-;70;44;129;100;57;75;88;235;181;251;98;94;47;35;40;32;29;33;32;31;29;21;13;18;22;17;12;10;11;21;15;11;13;5;8;7;9;9;4;11;5;4;2;5;12;6;10;7;15;23;18;16;-;2090
"110029 SANTA LUZIA D'OESTE";-;23;22;20;19;11;7;9;33;35;25;19;7;1;1;1;2;4;1;6;6;4;-;4;2;1;-;3;-;-;-;1;1;-;-;1;-;1;1;-;6;-;1;1;2;6;3;16;13;4;13;17;9;-;362
"110030 VILHENA";-;151;172;152;170;129;223;173;179;176;244;167;151;196;142;164;131;84;128;111;95;76;67;58;62;66;38;50;34;33;33;35;32;34;26;16;26;19;12;36;21;18;68;28;55;40;44;110;95;102;146;83;47;1;4749
"110032 SAO MIGUEL DO GUAPORE";-;10;22;46;9;7;8;24;29;18;12;4;4;4;-;6;3;3;4;7;17;13;3;5;4;2;1;-;1;-;-;-;1;-;-;-;-;-;-;-;1;1;1;2;-;-;2;2;2;13;10;1;6;-;308
"110033 NOVA MAMORE";-;11;24;27;40;47;40;33;29;42;52;49;34;29;37;16;28;21;33;19;15;12;6;10;5;5;5;4;10;2;2;3;1;-;2;-;-;-;-;-;4;1;3;2;3;3;2;6;10;10;7;13;19;-;776
"110034 ALVORADA D'OESTE";-;50;39;36;19;23;27;17;17;9;6;9;13;10;6;3;6;3;4;1;1;2;1;1;-;-;-;1;-;-;1;-;1;-;2;-;-;-;-;-;-;-;-;-;2;1;4;7;31;31;28;31;27;-;470
"110037 ALTO ALEGRE DOS PARECIS";-;14;20;10;25;7;7;9;6;7;9;9;4;4;4;2;2;7;-;5;-;1;3;-;2;-;-;-;-;1;-;-;1;-;-;-;-;-;3;1;6;10;21;24;13;5;2;7;20;7;11;8;4;-;301
"110040 ALTO PARAISO";-;7;14;5;12;12;5;6;3;12;14;15;5;9;2;5;1;3;13;5;1;5;4;7;2;2;-;1;1;2;3;-;-;1;-;1;-;-;-;-;-;4;4;2;1;8;7;5;2;4;3;5;-;-;223
"110045 BURITIS";-;75;69;87;115;93;94;105;76;102;48;56;44;34;37;21;39;22;31;17;27;14;23;18;19;24;17;23;11;12;13;5;7;5;5;7;11;7;9;9;6;11;9;7;9;9;24;20;22;28;42;39;40;6;1703
"110050 NOVO HORIZONTE DO OESTE";-;1;4;1;4;7;6;20;18;20;17;14;4;2;2;-;1;-;1;2;-;1;2;1;1;-;-;-;-;1;1;-;-;-;-;-;-;-;-;1;-;1;-;-;4;3;2;-;-;1;-;-;2;-;145
"110060 CACAULANDIA";-;21;16;28;24;35;35;32;33;26;32;18;8;7;5;6;5;8;18;11;5;9;7;2;2;1;1;3;2;-;-;2;-;-;1;-;-;-;1;-;-;-;2;-;-;-;1;1;5;3;9;5;6;-;436
"110070 CAMPO NOVO DE RONDONIA";-;12;9;8;10;4;6;8;10;12;10;11;8;4;5;6;5;1;-;4;2;-;-;-;3;3;1;1;3;-;1;-;1;1;2;2;-;-;-;-;1;1;1;1;2;1;5;2;6;15;20;17;9;-;234
"110080 CANDEIAS DO JAMARI";-;18;7;13;12;7;9;13;19;32;33;21;5;4;5;14;4;2;9;4;3;4;-;-;13;4;1;3;3;-;1;2;3;1;-;1;-;1;-;-;1;-;-;-;-;-;5;1;7;2;6;1;2;-;296
"110090 CASTANHEIRAS";-;4;6;7;2;6;5;13;14;13;5;5;5;4;4;4;1;1;2;2;3;2;2;-;-;1;3;-;1;-;-;1;-;1;-;1;-;1;-;-;1;1;2;1;6;3;-;5;4;7;5;-;-;-;154
"110092 CHUPINGUAIA";-;16;13;21;12;9;15;25;22;38;37;14;18;17;18;13;16;18;13;14;13;16;10;5;10;5;5;8;9;5;5;1;3;3;-;4;6;-;1;3;1;3;1;2;2;1;5;5;-;3;1;-;2;1;488
"110094 CUJUBIM";-;10;8;13;6;16;17;22;31;35;27;27;19;16;10;13;9;4;8;3;12;6;1;4;2;4;3;2;3;1;4;2;2;4;-;1;-;1;1;3;1;1;3;1;-;2;-;7;14;7;11;14;14;-;425
"110100 GOVERNADOR JORGE TEIXEIRA";-;5;1;-;5;5;2;4;3;1;2;1;2;3;1;-;2;-;1;2;3;1;-;-;1;3;1;2;12;1;-;1;2;-;1;-;5;6;6;15;3;4;3;7;8;7;10;14;4;3;11;6;6;-;186
"110110 ITAPUA DO OESTE";-;12;15;15;25;18;24;26;26;33;22;19;19;11;9;7;2;-;5;7;5;14;10;5;11;4;13;8;7;8;5;2;2;3;3;1;1;2;1;2;-;-;1;1;-;-;-;23;12;7;4;2;-;-;452
"110120 MINISTRO ANDREAZZA";-;12;8;8;11;6;11;4;7;5;26;7;7;8;5;3;3;2;3;2;4;1;1;1;2;1;1;-;1;1;1;1;-;-;-;-;-;-;1;-;-;-;-;2;1;-;1;1;5;5;13;3;2;-;187
"110130 MIRANTE DA SERRA";-;4;7;8;11;6;6;20;9;5;2;4;4;5;10;12;7;4;7;2;2;5;3;8;8;6;6;1;5;-;7;6;3;2;-;-;4;1;1;1;2;-;-;-;1;1;-;3;-;-;3;19;4;-;235
"110140 MONTE NEGRO";-;32;15;19;10;13;21;25;16;14;20;15;17;26;16;14;11;4;6;7;3;2;3;4;9;3;3;-;2;6;-;2;2;3;1;1;3;1;1;1;2;2;7;9;18;16;48;45;42;38;24;15;20;-;637
"110143 NOVA UNIAO";-;-;2;-;1;1;1;3;4;1;6;6;3;3;5;2;-;2;2;6;1;-;2;4;-;-;1;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;1;-;-;63
"110145 PARECIS";-;8;10;32;15;16;18;20;9;12;22;17;14;13;14;9;8;1;3;2;3;1;2;7;2;3;-;1;-;1;-;-;2;3;1;1;-;4;3;6;-;2;2;2;2;-;3;1;3;7;-;7;1;3;316
"110146 PIMENTEIRAS DO OESTE";-;-;3;11;8;4;15;14;21;9;10;13;13;2;2;1;1;1;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;1;-;-;2;-;137
"110147 PRIMAVERA DE RONDONIA";-;11;4;9;4;7;6;1;9;4;5;11;5;4;1;-;-;1;1;-;-;-;2;-;-;-;1;-;-;-;1;-;2;3;5;4;4;2;3;5;5;4;10;9;7;12;15;11;17;18;19;17;5;-;264
"110148 SAO FELIPE D'OESTE";-;9;12;10;11;11;11;24;17;15;38;49;12;7;5;8;8;9;8;7;4;5;3;6;7;7;11;8;5;7;3;2;-;1;4;5;3;3;3;-;2;1;3;-;2;3;5;5;4;4;4;2;4;-;397
"110149 SAO FRANCISCO DO GUAPORE";-;16;25;16;10;22;26;26;20;20;30;31;24;16;12;15;23;25;27;22;26;17;12;7;10;16;11;7;3;4;6;5;2;4;4;6;2;3;4;1;2;4;3;-;1;1;5;2;5;6;5;4;7;-;601
"110150 SERINGUEIRAS";-;3;17;48;45;31;33;58;23;47;36;28;30;24;24;12;7;17;16;13;5;6;13;10;7;5;4;2;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;2;-;2;6;9;6;-;595
"110155 TEIXEIROPOLIS";-;-;4;3;2;-;1;2;9;5;15;13;9;4;3;2;5;5;2;-;1;-;1;1;1;-;1;-;1;-;1;-;-;-;-;-;-;1;-;-;-;-;-;1;1;1;1;2;2;2;3;1;2;-;108
"110160 THEOBROMA";-;11;13;10;12;8;6;6;4;9;7;2;4;6;2;5;4;3;2;-;1;2;-;-;1;1;-;-;-;-;-;-;1;-;-;1;-;1;1;1;-;-;1;-;-;-;1;2;1;-;9;7;1;-;146
"110170 URUPA";-;5;11;6;7;6;8;8;9;5;6;8;4;2;3;4;-;-;5;2;2;-;-;1;1;-;1;3;-;-;-;1;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;3;4;7;8;2;-;135
"110175 VALE DO ANARI";-;9;13;14;12;14;12;28;44;18;6;7;9;9;4;12;8;8;6;4;3;6;3;1;3;2;5;1;2;5;4;-;1;1;-;5;-;-;-;-;-;-;-;-;2;3;3;2;1;-;5;3;4;-;302
"110180 VALE DO PARAISO";-;2;3;4;12;17;7;22;6;12;25;15;15;18;10;16;12;11;3;3;4;2;9;2;2;3;1;2;3;1;5;1;-;1;2;-;-;-;2;1;-;-;-;2;-;-;-;-;-;1;3;2;-;-;262
"120001 ACRELANDIA";-;30;29;28;30;39;20;15;10;12;13;8;14;7;5;10;4;7;8;5;1;4;6;3;3;1;3;1;2;3;4;1;1;-;1;-;-;2;1;4;6;8;12;6;9;6;19;5;14;14;11;17;11;-;473
"120005 ASSIS BRASIL";-;123;127;150;166;225;160;146;95;98;72;80;84;38;36;31;37;17;18;29;15;13;7;14;1;2;1;8;3;2;6;1;4;4;3;6;3;2;6;3;8;9;11;21;26;30;31;40;29;24;88;35;72;15;2275
"120010 BRASILEIA";-;519;436;388;336;186;188;151;115;150;155;105;62;70;57;63;44;41;29;33;24;29;24;20;16;11;12;14;19;22;11;12;11;11;13;15;11;11;16;12;19;16;21;41;48;63;52;60;88;145;187;283;269;39;4773
"120013 BUJARI";-;20;5;12;25;24;26;29;19;23;13;4;2;-;1;1;-;-;1;-;-;-;1;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;1;-;2;2;-;2;5;2;-;1;10;22;11;5;-;271
"120017 CAPIXABA";-;13;15;16;8;12;10;8;9;8;9;19;7;2;8;15;20;4;3;3;5;1;-;-;-;2;1;1;-;-;1;-;2;-;1;-;1;2;3;1;-;6;5;6;7;10;15;47;54;56;53;13;7;-;489
"120020 CRUZEIRO DO SUL";-;588;683;825;612;556;375;360;402;420;263;229;190;146;167;160;166;113;139;159;195;168;146;112;96;74;65;84;88;86;59;87;50;60;55;45;54;63;50;66;82;117;177;176;189;338;372;460;465;522;551;430;340;17;12492
"120025 EPITACIOLANDIA";-;56;56;48;44;20;21;23;18;17;29;13;24;21;19;25;19;8;10;7;2;1;4;3;2;-;4;1;1;4;1;4;1;5;-;1;4;5;2;3;4;2;3;-;3;3;7;8;9;11;12;8;9;1;606
"120030 FEIJO";-;91;101;93;83;64;92;68;72;59;36;27;10;11;3;15;32;17;33;23;19;14;16;20;19;13;8;10;6;11;17;10;12;6;14;21;25;68;94;83;100;98;113;128;162;202;210;216;211;124;135;43;14;-;3172
"120032 JORDAO";-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"120033 MANCIO LIMA";-;80;87;48;31;51;34;39;32;44;32;29;20;23;18;19;18;20;14;14;18;17;12;6;7;7;10;7;12;6;8;12;19;17;9;11;8;36;48;21;19;22;43;63;50;52;79;109;131;113;49;48;39;-;1761
"120034 MANOEL URBANO";-;7;2;12;7;8;6;4;3;28;11;9;4;5;8;3;6;9;11;18;11;30;19;13;11;6;10;5;3;1;5;3;1;2;3;2;2;5;2;1;6;13;36;40;70;52;28;6;22;10;11;5;2;-;597
"120035 MARECHAL THAUMATURGO";-;55;69;99;112;76;64;77;75;42;27;33;18;10;16;18;16;17;23;34;19;7;4;2;2;1;1;-;1;2;1;1;2;3;1;1;4;7;4;1;2;3;7;8;12;18;41;51;70;88;62;69;53;18;1447
"120038 PLACIDO DE CASTRO";-;94;61;37;33;25;26;25;19;16;16;14;7;15;7;6;7;1;5;8;3;3;5;3;3;4;2;6;6;-;4;2;1;4;1;3;2;9;8;12;7;13;15;18;36;43;57;61;57;57;140;197;130;1;1335
"120039 PORTO WALTER";-;8;6;9;17;14;15;8;35;29;48;16;11;6;10;7;4;4;5;1;1;1;3;2;1;1;-;-;1;2;3;3;-;-;1;-;-;2;1;3;-;3;6;1;13;12;11;12;9;5;7;4;2;-;363
"120040 RIO BRANCO";-;796;870;1132;1053;1064;1177;1195;980;1026;840;566;385;369;337;281;256;192;209;170;153;126;110;91;88;81;80;67;67;53;49;54;48;54;36;65;39;50;79;46;63;70;73;86;108;80;131;158;214;282;423;483;399;85;16989
"120042 RODRIGUES ALVES";-;60;79;65;84;67;57;79;88;59;41;66;35;30;24;28;15;19;26;33;31;36;20;23;14;4;7;12;11;9;17;17;19;12;7;3;9;10;5;11;12;14;9;21;24;44;51;74;81;74;70;62;42;7;1817
"120043 SANTA ROSA DO PURUS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;3
"120045 SENADOR GUIOMARD";-;118;51;32;30;20;18;10;11;5;6;4;3;4;3;7;2;-;5;3;2;3;2;-;-;1;2;2;-;1;-;1;-;-;-;2;2;2;1;2;1;2;2;1;2;1;3;6;8;21;114;72;6;1;595
"120050 SENA MADUREIRA";-;118;74;76;80;98;76;86;86;83;64;75;64;38;42;36;34;33;40;19;23;13;26;12;17;7;5;10;10;6;6;7;4;9;4;9;12;11;22;26;52;60;85;80;73;183;176;176;159;127;127;104;73;2;2938
"120060 TARAUACA";-;667;564;495;350;341;262;252;330;321;204;164;134;78;42;57;51;58;45;26;44;45;19;23;16;23;14;13;10;11;14;31;18;11;20;37;5;9;2;6;40;77;86;128;148;166;177;181;184;217;172;167;118;9;6682
"120070 XAPURI";-;139;95;160;151;156;156;156;118;111;103;77;55;71;44;49;27;27;25;28;12;18;13;14;16;8;6;7;8;17;8;10;8;11;5;2;2;6;2;3;2;6;6;14;16;14;37;49;108;289;241;123;82;24;2935
"120080 PORTO ACRE";-;15;11;28;14;20;4;7;7;14;32;54;22;8;-;-;1;2;2;2;1;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;4;1;8;3;9;12;6;24;28;38;38;13;14;7;-;452
"130002 ALVARAES";-;15;11;19;8;5;1;5;16;20;38;31;37;30;14;17;21;13;14;15;7;2;10;3;2;3;-;1;-;-;2;1;2;2;14;8;11;5;5;7;18;16;10;15;10;23;10;14;9;11;19;8;9;-;587
"130006 AMATURA";-;-;-;2;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"130010 ANORI";-;-;1;-;-;-;1;-;1;1;-;-;-;1;-;-;-;-;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"130014 APUI";-;3;3;-;1;1;-;1;-;-;2;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;17
"130020 ATALAIA DO NORTE";-;12;10;4;3;10;24;22;10;11;29;26;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;1;2;4;12;14;14;18;7;10;10;6;35;18;12;9;3;3;-;344
"130030 AUTAZES";-;-;-;-;-;-;3;4;9;7;1;-;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28
"130040 BARCELOS";-;2;4;-;4;4;7;8;7;11;14;17;3;3;3;2;-;2;1;2;1;4;2;2;4;2;1;8;4;-;2;2;-;2;3;1;1;3;3;4;5;3;-;-;-;1;1;-;3;-;-;-;-;-;156
"130050 BARREIRINHA";-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"130060 BENJAMIN CONSTANT";-;113;139;104;77;69;83;58;63;58;110;33;13;16;17;8;1;2;6;4;2;1;3;1;1;-;-;1;3;-;3;29;8;12;7;22;38;115;123;199;201;199;146;120;77;74;85;94;115;112;113;140;148;-;3166
"130063 BERURI";-;-;2;6;2;9;11;12;18;22;18;3;1;2;2;1;1;1;-;-;1;2;-;-;1;1;1;1;-;-;1;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;122
"130068 BOA VISTA DO RAMOS";-;2;-;-;-;1;3;-;1;-;-;1;4;2;4;4;5;2;1;2;1;2;-;-;-;-;-;1;-;-;1;1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;41
"130070 BOCA DO ACRE";-;25;52;48;29;37;24;13;9;11;14;11;8;15;3;1;1;3;4;2;5;3;2;6;3;4;3;5;2;-;-;-;3;8;13;17;22;16;14;38;41;52;43;59;57;46;35;44;40;18;13;22;29;2;975
"130080 BORBA";-;3;10;13;4;8;4;10;11;16;31;41;13;4;7;4;2;10;4;2;4;-;4;2;4;3;2;1;1;1;5;4;2;2;5;2;2;5;6;5;1;4;1;3;2;6;4;8;4;5;6;7;4;-;312
"130083 CAAPIRANGA";-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"130090 CANUTAMA";-;-;-;1;8;7;22;41;43;20;11;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;154
"130100 CARAUARI";-;42;57;27;31;37;32;40;24;64;35;20;17;19;13;12;12;5;4;5;10;3;5;-;3;3;3;3;1;5;2;-;1;-;3;2;1;-;2;2;1;-;6;6;16;44;60;103;95;97;80;49;62;-;1164
"130110 CAREIRO";-;-;4;1;2;-;3;1;2;-;1;-;1;1;2;1;1;1;-;1;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27
"130115 CAREIRO DA VARZEA";-;-;-;-;2;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"130120 COARI";-;38;34;68;94;139;191;127;102;88;65;28;15;29;25;14;10;5;1;5;4;5;1;2;4;3;1;8;19;15;15;7;3;9;7;-;1;2;-;-;1;4;7;3;-;4;8;9;11;5;21;27;14;-;1298
"130130 CODAJAS";-;7;1;8;29;60;17;8;43;121;109;64;19;16;21;6;1;-;4;4;-;1;1;-;2;-;1;1;4;2;-;5;2;-;-;-;2;-;1;-;-;-;-;-;-;-;1;1;7;1;-;4;1;-;575
"130140 EIRUNEPE";-;16;33;17;16;14;19;24;27;35;74;53;7;2;5;4;5;5;2;8;6;5;2;-;-;3;2;2;-;-;-;-;1;-;1;3;2;2;-;2;5;7;11;8;7;2;5;6;6;17;25;21;21;4;542
"130150 ENVIRA";-;27;29;33;29;45;33;53;49;42;44;34;9;7;8;8;13;14;17;4;12;3;2;2;3;1;2;7;4;1;1;-;4;-;1;1;-;-;-;-;-;-;-;1;-;1;1;-;-;-;1;1;3;4;554
"130160 FONTE BOA";-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"130165 GUAJARA";-;67;50;62;36;32;43;37;36;42;48;37;31;17;18;17;13;16;21;27;32;31;19;43;17;16;7;19;17;14;16;6;14;12;11;12;6;10;8;11;24;37;40;43;44;37;55;77;43;43;57;43;36;-;1550
"130170 HUMAITA";-;48;53;70;49;70;66;43;42;67;39;26;34;39;32;24;37;27;29;15;13;12;11;11;5;14;12;10;4;6;2;4;2;2;2;3;9;2;5;8;4;6;7;11;8;14;17;16;10;15;18;23;6;-;1102
"130180 IPIXUNA";-;53;38;41;27;47;54;37;43;61;29;47;26;30;9;21;20;20;32;37;36;12;8;6;13;11;12;33;17;16;6;5;15;4;-;3;2;-;3;2;1;2;-;8;23;12;25;15;35;23;30;33;22;-;1105
"130185 IRANDUBA";-;6;9;4;6;13;11;16;12;18;27;40;31;26;19;17;18;24;22;23;21;12;9;5;7;7;3;8;9;9;4;4;3;1;1;-;-;1;-;2;2;2;2;-;1;1;-;1;1;1;1;-;4;-;464
"130190 ITACOATIARA";-;15;13;31;24;38;37;52;50;54;30;46;34;20;24;21;17;14;8;10;15;3;2;8;6;3;5;5;7;4;6;6;5;3;6;3;3;4;2;2;3;-;3;3;2;3;3;3;1;-;-;3;12;-;672
"130200 ITAPIRANGA";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"130210 JAPURA";-;2;7;23;14;7;22;43;33;27;36;38;11;3;5;2;2;2;4;8;9;9;3;1;6;6;7;5;1;-;-;-;-;-;-;-;-;-;-;1;4;5;9;12;15;45;34;48;29;18;34;30;15;-;635
"130220 JURUA";-;-;-;-;-;-;-;1;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
