2020
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/denguebbr.def
"Município de notificação";"Em Branco/ign";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Semana 44";"Semana 45";"Semana 46";"Semana 47";"Semana 48";"Semana 49";"Semana 50";"Semana 51";"Semana 52";"Semana 53";"Total"
"110011 JARU";-;152;145;84;66;70;39;55;35;41;52;53;27;32;16;19;14;11;9;12;12;24;27;23;12;7;18;6;8;10;9;6;9;2;3;1;4;5;12;14;17;32;24;38;50;53;103;102;149;100;153;184;97;3;2249
"110012 JI-PARANA";-;89;89;100;82;72;106;83;82;83;63;42;31;33;24;24;37;21;27;26;29;9;11;14;9;12;15;11;9;9;8;13;4;14;10;9;5;4;11;4;6;3;4;2;2;2;2;25;20;36;38;53;43;-;1560
"110013 MACHADINHO D'OESTE";-;12;7;4;10;20;74;63;91;124;66;26;7;20;29;13;35;32;24;20;5;6;14;5;4;-;3;5;3;3;6;2;11;1;1;-;2;-;1;1;1;-;2;2;4;-;1;1;8;2;2;2;2;-;777
"110014 NOVA BRASILANDIA D'OESTE";-;10;14;23;16;22;24;32;35;39;48;60;59;57;62;63;64;49;43;48;32;23;43;24;20;10;16;11;13;10;8;5;3;9;11;4;7;7;5;6;5;6;8;1;3;2;5;10;6;5;4;4;5;-;1099
"110015 OURO PRETO DO OESTE";-;3;3;4;11;3;2;4;5;2;5;7;5;4;8;5;-;2;2;2;6;5;-;1;5;-;1;-;-;-;1;2;1;-;-;-;-;-;4;-;2;-;2;-;1;2;-;1;1;3;1;3;1;-;120
"110018 PIMENTA BUENO";-;44;58;67;64;85;99;85;69;84;81;54;51;32;27;32;36;24;22;20;17;7;8;3;1;10;3;7;5;7;4;6;6;5;6;-;11;3;2;2;5;1;3;7;7;6;3;11;6;16;33;25;16;-;1286
"110020 PORTO VELHO";-;136;124;122;128;161;193;162;148;212;172;180;180;179;145;161;144;141;122;99;102;88;63;69;47;48;47;59;57;45;33;27;30;24;14;15;7;13;12;8;8;13;22;15;15;22;24;35;40;26;41;40;32;-;4050
"110025 PRESIDENTE MEDICI";-;11;9;32;32;23;38;30;36;64;39;16;22;22;11;23;12;6;6;9;17;5;5;4;-;5;2;3;2;5;4;1;5;2;-;2;2;1;-;-;2;1;-;1;1;5;-;2;2;11;6;4;3;-;544
"110026 RIO CRESPO";-;5;10;4;13;6;-;2;7;-;3;3;5;4;4;3;4;6;9;1;1;3;3;-;-;3;1;1;1;-;1;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;2;-;-;111
"110028 ROLIM DE MOURA";-;32;23;59;48;46;71;71;201;174;219;71;83;29;24;40;30;29;31;32;29;28;20;13;16;21;12;11;8;7;20;13;7;7;5;6;5;7;7;3;8;4;2;-;4;11;5;6;5;7;8;5;2;-;1625
"110029 SANTA LUZIA D'OESTE";-;15;11;15;9;9;4;7;32;33;22;19;6;1;1;1;1;3;1;5;5;4;-;4;2;1;-;3;-;-;-;1;1;-;-;1;-;1;1;-;6;-;1;1;2;6;3;16;12;3;12;15;8;-;304
"110030 VILHENA";-;137;157;124;146;109;188;138;150;144;228;150;138;183;132;155;125;78;125;108;93;74;66;54;60;65;36;49;32;30;31;35;32;34;25;15;24;19;12;36;20;18;68;28;54;39;39;110;92;100;141;79;37;1;4363
"110032 SAO MIGUEL DO GUAPORE";-;1;17;40;7;1;5;19;27;16;11;4;3;4;-;5;2;3;4;7;17;13;3;5;4;2;1;-;1;-;-;-;1;-;-;-;-;-;-;-;1;1;1;1;-;-;2;2;2;13;10;1;1;-;258
"110033 NOVA MAMORE";-;7;20;25;38;45;33;29;27;33;46;38;26;16;13;6;11;18;26;8;10;3;2;6;4;4;4;2;8;2;2;2;1;-;2;-;-;-;-;-;4;1;3;2;3;3;2;4;9;7;5;8;15;-;583
"110034 ALVORADA D'OESTE";-;47;32;33;12;17;22;8;13;4;5;3;1;1;4;-;5;2;4;1;-;2;1;1;-;-;-;1;-;-;1;-;1;-;2;-;-;-;-;-;-;-;-;-;1;1;4;7;30;31;26;30;27;-;380
"110037 ALTO ALEGRE DOS PARECIS";-;14;17;10;24;5;7;7;4;4;8;9;3;4;2;2;2;7;-;5;-;1;3;-;2;-;-;-;-;1;-;-;1;-;-;-;-;-;2;1;5;10;21;24;12;3;-;2;14;4;-;1;2;-;243
"110040 ALTO PARAISO";-;5;12;4;7;12;4;6;2;6;5;10;2;8;1;4;-;2;12;5;1;4;4;7;2;2;-;1;1;2;3;-;-;1;-;1;-;-;-;-;-;4;3;1;1;8;6;4;2;4;3;4;-;-;176
"110045 BURITIS";-;47;49;67;94;75;72;62;55;64;31;34;20;15;16;9;19;13;12;11;12;8;14;7;17;20;9;18;7;9;7;4;4;4;1;3;5;2;6;2;3;8;7;3;3;6;15;13;10;15;30;21;25;6;1089
"110050 NOVO HORIZONTE DO OESTE";-;-;-;1;2;2;1;2;2;8;15;13;4;1;2;-;1;-;-;2;-;1;2;1;1;-;-;-;-;1;1;-;-;-;-;-;-;-;-;1;-;1;-;-;4;3;2;-;-;1;-;-;-;-;75
"110060 CACAULANDIA";-;13;12;19;20;32;32;30;33;23;28;14;8;7;4;5;3;6;17;11;5;8;7;2;2;1;1;3;2;-;-;2;-;-;1;-;-;-;1;-;-;-;2;-;-;-;1;1;2;-;6;4;5;-;373
"110070 CAMPO NOVO DE RONDONIA";-;10;7;6;7;3;5;7;8;10;9;10;4;3;2;-;2;-;-;3;1;-;-;-;3;3;-;1;2;-;1;-;-;1;1;-;-;-;-;-;1;1;-;-;2;1;4;1;6;15;20;16;5;-;181
"110080 CANDEIAS DO JAMARI";-;4;5;4;6;4;4;7;10;24;33;20;3;4;3;4;1;2;8;3;2;-;-;-;13;4;1;2;3;-;1;2;3;1;-;1;-;1;-;-;-;-;-;-;-;-;3;-;2;1;1;-;-;-;190
"110090 CASTANHEIRAS";-;4;5;7;1;2;4;12;14;10;-;5;2;3;1;1;-;1;1;2;2;2;1;-;-;-;3;-;1;-;-;-;-;-;-;-;-;1;-;-;1;1;2;1;6;3;-;5;4;7;5;-;-;-;120
"110092 CHUPINGUAIA";-;12;9;20;11;9;12;24;16;35;37;13;16;16;18;13;16;18;13;14;13;16;10;5;10;5;5;8;9;5;4;1;3;3;-;4;6;-;1;3;1;3;1;2;2;1;5;5;-;3;1;-;-;-;457
"110094 CUJUBIM";-;4;3;3;3;13;16;17;29;34;25;25;17;11;7;9;9;3;7;3;12;4;1;4;1;3;2;1;3;1;4;-;2;3;-;1;-;1;1;3;-;-;2;-;-;1;-;-;1;1;2;2;3;-;297
"110100 GOVERNADOR JORGE TEIXEIRA";-;5;1;-;4;1;1;1;-;-;-;-;-;3;1;-;2;-;1;2;3;1;-;-;1;3;1;2;12;1;-;1;2;-;1;-;5;6;6;15;3;4;3;7;8;7;10;14;4;2;10;6;5;-;165
"110110 ITAPUA DO OESTE";-;11;15;13;22;18;20;25;21;32;17;18;15;9;7;3;1;-;4;7;4;12;9;5;10;4;13;7;6;3;3;2;2;2;3;1;1;2;1;2;-;-;1;1;-;-;-;23;12;6;4;2;-;-;399
"110120 MINISTRO ANDREAZZA";-;11;8;7;7;3;5;3;5;5;23;4;6;8;4;3;3;2;3;2;4;1;1;-;2;1;1;-;1;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;5;2;11;3;2;-;151
"110130 MIRANTE DA SERRA";-;4;7;7;9;6;4;20;9;5;2;4;4;5;6;12;7;2;7;2;2;5;1;8;8;6;6;1;2;-;7;6;3;2;-;-;4;1;1;1;2;-;-;-;-;1;-;1;-;-;3;19;4;-;216
"110140 MONTE NEGRO";-;22;14;16;8;8;17;21;15;10;19;14;15;21;15;12;10;2;5;5;3;2;2;4;8;3;3;-;2;6;-;1;2;3;1;1;3;1;1;1;1;2;6;9;17;16;48;41;41;34;22;14;11;-;558
"110143 NOVA UNIAO";-;-;1;-;-;-;-;-;3;1;6;6;2;1;4;1;-;2;2;3;1;-;2;-;-;-;1;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;40
"110145 PARECIS";-;4;4;21;10;11;14;14;5;10;19;16;12;10;9;6;6;-;3;2;2;1;2;7;2;3;-;1;-;-;-;-;1;2;1;1;-;4;3;6;-;2;2;1;2;-;3;1;1;3;-;2;1;3;233
"110146 PIMENTEIRAS DO OESTE";-;-;2;8;4;4;14;11;16;5;4;9;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;82
"110147 PRIMAVERA DE RONDONIA";-;10;3;8;4;6;4;1;8;4;5;11;4;4;1;-;-;1;-;-;-;-;2;-;-;-;1;-;-;-;1;-;1;3;5;4;4;2;3;5;5;4;10;9;7;12;15;11;17;18;18;17;4;-;252
"110148 SAO FELIPE D'OESTE";-;4;11;6;8;7;7;20;11;12;38;46;8;3;2;6;5;4;3;5;4;5;-;5;6;7;9;7;5;7;3;2;-;1;4;5;3;3;3;-;2;-;3;-;2;3;5;5;3;4;4;2;2;-;320
"110149 SAO FRANCISCO DO GUAPORE";-;12;19;10;8;18;22;24;19;16;25;28;10;14;10;15;19;25;27;19;23;15;9;6;9;15;10;7;3;4;5;4;2;4;3;6;2;3;4;1;2;4;2;-;1;1;3;2;4;4;4;2;4;-;508
"110150 SERINGUEIRAS";-;3;10;33;37;30;27;46;18;34;30;25;26;24;24;12;7;17;16;13;5;6;13;10;7;5;4;2;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;2;-;2;5;8;4;-;511
"110155 TEIXEIROPOLIS";-;-;4;3;2;-;1;2;7;5;14;13;9;4;3;1;4;5;2;-;1;-;-;1;1;-;1;-;1;-;1;-;-;-;-;-;-;1;-;-;-;-;-;1;-;1;-;2;2;2;3;1;2;-;100
"110160 THEOBROMA";-;10;13;9;12;8;3;5;3;7;7;2;3;6;1;5;-;3;2;-;1;1;-;-;1;1;-;-;-;-;-;-;1;-;-;-;-;1;1;1;-;-;1;-;-;-;1;2;-;-;5;4;1;-;121
"110170 URUPA";-;4;8;5;5;3;4;6;7;3;4;5;3;2;3;2;-;-;4;2;2;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2;4;7;8;2;-;99
"110175 VALE DO ANARI";-;5;8;11;11;12;7;25;43;18;5;7;5;5;4;12;8;6;4;4;3;6;3;1;3;2;5;1;2;5;3;-;1;1;-;5;-;-;-;-;-;-;-;-;-;1;-;2;-;-;2;3;3;-;252
"110180 VALE DO PARAISO";-;1;3;4;6;6;2;5;2;1;8;8;3;6;8;10;9;6;3;3;4;2;9;2;1;3;1;1;2;1;5;1;-;1;2;-;-;-;2;1;-;-;-;1;-;-;-;-;-;1;3;2;-;-;139
"120001 ACRELANDIA";-;19;25;25;28;30;17;10;7;8;10;7;9;3;3;4;2;6;-;3;-;2;2;1;1;1;-;-;1;1;-;-;-;-;1;-;-;-;-;3;2;1;1;2;1;-;2;-;-;-;3;13;4;-;258
"120005 ASSIS BRASIL";-;121;122;128;90;93;63;67;54;69;56;75;81;38;34;24;35;15;12;24;15;13;7;14;1;2;1;8;2;1;6;1;4;2;3;6;3;2;6;3;8;9;11;21;26;20;21;32;26;24;85;35;71;15;1705
"120010 BRASILEIA";-;473;391;339;283;159;153;124;79;113;118;84;40;51;45;51;37;32;19;26;22;26;20;19;13;8;10;11;11;18;7;6;7;9;11;13;4;10;12;5;10;11;17;30;31;49;35;47;69;116;148;262;244;39;3967
"120013 BUJARI";-;20;5;12;25;24;26;29;19;23;13;4;2;-;1;1;-;-;1;-;-;-;1;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;1;-;2;-;-;1;1;1;-;1;10;22;11;5;-;263
"120017 CAPIXABA";-;11;12;12;5;10;8;6;6;7;7;14;3;1;2;-;4;1;3;-;1;-;-;-;-;1;1;1;-;-;1;-;2;-;-;-;-;1;1;-;-;-;-;-;3;7;11;45;51;52;48;13;3;-;354
"120020 CRUZEIRO DO SUL";-;503;574;719;498;456;274;244;314;335;194;141;128;98;96;120;119;85;106;140;182;143;132;98;82;55;47;55;61;58;41;45;26;37;27;21;24;27;26;42;35;40;69;68;45;69;88;95;113;115;157;144;202;17;7630
"120025 EPITACIOLANDIA";-;47;43;30;24;11;6;2;3;3;6;2;8;6;4;5;7;4;4;4;2;-;3;2;1;-;-;-;-;1;-;3;1;3;-;1;2;3;2;1;1;-;-;-;1;1;4;3;5;8;7;3;5;1;283
"120030 FEIJO";-;90;99;90;83;63;91;68;72;59;36;27;10;11;3;15;32;17;28;18;16;11;14;13;5;11;2;6;3;4;3;-;5;1;-;5;8;13;25;19;17;15;17;7;7;57;126;164;167;107;129;42;14;-;1945
"120032 JORDAO";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"120033 MANCIO LIMA";-;41;74;45;30;50;33;38;30;44;31;29;19;23;18;19;18;20;12;14;18;13;12;6;7;7;10;7;4;5;4;9;11;12;5;2;6;6;4;6;8;7;7;6;3;6;18;16;14;7;7;13;17;-;871
"120034 MANOEL URBANO";-;4;2;12;7;7;6;3;3;28;10;9;4;5;7;3;6;6;1;4;3;3;2;2;5;3;10;3;1;-;1;3;1;1;-;2;-;1;-;-;3;6;19;28;58;45;28;6;20;9;11;5;2;-;408
"120035 MARECHAL THAUMATURGO";-;54;69;99;112;76;64;76;75;42;27;33;18;10;16;17;16;17;23;34;19;7;4;2;2;1;1;-;1;2;1;1;2;3;1;1;4;7;4;1;2;3;7;8;12;18;41;51;70;85;60;66;53;18;1436
"120038 PLACIDO DE CASTRO";-;76;22;8;6;2;2;3;1;9;6;6;6;7;4;3;1;1;1;1;1;-;-;2;1;1;1;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;4;28;120;165;101;1;593
"120039 PORTO WALTER";-;8;6;9;17;14;13;8;35;29;48;16;11;6;10;7;4;4;5;1;1;1;3;1;1;1;-;-;1;2;3;3;-;-;1;-;-;2;1;3;-;3;6;1;13;12;11;12;9;5;7;4;2;-;360
"120040 RIO BRANCO";-;545;602;813;737;771;840;913;752;816;666;378;202;167;149;169;134;91;106;84;72;63;38;47;30;39;33;26;22;18;15;16;16;16;10;29;19;15;38;17;27;22;23;32;39;32;55;57;113;154;264;268;227;85;10912
"120042 RODRIGUES ALVES";-;58;68;59;75;64;51;71;79;53;33;59;30;25;21;22;12;16;20;21;23;26;14;21;14;2;5;11;8;8;17;15;19;12;6;3;9;9;5;10;11;14;8;14;12;13;23;19;29;20;14;14;16;7;1288
"120043 SANTA ROSA DO PURUS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;3
"120045 SENADOR GUIOMARD";-;116;51;30;30;20;17;10;7;4;-;2;3;3;-;1;1;-;1;3;1;2;1;-;-;-;-;-;-;1;-;1;-;-;-;2;1;-;-;1;1;1;2;-;1;1;1;2;7;19;111;71;6;1;533
"120050 SENA MADUREIRA";-;52;35;31;40;72;60;59;73;74;55;70;59;35;38;33;34;31;40;19;23;12;25;11;15;5;5;10;10;6;5;7;4;8;4;9;7;6;12;12;28;21;24;19;10;14;22;33;31;35;64;43;39;2;1491
"120060 TARAUACA";-;662;555;477;319;316;217;218;267;306;171;146;68;54;34;28;27;35;25;12;16;17;10;13;7;10;6;3;3;3;3;8;6;5;3;2;2;2;-;-;1;2;13;9;17;15;16;46;39;49;71;87;58;9;4488
"120070 XAPURI";-;113;65;101;85;119;95;104;83;77;77;40;19;41;25;15;13;14;9;11;5;7;-;1;3;-;2;-;1;5;5;6;3;7;2;-;2;2;1;-;-;2;1;4;3;1;10;10;53;215;189;82;43;24;1795
"120080 PORTO ACRE";-;11;11;23;13;20;4;4;5;14;30;53;22;7;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;4;1;7;2;7;4;1;10;22;32;37;11;5;5;-;367
"130002 ALVARAES";-;15;11;19;7;4;1;3;15;19;37;29;37;30;14;17;21;13;14;15;6;2;9;3;2;3;-;1;-;-;2;1;2;2;14;8;11;5;5;7;18;16;10;15;10;23;10;14;9;11;19;8;9;-;576
"130006 AMATURA";-;-;-;2;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"130010 ANORI";-;-;1;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"130014 APUI";-;2;3;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"130020 ATALAIA DO NORTE";-;12;10;4;3;10;24;22;10;11;29;26;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;1;2;4;12;14;14;17;7;10;10;6;34;16;12;4;1;2;-;332
"130030 AUTAZES";-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"130040 BARCELOS";-;2;4;-;4;4;6;8;7;11;12;17;1;1;2;2;-;2;-;1;1;3;1;1;3;2;1;8;3;-;1;2;-;1;3;1;1;2;3;4;5;3;-;-;-;1;1;-;3;-;-;-;-;-;138
"130060 BENJAMIN CONSTANT";-;113;137;104;77;69;82;58;63;58;109;31;13;16;16;6;1;1;6;2;2;1;3;1;1;-;-;1;3;-;3;29;8;12;7;22;38;115;123;198;201;199;146;114;77;67;76;62;54;49;39;42;82;-;2737
"130063 BERURI";-;-;-;4;1;8;4;6;12;21;18;2;-;1;1;-;1;-;-;-;1;2;-;-;1;1;-;1;-;-;1;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;88
"130068 BOA VISTA DO RAMOS";-;1;-;-;-;-;2;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"130070 BOCA DO ACRE";-;18;22;5;11;18;5;6;3;6;11;10;8;11;3;1;1;3;4;1;5;3;2;6;3;4;3;5;2;-;-;-;3;8;13;17;22;16;14;38;41;52;43;59;57;46;35;44;40;17;13;8;6;2;774
"130080 BORBA";-;2;6;11;3;5;1;2;2;9;19;38;12;1;2;2;-;2;-;-;1;-;1;1;2;3;1;-;-;-;-;3;1;1;-;2;-;-;1;2;-;1;1;3;1;2;-;1;1;-;3;1;-;-;150
"130083 CAAPIRANGA";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"130090 CANUTAMA";-;-;-;1;7;7;22;41;43;20;11;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;153
"130100 CARAUARI";-;42;57;27;31;37;32;36;23;64;33;16;8;14;6;9;11;2;3;5;10;3;5;-;2;3;3;3;-;4;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;3;27;-;523
"130110 CAREIRO";-;-;4;1;2;-;2;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"130115 CAREIRO DA VARZEA";-;-;-;-;2;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"130120 COARI";-;25;26;48;72;106;146;113;94;78;57;19;1;5;7;4;-;3;1;4;3;4;1;1;2;-;-;4;12;4;6;3;-;1;2;-;-;-;-;-;-;1;-;-;-;-;2;3;8;3;20;23;14;-;926
"130130 CODAJAS";-;7;1;8;29;60;17;8;43;121;106;57;6;-;2;-;-;-;4;4;-;1;1;-;1;-;1;1;4;2;-;5;2;-;-;-;2;-;-;-;-;-;-;-;-;-;1;1;7;1;-;4;1;-;508
"130140 EIRUNEPE";-;16;33;17;16;14;19;24;27;35;74;53;7;2;5;4;5;5;2;8;6;5;2;-;-;3;2;2;-;-;-;-;1;-;1;3;2;2;-;2;5;7;11;8;7;2;5;6;5;16;23;20;16;4;532
"130150 ENVIRA";-;27;29;33;29;45;33;53;49;42;44;34;8;7;8;8;13;14;17;4;12;3;2;2;3;1;2;7;4;1;1;-;4;-;1;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;1;1;3;4;552
"130160 FONTE BOA";-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"130165 GUAJARA";-;62;43;51;30;25;25;29;18;28;36;21;15;9;9;14;6;6;13;20;24;24;16;22;9;5;6;8;4;10;9;2;4;6;3;3;-;-;1;1;2;1;-;4;2;5;3;4;6;2;1;4;25;-;676
"130170 HUMAITA";-;44;50;57;44;61;51;30;39;57;34;24;27;25;25;17;30;21;28;13;12;9;10;9;5;11;10;10;4;6;2;4;2;2;2;2;9;2;5;8;4;6;7;9;8;14;17;10;7;10;15;21;4;-;933
"130180 IPIXUNA";-;53;38;41;27;45;51;30;37;60;28;47;25;30;9;20;20;20;32;37;36;12;8;6;13;11;12;33;17;16;6;5;15;4;-;3;2;-;3;2;1;2;-;8;23;12;25;15;35;23;30;33;22;-;1083
"130185 IRANDUBA";-;4;8;4;6;13;11;12;11;16;25;37;31;26;19;17;17;22;20;23;20;12;8;5;7;7;3;8;9;9;4;4;3;1;1;-;-;1;-;2;2;2;2;-;1;1;-;1;1;-;1;-;2;-;439
"130190 ITACOATIARA";-;-;1;3;5;11;12;16;16;13;10;15;5;2;1;1;2;2;1;7;2;1;1;-;2;1;2;1;1;-;-;1;1;-;-;-;-;1;-;-;-;-;-;-;-;1;1;-;1;-;-;1;1;-;142
"130210 JAPURA";-;2;7;23;14;7;22;43;33;26;35;38;11;3;5;-;1;1;4;8;9;9;-;1;6;6;7;5;1;-;-;-;-;-;-;-;-;-;-;1;4;5;9;12;11;43;33;48;29;18;34;30;15;-;619
"130220 JURUA";-;-;-;-;-;-;-;1;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"130230 JUTAI";-;27;26;50;78;57;41;80;65;80;147;157;108;44;76;47;48;48;48;31;28;29;24;22;16;30;24;21;35;25;20;8;5;10;2;3;3;5;5;4;9;4;4;5;7;7;1;7;4;3;4;7;-;-;1639
"130240 LABREA";-;120;85;123;100;110;111;68;61;47;61;37;14;34;53;22;22;18;12;24;25;42;26;12;22;25;10;19;10;7;5;-;7;10;13;10;12;31;22;29;13;19;41;31;28;24;25;29;55;94;140;167;101;8;2234
