2023
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/denguebbr.def
"Município de notificação";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Semana 44";"Semana 45";"Semana 46";"Semana 47";"Semana 48";"Semana 49";"Semana 50";"Semana 51";"Semana 52";"Total"
"110020 PORTO VELHO";62;61;84;91;93;97;84;84;119;96;57;49;38;37;41;26;26;30;20;18;25;16;15;11;12;14;14;17;18;8;5;8;8;4;2;3;4;2;4;5;9;10;9;5;9;5;2;11;10;16;8;6;1508
"110025 PRESIDENTE MEDICI";7;5;30;28;21;36;27;25;35;12;-;3;4;3;4;1;-;1;1;4;-;2;1;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;3;-;-;-;1;-;-;-;259
"110026 RIO CRESPO";5;10;4;12;4;-;2;5;-;2;3;1;-;2;1;2;-;4;1;1;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;2;-;68
"110028 ROLIM DE MOURA";30;21;57;46;43;65;67;195;169;212;64;76;23;15;30;14;14;18;9;2;-;-;-;-;-;1;2;2;1;4;1;3;1;-;-;-;-;1;1;1;-;-;-;-;-;-;-;-;1;1;2;1;1193
"110029 SANTA LUZIA D'OESTE";14;10;13;9;8;4;7;29;29;16;17;2;-;1;1;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;2;-;-;166
"110030 VILHENA";121;145;107;125;76;116;64;79;87;153;43;42;68;45;52;52;19;46;35;32;20;17;20;24;26;12;15;12;10;4;9;4;9;8;-;3;4;2;13;5;3;13;8;7;6;1;9;4;4;5;2;3;1789
"110032 SAO MIGUEL DO GUAPORE";-;-;-;-;-;-;17;22;7;-;-;-;-;-;-;1;1;1;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;1;54
"110033 NOVA MAMORE";5;15;16;26;32;20;19;16;19;31;17;8;5;3;2;4;2;3;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;247
"110034 ALVORADA D'OESTE";47;31;33;12;16;22;7;11;4;5;3;-;-;2;-;1;-;1;-;-;2;1;1;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;201
"110037 ALTO ALEGRE DOS PARECIS";1;1;1;4;3;1;1;1;4;8;7;3;3;2;2;1;7;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;5;9;21;24;12;3;-;-;12;3;-;-;-;142
"110040 ALTO PARAISO";4;11;2;-;3;2;2;1;2;3;7;-;-;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2;-;43
"110045 BURITIS";9;5;11;26;19;28;25;33;35;21;22;3;2;2;4;9;4;-;-;1;-;-;1;1;1;4;-;-;1;1;-;1;1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;1;274
"110050 NOVO HORIZONTE DO OESTE";-;-;1;2;2;1;2;-;6;15;13;4;1;2;-;1;-;-;1;-;1;2;1;1;-;-;-;-;1;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;60
"110060 CACAULANDIA";13;10;17;19;24;27;27;30;22;25;13;7;6;3;4;2;3;13;7;3;3;2;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;1;-;-;-;1;-;1;289
"110070 CAMPO NOVO DE RONDONIA";1;2;3;7;2;3;6;8;7;5;2;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;50
"110080 CANDEIAS DO JAMARI";4;4;3;6;1;4;7;10;23;31;14;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;1;-;2;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;116
"110090 CASTANHEIRAS";-;-;3;1;1;1;6;13;6;-;5;2;2;-;1;-;-;-;-;-;-;-;-;-;-;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;45
"110092 CHUPINGUAIA";5;4;4;10;9;11;14;14;22;30;10;12;9;12;11;10;14;10;10;6;13;5;4;10;3;1;5;7;3;2;1;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;287
"110094 CUJUBIM";2;2;2;2;9;12;17;27;30;21;21;11;9;4;6;5;2;7;1;10;3;-;4;1;3;1;-;2;-;3;-;1;-;-;-;-;-;-;1;-;-;2;-;-;1;-;-;-;-;-;-;2;224
"110100 GOVERNADOR JORGE TEIXEIRA";5;1;-;4;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"110110 ITAPUA DO OESTE";10;13;11;19;11;13;17;13;22;12;13;14;5;4;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;180
"110120 MINISTRO ANDREAZZA";-;-;1;3;1;1;1;4;5;21;4;2;4;-;1;-;1;2;-;1;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;55
"110130 MIRANTE DA SERRA";4;6;7;8;6;4;20;9;5;2;3;3;1;-;7;2;1;-;1;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;92
"110140 MONTE NEGRO";6;8;8;4;3;14;19;12;7;17;12;12;20;11;10;9;1;5;3;2;1;-;-;1;-;1;-;-;-;-;1;1;2;1;1;1;-;1;-;-;-;1;1;1;-;-;-;2;1;-;-;-;200
"110143 NOVA UNIAO";-;-;-;-;-;-;-;3;1;5;6;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16
"110145 PARECIS";4;2;8;4;2;2;1;1;3;7;7;6;7;6;4;4;-;2;1;1;-;1;2;1;3;-;-;-;-;-;-;1;-;1;-;-;4;3;2;-;2;1;-;1;-;3;1;1;3;-;1;1;104
"110146 PIMENTEIRAS DO OESTE";-;2;1;4;3;10;7;14;5;4;9;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;63
"110147 PRIMAVERA DE RONDONIA";2;1;4;1;5;3;1;5;2;3;7;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;5;3;4;2;3;5;5;4;7;8;5;8;9;2;1;-;2;2;-;116
"110148 SAO FELIPE D'OESTE";4;11;5;6;3;7;20;11;11;38;46;7;2;2;2;3;1;2;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;1;1;-;-;187
"110149 SAO FRANCISCO DO GUAPORE";10;12;6;5;5;6;10;12;8;8;20;4;4;3;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;118
"110150 SERINGUEIRAS";1;2;10;9;10;1;4;1;6;2;3;-;1;2;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;56
"110155 TEIXEIROPOLIS";-;-;1;1;-;-;1;2;-;11;10;5;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;33
"110160 THEOBROMA";9;13;8;10;7;3;5;3;5;6;1;2;5;-;3;-;3;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;85
"110170 URUPA";2;2;3;3;2;2;2;6;3;2;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31
"110175 VALE DO ANARI";4;8;10;9;11;5;22;41;12;4;5;5;5;4;9;6;4;1;-;2;4;2;1;1;1;2;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;180
"110180 VALE DO PARAISO";1;3;4;6;6;2;5;1;-;2;5;3;5;7;6;3;1;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;64
"120001 ACRELANDIA";3;1;1;-;1;6;2;2;1;-;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;2;-;-;2;-;-;-;1;13;1;41
"120005 ASSIS BRASIL";92;85;88;70;71;32;44;32;36;27;49;49;16;24;10;10;6;3;6;9;4;4;10;-;-;-;-;-;-;-;-;-;1;2;1;1;-;3;-;-;1;-;-;2;-;-;3;2;2;17;11;39;862
"120010 BRASILEIA";382;330;281;239;102;97;69;46;68;88;57;24;31;24;31;17;19;15;14;13;11;6;4;7;7;2;4;5;5;2;5;4;4;6;6;1;6;4;2;4;2;8;10;9;15;10;14;18;33;74;184;167;2586
"120013 BUJARI";11;1;5;17;20;20;23;11;20;5;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;1;1;-;1;8;22;11;5;187
"120017 CAPIXABA";8;2;-;2;-;3;1;-;1;1;5;2;-;2;-;4;1;2;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;2;7;10;45;48;49;47;13;3;262
"120020 CRUZEIRO DO SUL";80;71;188;197;225;55;30;175;190;52;31;29;17;30;33;29;15;17;13;21;9;12;7;5;10;14;9;13;10;5;12;9;15;10;7;3;7;8;8;7;9;15;12;7;14;25;25;21;20;21;14;10;1871
"120025 EPITACIOLANDIA";41;27;26;17;9;4;2;-;1;2;1;3;5;3;3;4;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;1;-;2;3;159
"120030 FEIJO";57;35;35;25;18;33;26;23;15;10;8;4;9;2;15;31;14;28;15;16;10;13;13;5;10;2;2;-;2;2;-;3;-;-;-;-;-;1;-;-;-;-;1;1;47;110;151;120;39;55;16;1;1023
"120033 MANCIO LIMA";25;47;30;20;17;11;13;14;22;13;1;4;9;7;10;9;10;3;-;2;3;5;3;1;3;3;1;2;2;1;3;7;4;3;1;2;2;2;3;4;6;3;5;2;-;5;6;5;1;2;3;3;363
"120034 MANOEL URBANO";-;1;4;4;3;2;1;-;4;1;2;-;1;2;1;2;1;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;4;23;47;38;12;1;-;-;-;-;-;159
"120035 MARECHAL THAUMATURGO";9;7;18;19;15;31;28;32;7;9;9;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;185
"120038 PLACIDO DE CASTRO";74;16;3;2;-;-;1;-;7;5;4;5;7;4;2;1;-;1;-;-;-;-;2;1;1;1;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;4;28;120;162;100;554
"120039 PORTO WALTER";7;5;4;13;10;9;7;30;23;44;8;8;2;-;-;1;1;-;-;1;-;-;-;-;1;-;-;-;-;2;1;-;-;1;-;-;1;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;182
"120040 RIO BRANCO";131;158;149;141;223;237;349;276;328;234;144;23;38;43;62;57;35;39;28;22;20;10;12;7;4;6;10;13;7;7;7;8;5;1;13;4;8;15;7;11;11;12;17;19;19;28;31;44;93;163;114;63;3506
"120042 RODRIGUES ALVES";15;36;17;20;9;8;13;14;23;13;14;4;10;4;4;2;4;3;3;2;4;2;1;1;1;-;1;-;-;-;-;3;-;-;-;-;1;1;-;1;-;3;1;-;1;1;2;2;2;1;1;-;248
"120043 SANTA ROSA DO PURUS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;3
"120045 SENADOR GUIOMARD";110;51;26;24;19;15;3;6;2;-;2;-;3;-;1;1;-;1;3;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;1;-;-;2;5;16;109;68;-;473
"120050 SENA MADUREIRA";24;5;4;10;9;13;8;4;21;13;28;28;15;22;20;15;14;18;6;9;2;4;4;3;2;3;4;3;4;3;2;4;4;2;5;5;6;11;12;27;19;16;13;7;7;14;27;13;16;39;15;19;601
"120060 TARAUACA";61;39;53;32;22;28;28;44;45;33;25;12;7;1;10;7;7;4;1;6;5;1;-;1;1;-;-;-;1;-;1;2;-;-;-;-;-;-;-;-;-;-;2;1;1;-;1;-;1;3;3;5;494
"120070 XAPURI";16;8;5;3;7;3;6;2;6;3;1;6;13;8;4;4;2;1;-;1;1;-;-;-;-;1;-;-;1;1;-;-;-;1;-;-;-;-;-;-;-;-;2;3;-;2;9;52;204;176;69;20;641
"120080 PORTO ACRE";4;4;1;1;-;1;2;2;11;27;52;20;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;3;5;5;2;150
"130002 ALVARAES";15;11;19;6;4;1;3;9;16;19;1;2;-;1;1;2;2;-;-;-;-;-;-;-;1;-;1;-;-;-;1;2;2;14;8;11;5;5;7;18;16;10;13;9;23;10;14;9;11;19;8;9;338
"130006 AMATURA";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"130010 ANORI";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"130014 APUI";2;3;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"130020 ATALAIA DO NORTE";9;7;4;3;10;23;22;8;11;29;25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;154
"130030 AUTAZES";-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"130040 BARCELOS";1;4;-;4;3;4;6;7;11;12;16;1;-;-;1;-;-;-;1;-;-;-;-;-;-;1;-;1;-;-;-;-;1;3;1;1;2;-;-;-;1;-;-;-;1;-;-;3;-;-;-;-;86
"130060 BENJAMIN CONSTANT";7;10;6;6;15;35;27;36;46;87;6;2;3;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;3;1;-;1;-;296
"130063 BERURI";-;-;1;1;6;3;6;11;20;18;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;70
"130068 BOA VISTA DO RAMOS";1;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"130070 BOCA DO ACRE";4;5;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"130080 BORBA";-;2;6;3;4;1;2;2;8;19;38;12;-;2;-;-;1;-;-;1;-;-;-;1;1;-;-;-;-;-;-;1;-;-;-;-;-;1;1;-;-;-;1;-;-;-;1;-;-;-;-;-;108
"130083 CAAPIRANGA";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"130090 CANUTAMA";-;-;1;7;7;22;41;43;20;11;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;153
"130100 CARAUARI";-;-;-;5;5;4;6;10;37;23;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;99
"130110 CAREIRO";-;2;1;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"130115 CAREIRO DA VARZEA";-;-;-;2;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"130120 COARI";23;22;44;68;100;137;95;84;67;46;14;-;-;-;-;-;-;-;3;3;4;1;1;2;-;-;4;12;4;6;2;-;1;2;-;-;-;-;-;-;-;-;-;-;-;2;3;8;3;20;23;14;818
"130130 CODAJAS";7;1;7;27;59;16;8;43;120;105;57;6;-;-;-;-;-;-;-;-;1;1;-;-;-;1;-;2;2;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;1;7;1;-;4;1;480
"130140 EIRUNEPE";-;-;-;1;1;3;3;9;19;59;41;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;141
"130150 ENVIRA";4;7;18;21;37;29;46;44;31;18;16;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;274
"130165 GUAJARA";6;-;4;5;3;9;7;8;10;8;3;-;-;2;3;1;-;-;1;1;1;-;1;1;2;2;-;-;1;2;-;-;1;1;-;-;-;1;-;2;1;-;2;1;3;2;2;1;1;-;1;-;100
"130170 HUMAITA";30;22;34;31;41;32;21;17;24;6;5;4;5;2;1;3;1;4;-;1;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;4;-;2;1;2;-;-;1;-;-;299
"130180 IPIXUNA";53;38;41;25;41;45;26;26;27;19;25;14;7;5;14;16;16;25;24;14;3;1;1;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;510
"130185 IRANDUBA";3;2;4;-;6;1;3;1;2;3;3;2;-;1;-;4;3;5;1;9;6;4;-;3;7;3;6;8;8;3;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;105
"130190 ITACOATIARA";-;1;2;5;10;10;16;15;10;8;13;4;-;-;-;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;97
"130210 JAPURA";2;7;23;14;6;15;26;25;12;12;3;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;4;5;9;12;11;43;33;48;28;18;34;30;15;438
"130220 JURUA";-;-;-;-;-;-;1;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"130230 JUTAI";27;25;47;77;51;28;52;32;33;39;23;4;17;36;18;21;21;18;22;21;17;15;20;11;21;23;18;30;21;15;7;3;10;2;3;3;5;5;4;9;4;4;4;6;5;-;7;3;3;4;7;-;901
"130240 LABREA";80;74;105;68;66;67;60;50;36;24;21;-;2;4;1;5;2;-;2;-;3;-;1;2;3;4;13;4;4;1;-;3;9;8;5;10;24;17;21;10;16;35;27;22;21;19;18;22;52;66;81;38;1226
"130250 MANACAPURU";1;3;3;7;12;16;21;15;16;12;26;10;-;-;-;-;-;-;-;2;-;-;1;1;-;-;-;-;1;1;-;2;2;1;-;1;-;1;-;-;-;-;-;1;-;-;3;2;-;-;2;-;163
"130255 MANAQUIRI";1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"130260 MANAUS";552;464;504;255;253;239;247;230;265;228;231;107;32;22;19;29;36;22;28;25;16;17;33;23;24;19;22;25;22;25;19;12;15;15;29;34;33;24;8;12;5;5;5;2;3;9;2;12;23;56;123;94;4554
"130270 MANICORE";4;9;8;5;16;16;11;12;17;25;12;9;2;1;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;154
"130280 MARAA";-;1;2;3;7;8;6;12;24;10;10;8;5;3;6;2;4;3;1;1;-;1;-;1;2;5;3;4;5;4;2;6;9;-;-;-;-;-;1;3;2;-;-;1;3;1;2;2;-;1;1;2;177
"130290 MAUES";53;51;18;16;6;2;1;1;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;4;21;79;49;310
