2024
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/denguebbr.def
"Município de notificação";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Total"
"315360 PRUDENTE DE MORAIS";40;72;43;73;59;113;83;84;93;86;45;7;798
"315370 QUARTEL GERAL";16;6;12;19;16;17;11;7;15;14;14;3;150
"315380 QUELUZITO";-;-;-;1;2;-;1;-;-;-;-;-;4
"315390 RAPOSOS";-;1;-;4;5;5;3;21;25;15;24;10;113
"315400 RAUL SOARES";3;2;11;8;24;43;52;93;94;102;71;16;519
"315410 RECREIO";17;15;28;22;24;40;41;51;46;61;39;13;397
"315415 REDUTO";1;2;3;5;13;49;83;25;25;28;21;8;263
"315420 RESENDE COSTA";2;6;5;21;26;34;71;83;83;71;44;-;446
"315430 RESPLENDOR";1;2;6;4;10;41;36;72;82;48;58;16;376
"315440 RESSAQUINHA";-;-;-;2;1;-;3;2;4;9;10;8;39
"315445 RIACHINHO";1;3;19;21;36;22;36;29;21;21;12;17;238
"315450 RIACHO DOS MACHADOS";4;4;5;5;8;11;8;13;19;12;24;7;120
"315460 RIBEIRAO DAS NEVES";314;481;966;1503;2204;2773;3154;3601;3309;1539;277;13;20134
"315470 RIBEIRAO VERMELHO";-;-;-;2;2;2;-;-;2;1;1;1;11
"315480 RIO ACIMA";4;7;26;40;79;127;179;170;139;104;39;22;936
"315490 RIO CASCA";-;1;1;8;18;23;48;83;110;129;87;2;510
"315500 RIO DOCE";-;-;-;3;2;-;-;1;-;1;1;1;9
"315510 RIO DO PRADO";1;-;3;-;3;5;6;13;18;30;19;15;113
"315520 RIO ESPERA";-;-;-;2;3;2;4;4;14;4;1;-;34
"315530 RIO MANSO";15;13;23;59;68;108;71;102;82;61;51;10;663
"315540 RIO NOVO";3;4;-;5;8;2;26;26;18;2;-;-;94
"315550 RIO PARANAIBA";11;9;9;24;37;81;89;137;192;176;8;1;774
"315560 RIO PARDO DE MINAS";-;2;6;4;3;5;12;18;42;70;38;4;204
"315570 RIO PIRACICABA";9;3;3;35;56;70;180;208;253;201;212;47;1277
"315580 RIO POMBA";-;-;-;11;8;17;60;62;36;25;16;4;239
"315590 RIO PRETO";-;-;-;-;1;1;3;12;14;9;22;20;82
"315600 RIO VERMELHO";24;32;42;41;60;23;17;11;11;11;2;1;275
"315610 RITAPOLIS";-;-;1;9;7;2;12;17;12;41;75;48;224
"315620 ROCHEDO DE MINAS";-;-;-;-;1;6;1;5;6;18;33;2;72
"315630 RODEIRO";3;5;7;6;15;37;33;78;77;64;48;13;386
"315640 ROMARIA";1;-;-;3;4;6;2;-;1;5;2;-;24
"315645 ROSARIO DA LIMEIRA";-;-;-;-;2;1;2;1;-;-;3;2;11
"315650 RUBELITA";2;3;3;2;12;17;38;38;42;51;47;6;261
"315660 RUBIM";-;-;-;1;-;-;7;6;11;20;17;20;82
"315670 SABARA";136;208;446;656;1013;1059;1131;1108;665;143;100;10;6675
"315680 SABINOPOLIS";1;1;4;7;11;21;26;25;33;45;46;24;244
"315690 SACRAMENTO";2;2;9;12;19;54;77;119;204;260;293;52;1103
"315700 SALINAS";21;50;83;134;165;296;245;281;150;17;2;-;1444
"315710 SALTO DA DIVISA";-;-;2;-;1;-;11;39;32;9;11;1;106
"315720 SANTA BARBARA";324;362;416;305;240;289;213;109;60;39;16;2;2375
"315725 SANTA BARBARA DO LESTE";1;3;3;6;10;5;8;26;12;8;-;-;82
"315727 SANTA BARBARA DO MONTE VERDE";-;-;-;9;4;6;13;6;17;11;9;2;77
"315730 SANTA BARBARA DO TUGURIO";1;1;1;-;3;1;3;6;4;-;-;-;20
"315733 SANTA CRUZ DE MINAS";78;78;86;118;67;107;71;132;113;104;74;37;1065
"315737 SANTA CRUZ DE SALINAS";-;-;3;3;5;13;2;11;12;11;1;-;61
"315740 SANTA CRUZ DO ESCALVADO";2;-;-;1;-;3;2;4;3;5;6;-;26
"315750 SANTA EFIGENIA DE MINAS";3;1;-;4;3;4;3;16;21;20;17;6;98
"315760 SANTA FE DE MINAS";-;1;2;4;2;1;2;5;2;3;5;-;27
"315765 SANTA HELENA DE MINAS";-;1;1;-;3;1;5;5;8;7;4;-;35
"315770 SANTA JULIANA";3;6;24;18;19;24;24;41;58;57;38;-;312
"315780 SANTA LUZIA";35;143;279;1093;1144;1172;1422;1363;1038;979;750;390;9808
"315790 SANTA MARGARIDA";-;3;3;5;23;16;28;25;24;9;2;-;138
"315800 SANTA MARIA DE ITABIRA";78;68;88;285;317;299;197;139;103;57;16;-;1647
"315810 SANTA MARIA DO SALTO";-;-;1;-;-;1;1;4;7;5;4;2;25
"315820 SANTA MARIA DO SUACUI";1;2;3;5;12;10;39;48;47;47;25;27;266
"315830 SANTANA DA VARGEM";-;-;1;1;2;1;3;3;17;35;35;20;118
"315840 SANTANA DE CATAGUASES";1;3;1;7;25;24;45;31;18;17;11;11;194
"315850 SANTANA DE PIRAPAMA";9;21;43;51;82;90;49;36;30;25;-;-;436
"315860 SANTANA DO DESERTO";18;34;36;40;37;23;68;77;54;34;29;2;452
"315870 SANTANA DO GARAMBEU";-;-;-;-;-;-;3;1;-;1;-;-;5
"315880 SANTANA DO JACARE";147;84;50;22;12;8;8;5;5;6;3;1;351
"315890 SANTANA DO MANHUACU";17;5;12;21;22;8;4;9;6;16;3;-;123
"315895 SANTANA DO PARAISO";65;84;73;69;123;108;67;102;96;81;47;15;930
"315900 SANTANA DO RIACHO";27;40;33;56;45;44;31;33;24;17;14;7;371
"315910 SANTANA DOS MONTES";11;18;23;39;42;88;52;68;62;58;49;2;512
"315920 SANTA RITA DE CALDAS";-;-;-;-;-;1;1;-;-;2;7;4;15
"315930 SANTA RITA DE JACUTINGA";2;3;1;11;33;35;41;34;59;52;25;11;307
"315935 SANTA RITA DE MINAS";-;3;10;12;3;-;8;12;9;11;3;-;71
"315940 SANTA RITA DE IBITIPOCA";-;-;-;-;-;2;1;5;2;3;1;-;14
"315950 SANTA RITA DO ITUETO";-;-;-;1;7;36;45;48;25;45;-;-;207
"315960 SANTA RITA DO SAPUCAI";1;5;6;10;19;29;41;23;10;5;1;-;150
"315970 SANTA ROSA DA SERRA";6;5;3;5;40;38;51;46;63;49;26;18;350
"315980 SANTA VITORIA";2;2;11;16;13;28;53;37;55;54;61;50;382
"315990 SANTO ANTONIO DO AMPARO";100;9;12;31;68;24;56;64;72;53;49;11;549
"316000 SANTO ANTONIO DO AVENTUREIRO";3;2;9;10;10;14;40;50;65;37;20;14;274
"316010 SANTO ANTONIO DO GRAMA";-;-;-;1;1;6;6;21;16;18;10;6;85
"316020 SANTO ANTONIO DO ITAMBE";-;-;-;1;2;2;5;6;1;8;12;13;50
"316030 SANTO ANTONIO DO JACINTO";1;-;2;1;2;7;13;18;13;11;16;14;98
"316040 SANTO ANTONIO DO MONTE";39;53;105;165;327;460;624;826;690;440;234;56;4019
"316045 SANTO ANTONIO DO RETIRO";-;-;-;-;-;2;2;4;2;1;1;-;12
"316050 SANTO ANTONIO DO RIO ABAIXO";-;1;-;1;6;13;9;13;15;13;-;-;71
"316060 SANTO HIPOLITO";12;20;21;35;43;46;50;61;21;6;-;-;315
"316070 SANTOS DUMONT";2;7;19;44;58;31;40;56;63;50;34;-;404
"316080 SAO BENTO ABADE";-;-;-;-;-;-;2;5;6;10;17;14;54
"316090 SAO BRAS DO SUACUI";-;1;5;2;2;15;25;20;46;48;27;1;192
"316095 SAO DOMINGOS DAS DORES";5;5;5;4;26;12;26;18;29;7;8;1;146
"316100 SAO DOMINGOS DO PRATA";8;20;50;105;188;243;248;310;342;221;78;20;1833
"316105 SAO FELIX DE MINAS";-;-;-;1;2;-;1;14;5;3;1;-;27
"316110 SAO FRANCISCO";3;5;7;20;84;145;118;319;399;406;209;1;1716
"316120 SAO FRANCISCO DE PAULA";-;4;6;11;21;54;71;88;105;96;71;-;527
"316130 SAO FRANCISCO DE SALES";-;-;-;-;1;1;10;18;21;14;13;7;85
"316140 SAO FRANCISCO DO GLORIA";-;-;1;4;9;15;30;33;37;41;15;4;189
"316150 SAO GERALDO";-;4;-;1;5;8;16;12;24;15;18;17;120
"316160 SAO GERALDO DA PIEDADE";-;2;-;1;1;2;3;5;1;11;5;2;33
"316165 SAO GERALDO DO BAIXIO";4;1;1;8;-;-;2;3;3;-;-;-;22
"316170 SAO GONCALO DO ABAETE";2;4;7;3;8;6;6;7;10;9;7;-;69
"316180 SAO GONCALO DO PARA";6;16;16;13;5;16;37;81;44;75;60;-;369
"316190 SAO GONCALO DO RIO ABAIXO";13;43;69;114;133;138;135;222;203;168;140;7;1385
"316200 SAO GONCALO DO SAPUCAI";-;-;3;1;6;13;26;42;74;122;190;75;552
"316210 SAO GOTARDO";25;39;29;85;121;239;279;422;486;458;101;5;2289
"316220 SAO JOAO BATISTA DO GLORIA";-;1;2;2;3;3;7;11;23;19;34;9;114
"316225 SAO JOAO DA LAGOA";25;15;17;9;9;18;12;20;31;9;5;-;170
"316230 SAO JOAO DA MATA";-;-;-;-;-;-;-;-;1;-;-;-;1
"316240 SAO JOAO DA PONTE";6;6;17;25;41;52;39;42;53;45;34;2;362
"316245 SAO JOAO DAS MISSOES";-;-;-;2;7;9;16;72;87;77;51;37;358
"316250 SAO JOAO DEL REI";125;143;338;608;485;461;439;333;201;20;2;-;3155
"316255 SAO JOAO DO MANHUACU";-;-;-;-;4;-;15;16;11;19;13;19;97
"316257 SAO JOAO DO MANTENINHA";8;2;12;9;12;15;29;27;31;40;19;-;204
"316260 SAO JOAO DO ORIENTE";1;1;16;42;50;57;70;59;27;15;9;5;352
"316265 SAO JOAO DO PACUI";-;-;-;1;4;4;8;24;35;36;12;-;124
"316270 SAO JOAO DO PARAISO";1;4;5;2;5;4;12;9;8;24;53;5;132
"316280 SAO JOAO EVANGELISTA";-;-;3;7;8;12;30;44;40;66;44;15;269
"316290 SAO JOAO NEPOMUCENO";1;8;4;8;9;7;22;41;73;105;105;23;406
"316292 SAO JOAQUIM DE BICAS";140;158;210;229;226;156;273;195;141;116;169;97;2110
"316294 SAO JOSE DA BARRA";4;3;7;3;3;10;18;17;14;27;10;8;124
"316295 SAO JOSE DA LAPA";68;193;309;504;623;398;315;365;329;337;188;3;3632
"316300 SAO JOSE DA SAFIRA";-;-;-;2;8;1;4;21;39;25;10;6;116
"316310 SAO JOSE DA VARGINHA";-;-;-;5;7;11;10;28;26;3;1;-;91
"316320 SAO JOSE DO ALEGRE";21;27;44;49;57;55;34;44;31;21;12;6;401
"316330 SAO JOSE DO DIVINO";10;5;14;9;27;21;22;40;19;14;14;4;199
"316340 SAO JOSE DO GOIABAL";14;24;38;72;62;29;15;13;28;52;12;4;363
"316350 SAO JOSE DO JACURI";-;1;1;3;10;20;19;35;16;-;-;-;105
"316360 SAO JOSE DO MANTIMENTO";8;4;15;13;21;14;1;-;-;-;-;-;76
"316370 SAO LOURENCO";1;1;18;65;67;107;176;182;241;211;127;96;1292
"316380 SAO MIGUEL DO ANTA";-;-;-;-;6;1;4;4;7;18;25;6;71
"316390 SAO PEDRO DA UNIAO";-;1;3;-;-;3;2;3;8;13;4;-;37
"316400 SAO PEDRO DOS FERROS";2;-;1;-;5;14;33;74;81;70;79;33;392
"316410 SAO PEDRO DO SUACUI";-;1;2;1;3;12;13;15;18;9;11;8;93
"316420 SAO ROMAO";2;3;12;16;26;37;34;41;31;20;14;-;236
"316430 SAO ROQUE DE MINAS";1;1;3;3;5;5;14;14;16;37;57;26;182
"316440 SAO SEBASTIAO DA BELA VISTA";-;-;1;1;-;1;2;2;1;7;10;3;28
"316443 SAO SEBASTIAO DA VARGEM ALEGRE";-;-;-;-;-;2;3;6;5;1;13;8;38
"316447 SAO SEBASTIAO DO ANTA";1;-;2;4;5;8;10;29;71;27;-;-;157
"316450 SAO SEBASTIAO DO MARANHAO";-;2;-;3;1;11;16;2;1;5;4;-;45
"316460 SAO SEBASTIAO DO OESTE";5;7;22;46;42;70;65;83;139;177;160;60;876
"316470 SAO SEBASTIAO DO PARAISO";6;4;12;18;30;61;80;125;98;124;142;20;720
"316480 SAO SEBASTIAO DO RIO PRETO";1;8;2;-;5;4;4;6;9;15;-;-;54
"316490 SAO SEBASTIAO DO RIO VERDE";1;-;-;-;-;1;3;-;-;-;3;3;11
"316500 SAO TIAGO";-;-;2;4;8;24;29;20;16;7;-;-;110
"316510 SAO TOMAS DE AQUINO";-;-;-;1;4;1;3;20;32;35;82;46;224
"316520 SAO THOME DAS LETRAS";-;-;2;3;4;27;15;21;17;39;19;6;153
"316530 SAO VICENTE DE MINAS";3;1;2;6;2;15;40;42;76;91;84;45;407
"316540 SAPUCAI-MIRIM";-;-;-;1;1;-;3;5;23;35;58;6;132
"316550 SARDOA";-;-;-;-;-;1;-;8;3;3;6;-;21
"316553 SARZEDO";111;103;104;129;118;62;51;42;32;28;16;5;801
"316555 SETUBINHA";-;-;-;4;5;4;8;3;12;6;1;-;43
"316556 SEM-PEIXE";4;4;2;6;14;10;6;21;24;14;4;-;109
"316557 SENADOR AMARAL";-;-;-;-;-;-;1;-;-;-;-;-;1
"316560 SENADOR CORTES";-;4;3;3;6;7;12;24;27;23;26;27;162
"316570 SENADOR FIRMINO";-;-;-;1;2;3;11;6;10;23;18;2;76
"316580 SENADOR JOSE BENTO";-;-;-;-;-;-;-;1;4;-;-;-;5
"316590 SENADOR MODESTINO GONCALVES";4;4;2;2;13;29;51;30;32;57;53;41;318
"316600 SENHORA DE OLIVEIRA";6;13;15;27;34;31;58;42;28;74;55;31;414
"316610 SENHORA DO PORTO";-;1;4;1;3;13;14;22;26;21;5;-;110
"316620 SENHORA DOS REMEDIOS";-;-;-;-;3;-;4;3;-;-;-;-;10
"316630 SERICITA";-;-;-;2;4;9;16;25;25;18;46;8;153
"316640 SERITINGA";-;-;-;1;-;-;-;1;1;2;7;3;15
"316650 SERRA AZUL DE MINAS";-;-;-;-;10;30;32;26;36;32;14;1;181
"316660 SERRA DA SAUDADE";2;6;8;7;11;20;18;12;12;19;11;3;129
"316670 SERRA DOS AIMORES";-;-;-;1;1;3;6;15;16;31;35;12;120
"316680 SERRA DO SALITRE";4;7;9;11;10;37;39;44;67;72;55;1;356
"316690 SERRANIA";39;39;24;7;6;-;-;100;18;29;-;-;262
"316695 SERRANOPOLIS DE MINAS";-;-;-;-;2;2;1;6;13;10;23;14;71
"316700 SERRANOS";-;-;-;-;-;-;-;-;-;1;1;1;3
"316710 SERRO";8;9;38;33;79;86;168;170;46;32;13;-;682
"316720 SETE LAGOAS";321;450;803;760;475;258;459;609;496;460;460;72;5623
"316730 SILVEIRANIA";-;-;-;-;-;-;3;-;2;4;1;-;10
"316740 SILVIANOPOLIS";-;-;-;-;-;-;-;-;-;1;-;-;1
"316750 SIMAO PEREIRA";35;22;17;29;18;8;16;9;5;1;-;-;160
"316760 SIMONESIA";1;-;-;8;10;16;50;48;92;130;50;5;410
"316770 SOBRALIA";2;1;9;9;5;13;13;28;38;39;38;2;197
"316780 SOLEDADE DE MINAS";-;-;1;-;-;-;-;4;2;5;4;5;21
"316790 TABULEIRO";-;-;1;1;2;8;3;5;11;6;4;2;43
"316800 TAIOBEIRAS";3;2;7;11;19;27;66;127;145;137;186;71;801
"316805 TAPARUBA";-;-;-;1;1;2;-;1;3;4;5;1;18
"316810 TAPIRA";-;1;-;2;1;4;10;8;10;9;7;-;52
"316830 TAQUARACU DE MINAS";1;5;14;47;72;89;97;41;39;31;23;16;475
"316840 TARUMIRIM";11;23;38;32;33;46;50;89;33;5;-;-;360
"316850 TEIXEIRAS";1;-;5;2;10;7;18;12;11;21;21;3;111
"316860 TEOFILO OTONI";8;17;19;52;119;140;284;357;535;543;476;90;2640
"316870 TIMOTEO";7;21;42;63;49;72;43;64;48;51;25;3;488
"316880 TIRADENTES";9;15;29;45;69;139;141;115;75;10;4;-;651
"316890 TIROS";119;108;97;40;83;60;33;44;25;22;15;-;646
"316900 TOCANTINS";-;1;4;3;7;12;18;39;52;68;77;20;301
"316905 TOCOS DO MOJI";-;-;-;-;-;-;1;-;-;1;1;-;3
"316910 TOLEDO";-;-;-;1;-;4;4;1;-;-;-;-;10
"316920 TOMBOS";15;44;65;62;59;84;57;42;43;43;20;9;543
"316930 TRES CORACOES";3;4;12;17;38;57;92;160;242;342;593;260;1820
"316935 TRES MARIAS";21;57;101;196;238;231;256;320;310;238;102;-;2070
"316940 TRES PONTAS";1;2;4;11;14;39;73;111;138;166;231;41;831
"316950 TUMIRITINGA";1;4;4;-;6;7;16;31;21;4;-;-;94
"316960 TUPACIGUARA";-;1;3;2;18;22;56;71;79;49;34;11;346
"316970 TURMALINA";16;21;40;54;103;132;105;131;162;106;8;-;878
"316980 TURVOLANDIA";-;-;-;-;-;1;2;1;1;7;10;6;28
"316990 UBA";9;5;10;31;86;126;235;391;510;172;10;2;1587
"317000 UBAI";2;3;4;16;14;31;35;18;33;47;32;17;252
"317005 UBAPORANGA";17;31;34;36;44;24;39;52;52;33;8;-;370
"317010 UBERABA";104;119;178;389;475;562;923;1008;892;450;316;68;5484
"317020 UBERLANDIA";236;320;437;1036;1601;1541;1310;649;366;296;143;12;7947
"317030 UMBURATIBA";-;-;1;1;-;-;4;6;2;4;6;-;24
"317040 UNAI";21;17;40;64;110;168;178;270;334;398;484;203;2287
"317043 UNIAO DE MINAS";-;-;-;2;-;-;3;5;6;-;5;-;21
"317047 URUANA DE MINAS";-;2;6;12;21;41;22;30;27;24;2;-;187
"317050 URUCANIA";8;4;5;12;25;18;7;25;26;25;32;15;202
"317052 URUCUIA";92;86;96;137;98;132;107;70;39;20;6;5;888
"317057 VARGEM ALEGRE";30;14;15;50;35;4;-;2;6;-;-;-;156
"317060 VARGEM BONITA";1;3;6;18;13;10;19;16;14;23;18;10;151
"317065 VARGEM GRANDE DO RIO PARDO";-;-;-;-;-;-;-;1;2;-;1;-;4
"317070 VARGINHA";100;127;269;525;698;940;1391;1681;1855;1710;480;47;9823
"317075 VARJAO DE MINAS";-;1;3;2;8;21;24;26;54;79;20;-;238
"317080 VARZEA DA PALMA";16;12;19;39;89;113;173;127;35;56;17;-;696
"317090 VARZELANDIA";-;3;1;8;19;11;12;44;37;90;121;55;401
"317100 VAZANTE";4;-;21;33;30;38;28;40;65;72;64;2;397
"317103 VERDELANDIA";-;1;-;-;2;3;-;9;12;1;-;-;28
"317107 VEREDINHA";55;26;24;22;28;36;26;47;50;38;18;-;370
"317110 VERISSIMO";-;-;-;1;-;1;1;6;1;1;1;-;12
"317115 VERMELHO NOVO";-;-;-;-;1;6;13;37;36;13;4;-;110
"317120 VESPASIANO";324;511;880;1301;1665;1727;1274;1082;215;-;-;1;8980
"317130 VICOSA";14;9;24;29;48;74;127;158;133;172;138;40;966
"317140 VIEIRAS";-;-;-;-;5;6;11;24;3;-;-;-;49
"317150 MATHIAS LOBATO";-;-;-;1;1;1;-;1;3;6;16;18;47
"317160 VIRGEM DA LAPA";11;13;13;21;36;30;53;83;110;81;52;9;512
"317170 VIRGINIA";-;-;-;-;3;-;1;2;3;1;2;11;23
"317180 VIRGINOPOLIS";2;2;-;6;16;24;66;80;123;37;59;10;425
"317190 VIRGOLANDIA";-;-;1;1;-;-;10;24;28;45;49;5;163
"317200 VISCONDE DO RIO BRANCO";9;13;15;25;75;120;151;239;282;268;16;-;1213
"317210 VOLTA GRANDE";3;5;10;6;14;5;46;161;60;15;32;3;360
"317220 WENCESLAU BRAZ";-;-;-;-;-;-;-;1;-;2;1;3;7
"330010 ANGRA DOS REIS";149;200;490;430;390;768;653;741;708;798;266;1;5594
"330015 APERIBE";7;8;46;34;16;11;15;7;25;31;15;-;215
"330020 ARARUAMA";8;5;12;11;67;197;338;232;97;85;42;5;1099
"330022 AREAL";3;11;28;48;55;64;101;103;78;54;36;35;616
"330023 ARMACAO DOS BUZIOS";23;11;29;47;38;100;42;44;10;-;1;-;345
"330025 ARRAIAL DO CABO";3;8;5;15;14;29;50;51;69;16;-;-;260
"330030 BARRA DO PIRAI";9;12;22;22;68;58;57;135;136;171;87;12;789
"330040 BARRA MANSA";18;33;70;115;134;172;190;207;200;148;61;19;1367
"330045 BELFORD ROXO";7;4;7;17;10;18;33;30;41;24;10;-;201
"330050 BOM JARDIM";-;-;8;13;29;24;47;50;91;94;30;9;395
"330060 BOM JESUS DO ITABAPOANA";55;71;109;95;123;101;121;58;10;12;5;-;760
"330070 CABO FRIO";4;10;5;16;15;36;30;41;36;35;19;-;247
"330080 CACHOEIRAS DE MACACU";26;42;44;65;53;92;31;47;88;63;50;9;610
"330090 CAMBUCI";44;46;72;62;45;41;2;-;-;-;-;-;312
"330093 CARAPEBUS";3;1;-;2;8;6;12;8;9;8;2;-;59
"330095 COMENDADOR LEVY GASPARIAN";9;17;21;27;29;14;21;21;11;2;-;-;172
"330100 CAMPOS DOS GOYTACAZES";131;131;222;308;372;294;427;702;664;662;463;80;4456
"330110 CANTAGALO";13;39;67;79;87;170;187;264;180;113;79;-;1278
"330115 CARDOSO MOREIRA";1;1;2;12;30;46;49;52;10;4;-;-;207
"330120 CARMO";4;17;25;42;39;42;71;112;141;107;48;3;651
"330130 CASIMIRO DE ABREU";6;8;22;39;37;45;52;43;44;10;-;-;306
"330140 CONCEICAO DE MACABU";2;2;2;6;6;3;3;1;3;4;5;-;37
"330150 CORDEIRO";21;28;73;110;176;136;170;37;72;62;94;1;980
"330160 DUAS BARRAS";-;-;2;5;3;7;6;1;2;5;1;-;32
"330170 DUQUE DE CAXIAS";67;71;125;160;208;445;564;593;401;233;98;24;2989
"330180 ENGENHEIRO PAULO DE FRONTIN";3;17;22;25;34;34;26;18;34;26;12;1;252
"330185 GUAPIMIRIM";12;10;9;15;20;19;13;10;6;-;-;-;114
"330187 IGUABA GRANDE";2;2;3;6;7;16;28;23;46;39;17;1;190
"330190 ITABORAI";53;70;106;106;137;280;314;417;562;390;60;6;2501
"330200 ITAGUAI";16;26;18;12;16;29;28;18;22;9;6;-;200
"330205 ITALVA";16;17;28;32;49;51;86;75;58;94;82;17;605
"330210 ITAOCARA";4;9;12;11;18;33;29;74;75;48;23;15;351
"330220 ITAPERUNA";35;60;71;84;85;83;144;178;164;133;75;9;1121
"330225 ITATIAIA";152;152;185;244;164;168;202;228;208;103;9;-;1815
"330227 JAPERI";3;13;38;14;7;13;12;26;21;9;22;-;178
"330230 LAJE DO MURIAE";3;-;1;-;1;11;4;15;42;11;5;-;93
"330240 MACAE";77;64;110;131;222;315;266;286;341;273;244;17;2346
"330245 MACUCO";-;2;8;10;7;21;38;54;38;35;37;3;253
"330250 MAGE";13;17;74;83;106;183;210;129;121;121;187;9;1253
"330260 MANGARATIBA";12;6;16;43;29;23;15;25;32;41;16;-;258
"330270 MARICA";6;19;19;28;31;28;27;38;434;1218;791;54;2693
"330280 MENDES";1;9;4;12;17;22;36;63;62;70;73;8;377
"330285 MESQUITA";16;8;14;3;7;4;11;27;72;67;36;9;274
"330290 MIGUEL PEREIRA";-;3;4;6;3;20;20;12;3;15;28;8;122
"330300 MIRACEMA";5;8;12;24;45;13;19;27;104;60;22;8;347
"330310 NATIVIDADE";3;13;13;30;69;43;32;76;44;9;-;1;333
"330320 NILOPOLIS";3;3;4;3;1;4;3;2;8;8;1;-;40
"330330 NITEROI";27;27;35;55;103;123;190;193;171;69;13;1;1007
"330340 NOVA FRIBURGO";14;29;53;62;99;114;151;189;152;87;14;-;964
"330350 NOVA IGUACU";57;82;97;137;73;70;67;17;1;-;1;-;602
"330360 PARACAMBI";1;1;1;9;9;7;12;15;15;36;20;2;128
"330370 PARAIBA DO SUL";4;3;7;12;16;58;59;21;3;18;46;1;248
"330380 PARATY";15;14;17;38;81;130;225;256;236;203;6;-;1221
"330385 PATY DO ALFERES";9;24;24;38;47;64;80;140;79;19;4;1;529
"330390 PETROPOLIS";56;66;78;132;172;239;324;325;120;1;-;-;1513
"330395 PINHEIRAL";4;8;21;22;11;5;34;60;55;91;104;26;441
"330400 PIRAI";41;38;75;88;95;102;147;133;167;197;191;89;1363
"330410 PORCIUNCULA";9;16;50;41;20;22;29;11;2;-;-;-;200
"330411 PORTO REAL";8;6;5;18;19;29;33;47;65;74;77;53;434
"330412 QUATIS";3;2;10;9;7;12;21;11;13;7;2;1;98
"330414 QUEIMADOS";25;52;50;40;62;52;33;23;36;17;-;-;390
"330415 QUISSAMA";-;1;1;4;3;5;9;5;4;4;5;1;42
"330420 RESENDE";893;661;741;774;727;637;500;378;339;50;10;1;5711
"330430 RIO BONITO";5;2;4;9;13;32;32;61;21;15;4;-;198
"330440 RIO CLARO";2;2;10;7;6;15;46;18;29;24;26;10;195
"330450 RIO DAS FLORES";-;1;1;1;-;1;1;-;11;1;-;-;17
"330452 RIO DAS OSTRAS";129;160;181;266;352;341;420;395;404;261;170;24;3103
"330455 RIO DE JANEIRO";1392;1581;2114;3116;5463;7975;11408;13813;11999;9633;7277;2858;78629
"330460 SANTA MARIA MADALENA";-;-;-;-;-;2;3;1;-;-;8;-;14
"330470 SANTO ANTONIO DE PADUA";23;17;35;31;28;28;33;80;77;130;48;1;531
"330475 SAO FRANCISCO DE ITABAPOANA";4;15;9;23;80;263;347;347;201;34;-;-;1323
"330480 SAO FIDELIS";2;4;9;18;32;43;21;32;19;12;4;-;196
"330490 SAO GONCALO";20;17;34;55;241;319;716;550;267;73;10;-;2302
"330500 SAO JOAO DA BARRA";2;2;6;3;1;4;3;4;15;37;31;12;120
"330510 SAO JOAO DE MERITI";66;77;85;125;186;250;351;395;354;266;123;16;2294
"330513 SAO JOSE DE UBA";9;7;3;5;20;29;36;48;40;26;-;-;223
"330515 SAO JOSE DO VALE DO RIO PRETO";3;3;17;39;63;55;60;39;30;33;10;-;352
"330520 SAO PEDRO DA ALDEIA";24;35;23;16;27;29;15;14;12;7;7;1;210
"330530 SAO SEBASTIAO DO ALTO";26;12;21;30;24;16;36;35;7;5;-;-;212
"330540 SAPUCAIA";5;13;22;33;29;21;22;1;1;-;-;-;147
"330550 SAQUAREMA";8;17;38;39;19;28;86;165;100;14;7;1;522
"330555 SEROPEDICA";3;10;9;5;11;15;9;16;18;19;6;-;121
"330560 SILVA JARDIM";3;3;3;11;15;11;10;13;10;5;4;2;90
"330570 SUMIDOURO";12;7;18;31;7;21;26;39;37;32;27;7;264
"330575 TANGUA";1;2;3;3;4;5;9;13;11;12;16;2;81
"330580 TERESOPOLIS";10;15;24;26;60;80;103;78;92;65;48;3;604
"330590 TRAJANO DE MORAES";-;-;1;2;5;-;1;-;8;9;4;2;32
"330600 TRES RIOS";110;140;169;138;110;138;179;161;105;105;82;39;1476
"330610 VALENCA";5;2;10;15;10;12;32;23;75;74;67;5;330
"330615 VARRE-SAI";2;2;12;17;28;22;13;-;-;-;4;-;100
"330620 VASSOURAS";19;32;74;89;87;77;162;179;91;44;7;-;861
"330630 VOLTA REDONDA";175;304;588;965;952;1097;1408;1563;1599;1721;1190;375;11937
"350010 ADAMANTINA";2;1;1;5;5;2;13;13;12;29;43;31;157
"350020 ADOLFO";-;-;-;-;-;1;3;-;1;-;4;5;14
"350030 AGUAI";1;-;5;5;2;9;13;42;63;57;88;21;306
"350040 AGUAS DA PRATA";-;-;-;-;3;1;6;5;1;8;8;5;37
"350050 AGUAS DE LINDOIA";2;2;-;4;9;7;16;29;40;53;93;44;299
"350055 AGUAS DE SANTA BARBARA";-;-;1;-;2;3;1;-;5;10;10;5;37
"350060 AGUAS DE SAO PEDRO";-;-;-;-;1;3;5;5;7;7;10;3;41
"350070 AGUDOS";3;3;1;1;4;7;8;5;18;30;30;4;114
"350075 ALAMBARI";-;-;-;-;2;-;3;3;2;5;6;5;26
