2022
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/denguebbr.def
"Município de notificação";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Semana 44";"Semana 45";"Semana 46";"Semana 47";"Semana 48";"Semana 49";"Semana 50";"Semana 51";"Semana 52";"Total"
"110015 OURO PRETO DO OESTE";1;3;2;10;3;1;3;5;2;4;7;5;4;8;4;-;2;2;2;5;5;-;1;3;-;-;-;-;-;-;2;-;-;-;-;-;-;4;-;2;-;2;-;1;2;-;-;1;2;1;3;-;102
"110018 PIMENTA BUENO";43;56;63;62;80;95;79;66;76;77;47;41;30;25;27;33;22;22;19;13;7;7;2;1;6;2;7;5;7;3;6;5;4;6;-;11;3;2;2;5;1;2;7;7;6;3;10;6;16;33;25;16;1199
"110020 PORTO VELHO";98;99;104;103;134;157;142;126;189;164;161;171;165;134;146;121;132;116;88;92;81;62;66;35;43;42;46;47;40;27;25;26;19;12;13;5;13;11;8;7;11;14;12;13;19;20;27;34;23;33;31;20;3527
"110025 PRESIDENTE MEDICI";11;9;31;31;23;38;29;35;63;36;14;21;16;10;19;10;4;6;5;16;3;4;4;-;4;2;3;2;5;4;1;4;2;-;2;2;1;-;-;1;1;-;1;1;4;-;1;1;3;1;-;-;484
"110026 RIO CRESPO";5;10;4;13;4;-;2;7;-;3;3;5;4;4;1;2;2;7;1;1;3;2;-;-;1;-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;2;-;92
"110028 ROLIM DE MOURA";30;22;57;47;44;70;70;199;171;219;68;80;27;22;36;26;26;29;23;18;18;10;7;6;11;5;6;5;3;11;6;6;2;2;3;3;4;6;2;7;3;1;-;4;10;3;5;3;4;6;5;1;1452
"110029 SANTA LUZIA D'OESTE";15;10;14;9;8;4;7;30;30;18;19;6;1;1;1;-;2;1;2;-;-;-;-;1;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;6;-;1;1;1;6;3;16;12;2;12;15;7;264
"110030 VILHENA";131;147;109;130;80;123;78;88;94;158;57;44;82;56;75;69;37;84;65;54;44;47;35;46;46;22;40;29;27;22;33;28;32;22;12;21;18;12;36;18;16;66;27;51;37;36;109;89;97;134;68;30;3111
"110032 SAO MIGUEL DO GUAPORE";1;16;35;7;-;1;17;22;8;-;1;-;2;-;2;2;3;4;1;1;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;2;-;-;1;130
"110033 NOVA MAMORE";5;17;17;28;35;20;20;20;19;32;17;8;6;5;2;4;3;5;1;7;3;1;3;1;3;2;1;7;-;-;1;1;-;1;-;-;-;-;-;3;1;2;2;1;3;2;4;9;5;4;8;13;352
"110034 ALVORADA D'OESTE";47;32;33;12;17;22;8;13;4;5;3;1;1;4;-;5;2;4;1;-;2;1;1;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;4;7;30;31;26;30;27;377
"110037 ALTO ALEGRE DOS PARECIS";1;2;1;4;3;1;1;1;4;8;7;3;3;2;2;1;7;-;2;-;1;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;5;10;21;24;12;3;-;2;13;4;-;-;1;154
"110040 ALTO PARAISO";4;12;4;1;5;2;2;1;3;3;8;-;3;1;3;-;2;12;5;-;4;4;6;1;2;-;1;1;2;3;-;-;1;-;1;-;-;-;-;-;4;3;1;1;8;6;4;2;4;3;4;-;137
"110045 BURITIS";35;24;46;66;49;51;38;46;49;29;30;12;7;7;5;14;8;3;5;6;5;8;4;12;11;4;3;2;1;5;1;1;1;1;-;2;1;6;-;1;4;5;1;2;1;5;1;3;2;12;2;2;639
"110050 NOVO HORIZONTE DO OESTE";-;-;1;2;2;1;2;-;6;15;13;4;1;2;-;1;-;-;1;-;1;2;1;1;-;-;-;-;1;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;60
"110060 CACAULANDIA";13;12;19;20;32;32;30;32;22;28;14;8;6;4;5;2;5;15;7;3;4;4;2;2;-;-;1;-;-;-;-;-;-;1;-;-;-;1;-;-;-;2;-;-;-;1;1;2;-;6;4;5;345
"110070 CAMPO NOVO DE RONDONIA";10;7;6;7;3;5;7;8;10;8;3;1;3;2;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;1;-;-;1;5;2;1;96
"110080 CANDEIAS DO JAMARI";4;5;4;6;4;4;7;10;24;33;20;3;4;3;4;1;2;8;3;1;-;-;-;13;4;1;2;3;-;1;2;3;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;183
"110090 CASTANHEIRAS";4;5;7;1;2;4;12;14;10;-;5;2;3;1;1;-;1;1;2;2;1;1;-;-;-;3;-;1;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;85
"110092 CHUPINGUAIA";7;6;8;10;9;11;14;14;23;35;10;13;10;15;13;15;15;11;12;11;15;7;4;10;3;1;5;9;4;4;1;1;3;-;3;4;-;-;2;-;3;1;2;1;1;4;4;-;3;1;-;-;358
"110094 CUJUBIM";4;3;3;3;13;16;17;29;34;25;25;17;11;7;9;9;2;7;2;12;4;1;4;1;3;2;1;3;1;4;-;2;2;-;-;-;-;-;2;-;-;2;-;-;1;-;-;1;1;2;2;2;289
"110100 GOVERNADOR JORGE TEIXEIRA";5;1;-;4;1;1;1;-;-;-;-;-;-;-;-;2;-;-;2;2;-;-;-;1;3;1;2;12;1;-;-;1;-;1;-;5;6;6;13;3;4;3;7;8;7;10;14;4;2;10;6;5;154
"110110 ITAPUA DO OESTE";10;13;11;19;11;13;17;13;22;12;13;14;5;4;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;23;12;6;1;1;-;222
"110120 MINISTRO ANDREAZZA";11;8;7;7;3;5;3;4;5;23;4;6;8;2;3;3;2;3;-;1;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;111
"110130 MIRANTE DA SERRA";4;7;7;8;6;4;20;9;5;2;4;4;5;6;12;7;2;7;2;2;5;1;8;8;6;6;1;2;-;7;6;3;2;-;-;4;1;1;1;2;-;-;-;-;1;-;1;-;-;3;19;4;215
"110140 MONTE NEGRO";21;13;14;8;7;15;20;13;8;17;13;14;20;13;12;9;1;5;3;2;1;-;-;1;-;1;-;-;-;-;1;1;2;1;1;1;-;1;-;-;-;2;1;1;-;-;-;2;1;1;1;1;249
"110143 NOVA UNIAO";-;-;-;-;-;-;-;3;1;6;6;2;-;4;1;-;2;2;3;1;-;2;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;36
"110145 PARECIS";4;2;8;4;2;2;1;1;3;7;7;6;8;7;5;4;-;2;1;1;-;1;2;1;3;-;-;-;-;-;-;1;-;1;-;-;4;3;2;-;2;1;-;1;-;3;1;1;3;-;2;1;108
"110146 PIMENTEIRAS DO OESTE";-;2;1;4;3;10;7;14;5;4;9;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;63
"110147 PRIMAVERA DE RONDONIA";2;1;4;3;5;4;1;6;2;4;7;3;2;1;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;3;5;4;4;2;3;5;5;4;7;8;5;8;9;2;1;-;2;2;-;127
"110148 SAO FELIPE D'OESTE";4;11;5;6;3;7;20;11;11;38;46;7;3;2;5;3;3;2;2;1;5;-;5;6;7;9;7;5;5;3;2;-;1;3;4;3;1;3;-;1;-;3;-;2;3;5;5;3;4;4;2;2;293
"110149 SAO FRANCISCO DO GUAPORE";10;16;7;7;9;11;14;14;11;16;21;6;8;4;11;15;17;23;15;21;13;8;5;9;15;10;6;3;2;5;3;1;3;3;6;2;3;4;1;2;4;2;-;1;1;3;1;4;2;4;2;3;387
"110150 SERINGUEIRAS";3;10;33;37;30;26;45;17;34;30;24;24;17;19;11;6;12;7;1;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2;-;2;2;2;2;401
"110155 TEIXEIROPOLIS";-;4;3;2;-;1;2;6;4;13;13;9;3;3;1;4;5;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;1;-;2;2;2;3;1;1;90
"110160 THEOBROMA";10;13;8;10;7;3;5;3;5;7;1;2;5;-;4;-;3;1;-;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;-;2;-;-;5;4;1;105
"110170 URUPA";4;7;4;3;3;4;6;7;3;4;5;3;1;2;2;-;-;4;1;2;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;72
"110175 VALE DO ANARI";4;8;10;9;11;5;22;41;12;4;5;5;5;4;9;6;4;1;-;2;4;2;1;2;2;5;1;2;5;3;-;1;1;-;5;-;-;-;-;-;-;-;-;-;1;-;2;-;-;2;3;3;212
"110180 VALE DO PARAISO";1;3;4;6;6;2;5;2;1;8;8;3;5;8;10;9;6;3;3;4;2;8;2;1;3;1;1;2;1;5;1;-;1;2;-;-;-;2;1;-;-;-;1;-;-;-;-;-;1;3;2;-;137
"120001 ACRELANDIA";5;1;1;-;3;6;2;2;2;-;-;2;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;2;-;-;2;-;-;-;1;13;1;48
"120005 ASSIS BRASIL";105;90;100;73;73;34;51;41;45;36;53;60;19;24;13;15;7;4;10;10;8;5;10;1;1;1;7;1;1;4;-;2;2;2;2;2;-;3;-;-;3;2;3;6;4;2;8;5;6;28;16;48;1046
"120010 BRASILEIA";382;334;282;242;104;99;71;47;69;89;57;25;31;27;31;17;22;16;17;16;14;10;6;9;8;5;5;9;6;3;5;5;6;9;6;1;6;6;3;8;2;10;13;10;18;13;17;23;37;82;194;169;2696
"120013 BUJARI";11;1;5;17;20;20;23;11;20;5;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;1;1;-;1;8;22;11;5;188
"120017 CAPIXABA";8;2;-;2;-;3;1;-;1;2;6;3;-;2;-;4;1;3;-;-;-;-;-;-;1;1;1;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;3;7;10;45;50;50;47;13;3;271
"120020 CRUZEIRO DO SUL";142;142;312;245;281;126;89;215;254;132;78;81;60;67;98;82;53;52;45;63;29;34;27;18;24;24;24;41;32;15;27;13;28;16;11;9;20;16;20;14;22;29;31;20;28;39;41;44;40;44;43;19;3459
"120025 EPITACIOLANDIA";41;27;26;17;9;4;2;-;1;2;1;4;5;3;3;4;2;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;1;1;-;2;3;163
"120030 FEIJO";85;70;60;52;39;67;39;46;37;21;15;8;9;2;15;31;14;28;18;16;10;14;13;5;10;2;3;3;2;3;-;5;-;-;-;-;-;1;1;-;-;-;1;1;47;111;155;127;50;57;23;1;1317
"120033 MANCIO LIMA";25;48;30;21;25;18;20;19;28;19;7;10;13;9;11;12;14;8;5;7;3;5;3;1;3;3;1;2;2;1;3;7;4;3;1;3;3;2;3;5;7;3;5;2;3;16;10;12;6;4;3;3;481
"120034 MANOEL URBANO";2;1;5;4;3;3;2;-;4;1;2;-;2;2;1;2;1;-;1;1;1;1;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;4;23;47;38;15;2;2;1;-;1;1;177
"120035 MARECHAL THAUMATURGO";9;7;18;21;18;31;32;38;9;11;17;9;4;6;8;5;14;15;28;17;5;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;3;2;4;333
"120038 PLACIDO DE CASTRO";74;16;3;2;-;-;1;-;7;5;4;5;7;4;2;1;1;1;-;-;-;-;2;1;1;1;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;4;28;120;162;100;555
"120039 PORTO WALTER";7;5;4;13;11;9;7;32;26;47;14;11;4;7;7;4;4;5;1;1;1;3;1;1;1;-;-;1;2;3;3;-;-;1;-;-;2;1;3;-;3;6;1;13;12;11;12;9;5;7;4;2;327
"120040 RIO BRANCO";135;164;155;150;229;247;356;286;342;246;152;33;44;51;73;69;43;52;35;23;23;15;18;8;9;11;13;16;10;9;8;9;5;1;15;5;10;18;8;12;11;15;21;25;21;30;31;50;95;173;117;67;3764
"120042 RODRIGUES ALVES";25;37;17;32;19;18;20;17;36;17;19;14;12;6;8;4;7;4;5;3;11;8;2;3;1;1;2;2;6;7;1;6;-;-;-;-;1;1;-;3;8;6;5;2;9;6;10;4;11;5;3;-;444
"120043 SANTA ROSA DO PURUS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;3
"120045 SENADOR GUIOMARD";110;51;26;24;19;15;4;6;2;-;2;-;3;-;1;1;-;1;3;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;1;1;-;1;-;-;2;6;16;109;68;-;478
"120050 SENA MADUREIRA";35;21;14;18;19;22;17;7;23;15;34;35;19;25;21;24;18;22;8;12;7;21;9;10;4;4;5;3;6;3;6;4;5;3;5;6;6;11;12;27;19;16;13;8;7;15;27;14;17;42;16;19;779
"120060 TARAUACA";63;42;56;34;23;29;28;44;49;34;26;13;8;4;10;10;10;6;2;7;6;2;-;3;3;2;-;1;3;1;4;3;-;1;-;-;1;-;-;-;1;5;7;6;6;2;7;8;11;14;7;12;614
"120070 XAPURI";20;10;7;3;8;4;6;2;10;4;1;7;13;8;5;5;2;3;2;1;1;-;1;-;-;1;-;-;1;2;2;1;4;1;-;2;-;1;-;-;2;-;2;3;-;3;9;53;204;176;70;20;680
"120080 PORTO ACRE";4;4;1;1;-;1;2;2;11;27;52;21;7;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;3;5;5;2;152
"130002 ALVARAES";15;11;19;6;4;1;3;14;19;34;28;36;30;12;17;20;12;11;14;5;2;8;3;1;3;-;1;-;-;2;1;2;2;14;8;11;5;5;7;18;16;10;15;10;23;10;14;9;11;19;8;9;558
"130006 AMATURA";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"130010 ANORI";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"130014 APUI";2;3;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"130020 ATALAIA DO NORTE";9;7;4;3;10;23;22;8;11;29;25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;1;2;4;12;14;14;17;7;10;10;6;34;16;12;4;1;2;320
"130030 AUTAZES";-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"130040 BARCELOS";1;4;-;4;3;4;6;7;11;12;16;1;1;1;1;-;-;-;1;-;-;-;-;-;-;1;-;1;-;-;-;-;1;3;1;1;2;-;-;-;1;-;-;-;1;-;-;3;-;-;-;-;88
"130060 BENJAMIN CONSTANT";7;10;6;6;16;36;27;36;46;87;6;2;3;1;1;-;-;-;-;-;-;-;-;1;-;-;1;3;-;3;29;8;12;7;22;38;115;123;198;201;198;146;114;77;66;74;61;47;39;26;23;21;1943
"130063 BERURI";-;-;1;1;6;3;6;11;20;18;2;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;72
"130068 BOA VISTA DO RAMOS";1;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"130070 BOCA DO ACRE";4;5;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"130080 BORBA";-;2;6;3;4;1;2;2;8;19;38;12;-;2;-;-;1;-;-;1;-;-;-;1;1;1;-;-;-;-;-;1;-;-;-;-;-;1;1;-;-;-;1;-;-;-;1;-;-;-;-;-;109
"130083 CAAPIRANGA";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"130090 CANUTAMA";-;-;1;7;7;22;41;43;20;11;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;153
"130100 CARAUARI";-;-;-;5;5;4;6;10;37;23;6;1;-;-;-;1;-;-;-;-;-;-;-;1;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;104
"130110 CAREIRO";-;2;1;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"130115 CAREIRO DA VARZEA";-;-;-;2;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"130120 COARI";24;26;48;72;104;144;113;94;78;57;18;1;3;7;3;-;-;-;4;3;4;1;1;2;-;-;4;12;4;6;2;-;1;2;-;-;-;-;-;-;-;-;-;-;-;2;3;8;3;20;23;14;911
"130130 CODAJAS";7;1;7;27;59;16;8;43;120;105;57;6;-;2;-;-;-;-;1;-;1;1;-;-;-;1;-;2;2;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;1;7;1;-;4;1;483
"130140 EIRUNEPE";-;-;-;1;1;3;3;9;19;59;41;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;141
"130150 ENVIRA";4;9;20;25;40;30;49;47;36;26;30;3;2;7;6;10;8;12;2;8;3;2;1;1;-;2;4;3;-;1;-;4;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;397
"130160 FONTE BOA";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"130165 GUAJARA";6;1;4;5;4;10;9;8;11;10;3;4;3;3;6;2;2;4;12;5;8;3;7;7;5;4;6;2;8;5;2;2;6;2;3;-;-;1;-;2;1;-;2;1;4;2;2;3;2;1;1;-;204
"130170 HUMAITA";34;25;40;32;44;38;23;23;25;16;8;10;6;4;10;14;2;8;4;10;6;6;5;4;6;7;4;1;4;-;2;1;1;2;2;7;2;5;8;4;6;5;9;8;12;17;10;5;10;14;19;4;572
"130180 IPIXUNA";53;38;41;27;45;51;29;35;40;24;29;21;10;6;20;19;19;31;37;20;10;8;4;10;4;2;15;9;4;5;2;5;-;-;3;2;-;3;2;1;2;-;8;23;12;25;15;35;23;30;33;22;912
"130185 IRANDUBA";4;8;4;6;11;4;5;7;6;3;4;5;-;1;-;7;5;7;2;9;6;4;-;3;7;3;6;8;8;3;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;150
"130190 ITACOATIARA";-;1;3;5;10;10;16;16;11;8;13;4;-;1;-;2;1;1;2;1;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;110
"130210 JAPURA";2;7;23;14;7;22;43;33;26;35;38;11;3;2;-;1;1;4;8;9;9;-;1;6;6;7;5;1;-;-;-;-;-;-;-;-;-;-;1;4;5;9;12;11;43;33;48;29;18;34;30;15;616
"130220 JURUA";-;-;-;-;-;-;1;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"130230 JUTAI";27;26;47;77;51;28;52;32;33;39;23;4;17;36;18;21;21;18;22;21;17;15;21;11;21;23;18;30;21;15;7;3;10;2;3;3;5;5;4;9;4;4;5;7;7;1;7;3;3;4;7;-;908
"130240 LABREA";81;75;106;68;67;67;60;52;36;24;22;2;6;15;6;16;8;3;2;3;5;5;3;4;3;6;14;5;6;3;-;5;9;9;5;10;26;17;23;10;16;35;27;22;22;19;18;22;52;66;81;38;1305
"130250 MANACAPURU";1;3;4;7;12;16;21;15;16;12;26;10;-;-;-;-;-;-;-;4;4;-;1;2;-;-;1;-;1;1;-;2;2;1;-;2;-;1;-;-;-;1;1;1;2;1;3;2;-;2;2;-;180
"130255 MANAQUIRI";1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"130260 MANAUS";593;489;525;290;281;274;296;267;308;273;275;159;104;70;55;61;69;62;56;51;48;53;59;37;42;32;32;39;38;35;32;20;28;21;36;41;40;30;18;22;11;16;17;18;29;23;10;22;33;63;142;103;5748
"130270 MANICORE";14;30;23;18;43;37;25;19;29;28;17;12;6;5;-;2;-;3;2;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;6;1;6;2;4;5;1;343
"130280 MARAA";-;1;2;3;7;8;6;12;24;10;10;8;5;3;6;2;4;3;1;1;-;1;-;1;2;5;3;4;5;4;2;6;9;-;-;-;-;-;1;3;2;-;-;1;3;1;2;2;-;1;1;2;177
