2021
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/denguebbr.def
"Município de notificação";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Semana 44";"Semana 45";"Semana 46";"Semana 47";"Semana 48";"Semana 49";"Semana 50";"Semana 51";"Semana 52";"Total"
"110025 PRESIDENTE MEDICI";11;9;31;32;23;38;29;36;64;39;16;21;19;11;20;11;4;6;7;16;3;4;4;-;5;2;3;2;5;4;1;4;2;-;2;2;1;-;-;2;1;-;1;1;5;-;2;2;11;6;4;3;525
"110026 RIO CRESPO";5;10;4;13;6;-;2;7;-;3;3;5;4;4;1;2;2;7;1;1;3;2;-;-;1;-;-;-;-;1;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;2;-;95
"110028 ROLIM DE MOURA";31;23;58;48;44;70;70;200;171;219;69;80;27;22;37;26;26;29;23;19;18;11;7;6;11;5;6;6;3;11;6;6;2;2;3;3;5;6;2;8;3;2;-;4;10;5;5;4;4;6;5;1;1468
"110029 SANTA LUZIA D'OESTE";15;10;15;9;8;4;7;31;30;18;19;6;1;1;1;-;3;1;4;1;-;-;1;2;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;6;-;1;1;2;6;3;16;12;3;12;15;7;274
"110030 VILHENA";132;151;111;132;82;127;83;91;100;162;60;46;86;59;80;74;39;89;68;55;46;50;37;49;48;23;41;29;27;23;33;29;34;22;13;22;18;12;36;18;16;66;27;52;37;37;109;91;98;136;73;33;3212
"110032 SAO MIGUEL DO GUAPORE";1;16;35;7;-;1;18;23;8;-;1;-;2;-;2;2;3;4;1;1;-;1;3;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;2;2;2;13;10;1;1;168
"110033 NOVA MAMORE";5;17;18;31;35;20;20;21;19;32;17;8;6;5;2;4;3;6;1;7;3;1;3;1;3;2;1;7;-;-;1;1;-;1;-;-;-;-;-;4;1;3;2;1;3;2;4;9;6;4;8;13;361
"110034 ALVORADA D'OESTE";47;32;33;12;17;22;8;13;4;5;3;1;1;4;-;5;2;4;1;-;2;1;1;-;-;-;1;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;1;1;4;7;30;31;26;30;27;378
"110037 ALTO ALEGRE DOS PARECIS";1;3;2;4;3;1;2;1;4;8;7;3;3;2;2;1;7;-;2;-;1;1;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;2;-;5;10;21;24;12;3;-;2;13;4;-;-;1;158
"110040 ALTO PARAISO";4;12;4;5;9;2;6;2;5;3;10;2;7;1;4;-;2;12;5;1;4;4;7;2;2;-;1;1;2;3;-;-;1;-;1;-;-;-;-;-;4;3;1;1;8;6;4;2;4;3;4;-;164
"110045 BURITIS";42;45;62;85;69;69;53;51;62;31;33;15;13;15;6;15;11;3;6;7;6;12;5;13;13;4;4;3;1;5;2;1;1;1;-;2;1;6;-;1;8;5;1;2;4;11;11;9;10;25;10;12;882
"110050 NOVO HORIZONTE DO OESTE";-;-;1;2;2;1;2;2;8;15;13;4;1;2;-;1;-;-;1;-;1;2;1;1;-;-;-;-;1;1;-;-;-;-;-;-;-;-;1;-;1;-;-;4;3;2;-;-;1;-;-;-;74
"110060 CACAULANDIA";13;12;19;20;32;32;30;32;23;28;14;8;7;4;5;2;6;15;7;3;4;4;2;2;1;-;1;-;-;-;2;-;-;1;-;-;-;1;-;-;-;2;-;-;-;1;1;2;-;6;4;5;351
"110070 CAMPO NOVO DE RONDONIA";10;7;6;7;3;5;7;8;10;8;4;3;3;2;-;2;-;-;3;1;-;-;-;3;3;-;1;2;-;1;-;-;-;1;-;-;-;-;-;1;1;-;-;2;1;4;1;6;15;20;16;5;172
"110080 CANDEIAS DO JAMARI";4;5;4;6;4;4;7;10;24;33;20;3;4;3;4;1;2;8;3;2;-;-;-;13;4;1;2;3;-;1;2;3;1;-;1;-;1;-;-;-;-;-;-;-;-;3;-;2;1;1;-;-;190
"110090 CASTANHEIRAS";4;5;7;1;2;4;12;14;10;-;5;2;3;1;1;-;1;1;2;2;2;1;-;-;-;3;-;1;-;-;-;-;-;-;-;-;1;-;-;1;1;2;1;6;3;-;5;4;7;5;-;-;120
"110092 CHUPINGUAIA";12;9;20;11;9;12;24;16;35;37;13;16;16;18;13;16;18;13;14;13;16;10;5;10;5;5;8;9;5;4;1;2;3;-;3;4;-;1;2;-;3;1;2;1;1;5;5;-;3;1;-;-;450
"110094 CUJUBIM";4;3;3;3;13;16;17;29;34;25;25;17;11;7;9;9;3;7;3;12;4;1;4;1;3;2;1;3;1;4;-;2;3;-;1;-;1;1;3;-;-;2;-;-;1;-;-;1;1;2;2;3;297
"110100 GOVERNADOR JORGE TEIXEIRA";5;1;-;4;1;1;1;-;-;-;-;-;-;-;-;2;-;-;2;2;-;-;-;1;3;1;2;12;1;-;-;1;-;1;-;5;6;6;15;3;4;3;7;8;7;10;14;4;2;10;6;5;156
"110110 ITAPUA DO OESTE";11;14;13;21;18;16;17;16;25;13;17;15;7;6;1;-;-;-;2;-;-;1;-;4;1;3;4;3;1;2;-;1;1;-;-;1;-;1;1;-;-;1;-;-;-;-;23;12;6;1;1;-;280
"110120 MINISTRO ANDREAZZA";11;8;7;7;3;5;3;5;5;23;4;6;8;4;3;3;2;3;2;3;1;-;-;2;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;5;2;11;3;2;146
"110130 MIRANTE DA SERRA";4;7;7;8;6;4;20;9;5;2;4;4;5;6;12;7;2;7;2;2;5;1;8;8;6;6;1;2;-;7;6;3;2;-;-;4;1;1;1;2;-;-;-;-;1;-;1;-;-;3;19;4;215
"110140 MONTE NEGRO";22;13;14;8;8;15;20;13;8;18;13;14;20;14;12;10;2;5;5;3;2;2;4;8;3;3;-;2;6;-;1;1;2;1;1;3;1;1;1;-;2;6;9;17;16;48;41;41;34;22;14;11;540
"110143 NOVA UNIAO";-;-;-;-;-;-;-;3;1;6;6;2;-;4;1;-;2;2;3;1;-;2;-;-;-;1;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;38
"110145 PARECIS";4;4;21;10;9;10;14;4;6;10;11;8;8;8;6;4;-;2;1;2;1;1;2;2;3;-;-;-;-;-;-;1;1;1;-;-;4;3;2;-;2;2;1;2;-;3;1;1;3;-;2;1;181
"110146 PIMENTEIRAS DO OESTE";-;2;1;4;3;10;7;14;5;4;9;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;64
"110147 PRIMAVERA DE RONDONIA";10;3;7;4;6;4;1;8;4;4;11;4;4;1;-;-;1;-;-;-;-;2;-;-;-;1;-;-;-;1;-;1;3;5;4;4;2;3;5;5;4;7;8;5;9;11;2;1;-;2;4;-;161
"110148 SAO FELIPE D'OESTE";4;11;5;7;6;7;20;11;11;38;46;7;3;2;5;3;3;2;2;1;5;-;5;6;7;9;7;5;5;3;2;-;1;3;4;3;1;3;-;1;-;3;-;2;3;5;5;3;4;4;2;2;297
"110149 SAO FRANCISCO DO GUAPORE";12;19;9;7;17;19;19;15;14;19;21;10;10;9;13;19;21;23;19;21;14;8;5;9;15;10;6;3;3;5;3;1;3;3;6;2;3;4;1;2;4;2;-;1;1;3;1;4;4;4;2;3;451
"110150 SERINGUEIRAS";3;10;33;37;30;27;46;18;34;30;25;26;24;24;12;7;17;16;13;5;6;13;10;7;5;4;2;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;2;-;2;5;8;4;511
"110155 TEIXEIROPOLIS";-;4;3;2;-;1;2;7;5;14;13;9;4;3;1;4;5;2;-;1;-;-;1;1;-;1;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;1;-;2;2;2;3;1;2;99
"110160 THEOBROMA";10;13;9;10;8;3;5;3;6;7;1;2;5;-;4;-;3;1;-;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;1;-;-;-;-;2;-;-;5;4;1;109
"110170 URUPA";4;8;5;4;3;4;6;7;3;4;5;3;2;3;2;-;-;4;2;2;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2;4;7;8;2;98
"110175 VALE DO ANARI";4;8;10;9;11;5;22;41;12;4;5;5;5;4;9;7;4;1;1;2;4;2;1;2;2;5;1;2;5;3;-;1;1;-;5;-;-;-;-;-;-;-;-;-;1;-;2;-;-;2;3;3;214
"110180 VALE DO PARAISO";1;3;4;6;6;2;5;2;1;8;8;3;5;8;10;9;6;3;3;4;2;9;2;1;3;1;1;2;1;5;1;-;1;2;-;-;-;2;1;-;-;-;1;-;-;-;-;-;1;3;2;-;138
"120001 ACRELANDIA";17;23;19;26;28;15;10;7;7;9;6;9;3;3;4;-;5;-;3;-;1;2;1;1;1;-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;-;1;2;-;-;2;-;-;-;1;13;1;223
"120005 ASSIS BRASIL";120;117;119;84;81;46;58;47;63;47;64;69;31;31;19;31;14;11;19;12;13;7;14;1;2;1;8;2;1;6;1;4;2;3;6;3;2;6;3;8;9;11;19;25;15;19;29;24;22;77;32;54;1512
"120010 BRASILEIA";461;374;324;276;144;137;104;63;96;109;68;36;43;36;42;30;30;17;22;18;21;16;8;12;8;8;8;10;9;4;5;5;6;10;9;4;7;7;4;8;5;12;17;11;18;16;19;34;47;92;201;170;3241
"120013 BUJARI";20;5;12;25;24;26;29;19;23;13;4;2;-;1;1;-;-;1;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;1;1;-;1;8;22;11;5;259
"120017 CAPIXABA";10;12;12;5;10;8;6;6;7;7;14;3;1;2;-;4;1;3;-;1;-;-;-;-;1;1;1;-;-;1;-;2;-;-;-;-;1;1;-;-;-;-;-;3;7;11;45;51;52;48;13;3;353
"120020 CRUZEIRO DO SUL";179;190;348;284;308;160;135;248;291;166;116;107;82;86;114;104;66;63;55;76;36;42;37;34;31;33;29;43;39;22;33;17;31;22;19;17;21;17;31;28;37;61;61;40;61;77;77;107;98;124;110;51;4664
"120025 EPITACIOLANDIA";47;40;27;21;11;5;2;-;1;2;1;4;6;3;3;6;3;1;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;1;-;2;2;-;2;3;199
"120030 FEIJO";89;95;89;79;63;87;61;57;49;35;27;10;11;3;15;32;17;28;18;16;11;14;13;5;11;2;6;3;4;3;-;5;1;-;5;8;13;25;19;17;15;17;7;7;57;126;164;167;107;128;42;13;1896
"120032 JORDAO";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"120033 MANCIO LIMA";31;57;32;28;41;29;35;28;43;29;23;17;21;17;18;17;17;11;11;11;10;8;4;4;5;5;5;4;5;4;7;10;10;5;2;5;5;4;6;5;7;5;5;3;6;17;13;14;6;6;4;3;718
"120034 MANOEL URBANO";2;1;11;6;5;6;3;3;28;10;9;4;5;7;3;6;6;1;4;3;3;2;2;5;3;10;3;1;-;1;3;1;1;-;2;-;1;-;-;3;6;19;28;58;45;28;6;20;9;11;5;2;401
"120035 MARECHAL THAUMATURGO";34;42;64;96;69;53;69;70;37;22;33;18;10;15;17;15;17;22;34;19;7;4;2;1;1;1;-;1;2;1;1;1;2;-;-;-;-;-;-;-;1;3;2;8;8;2;7;3;8;12;7;4;845
"120038 PLACIDO DE CASTRO";76;22;8;6;2;2;3;1;8;6;6;6;7;4;3;1;1;1;1;1;-;-;2;1;1;1;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;4;28;120;163;101;589
"120039 PORTO WALTER";8;5;5;14;12;9;7;34;27;47;14;11;5;10;7;4;4;5;1;1;1;3;1;1;1;-;-;1;2;3;3;-;-;1;-;-;2;1;3;-;3;6;1;13;12;11;12;9;5;7;4;2;338
"120040 RIO BRANCO";506;542;735;687;723;792;872;715;792;633;364;194;155;142;160;121;80;76;65;43;39;23;29;12;14;15;21;19;12;9;11;9;8;3;21;11;14;29;13;21;17;17;25;28;23;38;35;59;106;200;126;73;9477
"120042 RODRIGUES ALVES";36;51;45;45;49;32;54;68;41;27;40;30;25;19;21;8;14;9;13;9;14;8;7;9;1;2;6;3;6;11;8;16;7;3;-;6;9;5;8;9;14;8;11;9;12;21;17;23;13;5;10;8;925
"120043 SANTA ROSA DO PURUS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;3
"120045 SENADOR GUIOMARD";114;51;29;30;20;17;10;7;3;-;2;1;3;-;1;1;-;1;3;1;2;1;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;1;1;1;-;1;-;-;2;6;16;110;68;-;506
"120050 SENA MADUREIRA";51;31;28;38;71;60;56;71;72;51;69;54;32;37;33;31;28;35;16;18;12;23;11;11;4;4;8;10;6;5;7;4;8;4;9;7;6;12;12;28;21;24;19;10;14;22;33;30;35;63;43;34;1421
"120060 TARAUACA";579;480;422;291;275;195;187;243;278;144;119;57;54;29;21;24;30;21;10;14;15;8;10;4;3;2;-;1;3;1;4;3;1;1;-;-;1;-;-;-;1;5;7;8;8;3;7;8;11;16;14;16;3634
"120070 XAPURI";75;38;81;63;94;88;94;76;72;74;31;19;37;24;13;13;13;9;10;3;6;-;1;3;-;2;-;1;5;5;6;3;7;2;-;2;1;1;-;-;2;1;4;3;-;8;9;53;211;182;76;20;1541
"120080 PORTO ACRE";11;11;23;13;20;4;4;5;14;30;53;22;7;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;3;5;5;4;238
"130002 ALVARAES";15;11;19;7;4;1;3;15;19;37;29;37;30;14;17;21;13;14;15;6;2;9;3;2;3;-;1;-;-;2;1;2;2;14;8;11;5;5;7;18;16;10;15;10;23;10;14;9;11;19;8;9;576
"130006 AMATURA";-;-;2;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"130010 ANORI";-;1;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"130014 APUI";2;3;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"130020 ATALAIA DO NORTE";9;7;4;3;10;23;22;10;11;29;26;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;1;2;4;12;14;14;17;7;10;10;6;34;16;12;4;1;2;323
"130030 AUTAZES";-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"130040 BARCELOS";2;4;-;4;3;5;6;7;11;12;16;1;1;1;1;-;-;-;1;-;-;-;-;-;-;1;-;1;-;-;2;-;1;3;1;1;2;-;-;-;1;-;-;-;1;1;-;3;-;-;-;-;93
"130060 BENJAMIN CONSTANT";9;19;14;14;21;42;29;42;49;91;11;8;8;6;4;-;-;-;1;1;-;3;1;1;-;-;1;3;-;3;29;8;12;7;22;38;115;123;198;201;198;146;114;77;66;74;61;47;39;26;23;21;2026
"130063 BERURI";-;-;4;1;8;4;6;12;21;18;2;-;1;1;-;1;-;-;-;1;2;-;-;1;1;-;1;-;-;1;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;88
"130068 BOA VISTA DO RAMOS";1;-;-;-;-;2;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"130070 BOCA DO ACRE";18;20;5;8;8;3;5;2;6;10;7;8;11;3;1;1;3;3;-;1;1;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;127
"130080 BORBA";-;2;6;3;5;1;2;2;8;19;38;12;-;2;1;-;1;-;-;1;-;1;1;2;3;1;-;-;-;-;3;1;1;-;2;-;-;1;1;-;1;1;3;1;2;-;1;1;-;3;1;-;134
"130083 CAAPIRANGA";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"130090 CANUTAMA";-;-;1;7;7;22;41;43;20;11;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;153
"130100 CARAUARI";-;-;-;6;12;9;11;12;41;25;8;1;1;1;-;2;-;1;1;5;-;-;-;1;-;2;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;144
"130110 CAREIRO";-;2;1;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"130115 CAREIRO DA VARZEA";-;-;-;2;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"130120 COARI";24;26;48;72;104;144;113;94;78;57;18;1;4;7;4;-;3;1;4;3;4;1;1;2;-;-;4;12;4;6;3;-;1;2;-;-;-;-;-;-;-;-;-;-;-;2;3;8;3;20;23;14;918
"130130 CODAJAS";7;1;7;27;59;16;8;43;120;105;57;6;-;2;-;-;-;4;4;-;1;1;-;1;-;1;1;4;2;-;5;2;-;-;-;2;-;-;-;-;-;-;-;-;-;1;1;7;1;-;4;1;501
"130140 EIRUNEPE";12;17;11;10;8;14;12;23;27;63;43;-;1;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;-;-;-;1;-;-;2;1;-;-;-;250
"130150 ENVIRA";23;27;29;28;45;33;53;49;42;44;33;6;6;8;8;13;14;17;4;12;3;2;2;3;1;2;7;4;1;1;-;4;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;528
"130160 FONTE BOA";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"130165 GUAJARA";6;1;5;5;5;12;12;10;15;14;9;6;4;5;6;3;3;6;12;6;8;3;7;7;5;4;6;2;8;7;2;4;6;2;3;-;-;1;1;2;1;-;2;2;5;3;4;4;2;1;1;-;248
"130170 HUMAITA";35;27;42;34;50;43;23;29;52;28;18;23;23;20;15;25;21;24;12;10;9;10;8;4;11;8;9;4;5;1;3;1;1;2;2;9;2;5;8;4;6;7;9;8;13;17;10;6;10;15;20;4;785
"130180 IPIXUNA";53;38;41;27;45;51;30;37;59;27;47;25;30;9;20;20;20;32;37;36;12;8;6;13;5;5;27;9;14;6;5;15;4;-;3;2;-;3;2;1;2;-;8;23;12;25;15;35;23;30;33;22;1052
"130185 IRANDUBA";4;8;4;6;12;10;12;11;16;24;35;31;23;19;17;17;22;20;23;20;12;8;5;7;7;3;8;9;9;4;4;3;1;1;-;-;1;-;2;2;2;2;-;1;1;-;1;1;-;1;-;2;431
"130190 ITACOATIARA";-;1;3;5;10;10;16;16;13;8;14;4;1;1;1;2;1;1;7;2;-;-;-;1;-;1;-;1;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;123
"130210 JAPURA";2;7;23;14;7;22;43;33;26;35;38;11;3;5;-;1;1;4;8;9;9;-;1;6;6;7;5;1;-;-;-;-;-;-;-;-;-;-;1;4;5;9;12;11;43;33;48;29;18;34;30;15;619
"130220 JURUA";-;-;-;-;-;-;1;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"130230 JUTAI";27;26;49;78;57;33;67;47;47;54;42;25;21;48;30;34;39;26;23;22;27;19;21;15;26;24;21;33;25;19;8;5;10;2;3;3;5;5;4;9;4;4;5;7;7;1;7;3;3;4;7;-;1131
"130240 LABREA";120;85;121;97;110;111;68;59;46;58;35;10;33;49;17;18;10;3;2;3;5;5;3;4;3;6;14;5;6;3;-;5;9;9;5;10;26;17;23;10;16;35;27;22;22;19;18;22;52;66;82;38;1642
"130250 MANACAPURU";1;3;4;7;14;23;25;22;20;14;30;17;9;16;19;20;23;21;12;11;5;5;3;3;-;-;1;-;1;1;-;2;2;2;-;2;-;1;-;-;-;1;1;1;2;1;3;2;-;2;2;-;354
"130255 MANAQUIRI";1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"130260 MANAUS";641;527;586;335;367;382;433;408;479;455;471;351;284;229;239;230;205;181;171;156;160;143;168;136;147;137;133;116;124;109;106;60;69;54;83;71;61;46;32;40;29;32;30;26;36;32;26;35;49;80;151;110;9761
"130270 MANICORE";16;42;42;44;55;55;83;58;65;34;24;29;16;11;8;9;12;6;6;10;13;-;1;4;1;1;4;4;3;6;9;12;9;3;4;-;5;11;1;3;5;6;3;5;5;21;15;22;7;12;7;1;828
