2012
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/denguebr.def
"Município de notificação";"Ign/Em Branco";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110037 ALTO ALEGRE DOS PARECIS";-;30;82;32;21;8;1;1;1;-;-;11;8;195
"110040 ALTO PARAISO";-;-;6;7;8;17;14;9;6;2;6;15;11;101
"110045 BURITIS";-;13;13;17;17;9;15;14;6;7;6;12;8;137
"110050 NOVO HORIZONTE DO OESTE";-;33;21;14;13;14;-;2;1;1;2;-;5;106
"110060 CACAULANDIA";-;-;-;-;1;-;-;-;1;-;-;-;-;2
"110070 CAMPO NOVO DE RONDONIA";-;7;16;14;11;13;3;-;-;-;-;-;8;72
"110080 CANDEIAS DO JAMARI";-;12;13;3;-;-;1;1;-;-;-;-;-;30
"110090 CASTANHEIRAS";-;1;3;1;-;-;-;2;-;-;-;-;-;7
"110092 CHUPINGUAIA";-;29;22;6;5;5;4;11;6;4;13;4;4;113
"110094 CUJUBIM";-;-;1;-;-;-;-;-;-;-;-;1;-;2
"110100 GOVERNADOR JORGE TEIXEIRA";-;-;4;11;6;1;1;-;1;11;7;3;-;45
"110110 ITAPUA DO OESTE";-;4;9;3;1;1;7;1;3;-;1;2;3;35
"110120 MINISTRO ANDREAZZA";-;39;39;20;8;7;-;-;-;-;-;1;7;121
"110130 MIRANTE DA SERRA";-;28;62;64;10;26;2;2;-;-;-;4;19;217
"110140 MONTE NEGRO";-;1;4;2;-;1;1;4;-;-;-;1;1;15
"110143 NOVA UNIAO";-;3;19;11;4;-;1;1;-;-;-;2;10;51
"110145 PARECIS";-;10;21;26;6;2;-;-;-;-;-;2;2;69
"110146 PIMENTEIRAS DO OESTE";-;33;24;15;11;3;-;-;-;-;-;3;-;89
"110147 PRIMAVERA DE RONDONIA";-;8;1;-;-;-;-;-;-;-;-;2;-;11
"110148 SAO FELIPE D'OESTE";-;79;21;13;6;9;18;18;23;11;19;35;68;320
"110149 SAO FRANCISCO DO GUAPORE";-;109;120;48;11;7;2;2;1;1;1;5;12;319
"110150 SERINGUEIRAS";-;8;25;51;6;-;-;-;-;-;-;-;-;90
"110155 TEIXEIROPOLIS";-;18;15;1;-;-;-;-;-;1;3;2;8;48
"110160 THEOBROMA";-;5;1;1;1;1;-;-;-;-;-;-;1;10
"110170 URUPA";-;52;18;3;4;-;-;-;-;-;-;4;4;85
"110175 VALE DO ANARI";-;21;13;2;1;-;-;-;-;-;12;8;5;62
"110180 VALE DO PARAISO";-;-;2;2;-;1;-;-;-;-;-;-;1;6
"120001 ACRELANDIA";-;76;158;145;53;16;9;5;-;-;-;1;2;465
"120005 ASSIS BRASIL";-;54;32;24;4;4;-;-;-;2;-;14;23;157
"120010 BRASILEIA";-;85;45;37;12;4;-;3;6;9;46;103;111;461
"120013 BUJARI";-;-;1;-;-;-;-;-;-;1;-;-;1;3
"120017 CAPIXABA";-;10;2;4;4;3;3;-;2;1;3;17;4;53
"120020 CRUZEIRO DO SUL";-;14;12;7;1;1;2;2;2;1;1;2;5;50
"120025 EPITACIOLANDIA";-;1;6;1;-;-;-;3;-;5;3;7;-;26
"120030 FEIJO";-;2;1;1;1;-;-;-;-;-;1;-;1;7
"120032 JORDAO";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"120033 MANCIO LIMA";-;-;-;-;-;-;-;-;-;-;-;-;1;1
"120035 MARECHAL THAUMATURGO";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"120038 PLACIDO DE CASTRO";-;97;44;21;2;2;-;3;1;1;3;50;113;337
"120040 RIO BRANCO";-;911;717;399;214;141;86;77;45;42;92;187;466;3377
"120042 RODRIGUES ALVES";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"120043 SANTA ROSA DO PURUS";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"120045 SENADOR GUIOMARD";-;7;12;-;3;2;-;-;1;-;1;1;12;39
"120050 SENA MADUREIRA";-;8;1;16;-;-;6;6;2;4;10;23;1;77
"120060 TARAUACA";-;3;2;-;-;-;-;1;-;-;-;-;-;6
"120070 XAPURI";-;13;9;10;5;15;27;19;2;3;-;3;20;126
"120080 PORTO ACRE";-;1;-;-;-;-;-;-;-;-;-;1;-;2
"130006 AMATURA";-;2;-;-;-;-;-;-;-;-;-;-;-;2
"130008 ANAMA";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"130010 ANORI";-;1;-;1;-;-;-;-;-;-;2;2;-;6
"130014 APUI";-;-;1;-;1;2;-;-;-;-;-;-;-;4
"130020 ATALAIA DO NORTE";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"130030 AUTAZES";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"130040 BARCELOS";-;10;2;3;6;19;6;2;-;2;4;2;-;56
"130060 BENJAMIN CONSTANT";-;-;-;-;-;-;-;-;-;-;-;3;5;8
"130070 BOCA DO ACRE";-;74;64;28;6;-;-;-;-;2;-;3;6;183
"130080 BORBA";-;12;24;25;8;17;20;8;27;28;24;14;26;233
"130110 CAREIRO";-;30;67;35;13;5;4;5;-;-;-;3;4;166
"130115 CAREIRO DA VARZEA";-;-;-;1;-;-;-;-;-;-;-;1;-;2
"130120 COARI";-;42;299;252;140;58;27;23;18;9;8;25;50;951
"130130 CODAJAS";-;35;70;39;1;-;1;-;-;1;-;-;1;148
"130140 EIRUNEPE";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"130170 HUMAITA";-;195;78;51;19;7;8;13;5;6;17;24;16;439
"130185 IRANDUBA";-;-;-;2;3;-;-;-;-;-;-;-;-;5
"130190 ITACOATIARA";-;8;28;27;22;1;6;-;1;2;2;-;12;109
"130195 ITAMARATI";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"130210 JAPURA";-;-;3;-;-;-;2;-;-;-;-;-;-;5
"130230 JUTAI";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"130240 LABREA";-;15;4;6;8;2;1;1;-;2;7;3;-;49
"130250 MANACAPURU";-;187;158;33;4;2;3;-;-;-;-;6;31;424
"130255 MANAQUIRI";-;2;3;1;2;1;-;-;-;-;-;-;-;9
"130260 MANAUS";-;2919;3823;3207;2426;1395;938;700;435;368;364;461;915;17951
"130270 MANICORE";-;12;20;10;8;2;3;2;-;8;4;-;1;70
"130280 MARAA";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"130290 MAUES";-;1;5;25;33;15;9;2;-;1;1;2;-;94
"130310 NOVA OLINDA DO NORTE";-;1;3;3;-;-;-;-;-;-;-;-;-;7
"130320 NOVO AIRAO";-;11;16;11;14;1;1;5;1;-;2;-;-;62
"130330 NOVO ARIPUANA";-;7;17;42;37;15;15;7;2;3;1;2;2;150
"130340 PARINTINS";-;4;7;2;2;2;1;1;2;3;-;-;-;24
"130353 PRESIDENTE FIGUEIREDO";-;-;6;3;2;2;-;-;-;1;1;-;-;15
"130356 RIO PRETO DA EVA";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"130370 SANTO ANTONIO DO ICA";-;20;2;3;10;-;-;-;1;-;-;-;-;36
"130380 SAO GABRIEL DA CACHOEIRA";-;306;139;128;72;51;39;51;32;32;23;23;41;937
"130390 SAO PAULO DE OLIVENCA";-;-;-;-;-;-;-;-;-;-;2;-;-;2
"130406 TABATINGA";-;174;31;19;10;10;5;4;21;29;115;178;194;790
"130410 TAPAUA";-;-;3;1;-;-;-;-;-;-;-;-;-;4
"130420 TEFE";-;32;58;93;62;84;133;62;20;4;12;13;14;587
"140002 AMAJARI";-;5;3;5;2;11;7;13;5;4;10;6;1;72
"140005 ALTO ALEGRE";-;3;1;-;1;6;19;17;6;-;1;2;1;57
"140010 BOA VISTA";-;148;50;49;48;77;117;136;165;104;63;45;49;1051
"140015 BONFIM";-;3;6;4;8;18;5;2;3;7;2;15;3;76
"140017 CANTA";-;1;1;2;5;1;17;33;16;5;-;3;-;84
"140020 CARACARAI";-;19;42;57;25;65;30;7;6;13;15;20;9;308
"140023 CAROEBE";-;-;1;27;16;20;1;-;1;2;2;1;2;73
"140028 IRACEMA";-;1;1;20;17;66;41;21;17;9;1;1;-;195
"140030 MUCAJAI";-;1;2;4;11;10;8;2;5;-;-;3;2;48
"140040 NORMANDIA";-;-;-;-;1;3;1;1;1;3;4;1;1;16
"140045 PACARAIMA";-;3;11;17;20;37;5;3;1;3;2;-;1;103
"140047 RORAINOPOLIS";-;11;12;21;35;58;83;33;39;47;49;33;28;449
"140050 SAO JOAO DA BALIZA";-;11;5;25;14;10;3;-;1;-;3;4;1;77
"140060 SAO LUIZ";-;1;21;86;34;19;2;1;1;1;-;-;-;166
"140070 UIRAMUTA";-;-;-;-;-;5;-;3;70;30;4;-;2;114
"150010 ABAETETUBA";-;43;69;46;32;11;5;3;13;9;10;9;6;256
"150013 ABEL FIGUEIREDO";-;11;9;6;3;5;4;1;1;-;2;1;-;43
"150020 ACARA";-;1;4;5;2;3;-;1;-;-;-;3;5;24
"150034 AGUA AZUL DO NORTE";-;-;-;2;7;4;2;-;2;1;-;-;-;18
"150040 ALENQUER";-;2;1;-;1;1;-;-;-;-;-;-;-;5
"150060 ALTAMIRA";-;152;258;405;129;73;51;26;32;49;32;40;46;1293
"150070 ANAJAS";-;1;-;1;10;-;-;-;-;-;-;-;-;12
"150080 ANANINDEUA";-;141;120;125;67;23;13;13;9;16;8;12;14;561
"150085 ANAPU";-;3;16;66;23;3;1;2;3;3;15;25;8;168
"150090 AUGUSTO CORREA";-;1;3;4;8;13;6;5;3;-;-;-;-;43
"150095 AURORA DO PARA";-;-;2;6;2;3;-;-;-;-;-;-;1;14
"150110 BAGRE";-;-;2;-;-;-;2;2;49;3;-;-;-;58
"150120 BAIAO";-;2;3;2;3;3;-;1;2;-;-;-;1;17
"150125 BANNACH";-;2;3;3;20;19;1;-;-;-;-;-;-;48
"150130 BARCARENA";-;27;22;17;19;11;12;11;6;8;7;6;8;154
"150140 BELEM";-;508;531;553;328;188;117;92;97;56;56;51;99;2676
"150145 BELTERRA";-;14;12;19;12;4;1;-;3;1;1;2;1;70
"150150 BENEVIDES";-;26;37;55;17;31;18;9;8;4;3;1;5;214
"150157 BOM JESUS DO TOCANTINS";-;4;1;3;1;-;-;-;-;-;-;-;-;9
"150160 BONITO";-;-;-;-;-;-;-;-;-;1;2;-;-;3
"150170 BRAGANCA";-;9;13;14;28;21;22;22;17;5;15;4;7;177
"150172 BRASIL NOVO";-;23;28;43;86;45;10;4;-;-;-;2;2;243
"150175 BREJO GRANDE DO ARAGUAIA";-;9;17;2;2;1;3;-;-;-;1;-;-;35
"150178 BREU BRANCO";-;24;139;140;146;24;1;-;-;-;-;-;-;474
"150180 BREVES";-;1;8;5;1;-;-;7;-;2;2;3;-;29
"150190 BUJARU";-;1;-;4;2;-;2;1;-;-;-;-;-;10
"150195 CACHOEIRA DO PIRIA";-;2;2;4;4;22;1;6;1;1;-;3;-;46
"150210 CAMETA";-;40;79;77;20;22;10;10;9;19;2;2;3;293
"150215 CANAA DOS CARAJAS";-;33;162;96;93;46;4;4;6;5;3;3;2;457
"150220 CAPANEMA";-;34;17;18;10;3;2;5;1;6;1;-;1;98
"150230 CAPITAO POCO";-;4;2;6;3;3;4;5;6;1;2;3;1;40
"150240 CASTANHAL";-;50;45;53;75;50;24;11;16;7;6;3;5;345
"150260 COLARES";-;-;1;-;-;2;-;1;5;1;-;-;-;10
"150270 CONCEICAO DO ARAGUAIA";-;48;63;70;35;21;16;5;6;5;2;7;12;290
"150275 CONCORDIA DO PARA";-;2;1;-;1;1;1;1;1;3;-;1;-;12
"150276 CUMARU DO NORTE";-;2;-;6;23;22;1;-;-;-;-;1;2;57
"150277 CURIONOPOLIS";-;2;18;29;29;9;1;-;-;-;-;-;-;88
"150290 CURUCA";-;-;6;6;2;5;9;6;2;1;-;-;-;37
"150293 DOM ELISEU";-;7;11;10;10;8;5;3;2;6;3;3;6;74
"150295 ELDORADO DOS CARAJAS";-;9;16;17;7;1;2;-;-;-;-;1;2;55
"150304 FLORESTA DO ARAGUAIA";-;-;2;-;-;-;-;-;-;-;-;-;-;2
"150307 GARRAFAO DO NORTE";-;1;-;-;-;1;-;-;-;-;1;2;-;5
"150309 GOIANESIA DO PARA";-;69;103;46;24;19;3;2;-;-;-;-;1;267
"150310 GURUPA";-;-;-;-;-;-;-;-;-;-;6;16;-;22
"150320 IGARAPE-ACU";-;2;5;18;9;9;2;4;3;4;3;2;1;62
"150330 IGARAPE-MIRI";-;13;6;10;4;3;-;-;2;1;1;-;1;41
"150340 INHANGAPI";-;30;30;9;8;-;3;1;3;1;-;-;-;85
"150345 IPIXUNA DO PARA";-;8;13;19;11;9;5;1;1;2;-;-;-;69
"150350 IRITUIA";-;33;8;9;9;2;6;17;15;13;9;20;12;153
"150360 ITAITUBA";-;125;54;33;42;20;9;2;10;10;21;91;50;467
"150370 ITUPIRANGA";-;55;66;43;19;14;1;7;8;8;8;19;55;303
"150375 JACAREACANGA";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"150380 JACUNDA";-;36;56;19;8;3;-;-;-;1;-;1;-;124
"150390 JURUTI";-;177;105;42;-;-;-;-;1;5;5;16;31;382
"150400 LIMOEIRO DO AJURU";-;1;1;1;1;-;-;-;-;-;-;-;-;4
"150405 MAE DO RIO";-;1;-;3;1;3;2;7;4;-;-;-;-;21
"150410 MAGALHAES BARATA";-;1;1;-;1;1;3;2;2;-;1;-;-;12
"150420 MARABA";-;87;126;116;101;20;14;13;12;3;3;6;10;511
"150430 MARACANA";-;2;1;1;-;-;-;2;-;-;-;-;1;7
"150440 MARAPANIM";-;6;3;14;7;12;20;3;4;3;-;2;-;74
"150442 MARITUBA";-;152;81;63;59;13;3;8;14;11;5;8;16;433
"150445 MEDICILANDIA";-;1;-;21;9;-;1;-;-;-;-;-;-;32
"150460 MOCAJUBA";-;-;2;2;-;1;-;2;-;-;2;-;3;12
"150470 MOJU";-;14;9;9;3;2;1;1;-;1;1;4;3;48
"150480 MONTE ALEGRE";-;25;68;97;94;43;25;125;223;81;29;9;7;826
"150490 MUANA";-;3;5;15;4;-;-;-;-;-;2;1;4;34
"150495 NOVA ESPERANCA DO PIRIA";-;2;5;3;2;1;-;2;3;3;1;-;-;22
"150497 NOVA IPIXUNA";-;10;9;5;4;3;2;2;1;1;-;2;5;44
"150500 NOVA TIMBOTEUA";-;-;1;3;-;-;1;-;-;-;-;-;-;5
"150503 NOVO PROGRESSO";-;101;150;68;35;5;9;9;3;1;5;4;10;400
"150506 NOVO REPARTIMENTO";-;97;127;65;24;20;2;-;-;-;-;-;7;342
"150510 OBIDOS";-;1;17;18;5;2;1;-;-;-;-;-;-;44
"150530 ORIXIMINA";-;39;193;119;25;34;15;25;31;84;114;277;89;1045
"150540 OUREM";-;-;-;6;2;-;5;3;-;1;-;-;-;17
"150543 OURILANDIA DO NORTE";-;83;56;61;46;55;12;12;5;3;3;-;2;338
"150548 PACAJA";-;36;57;169;108;20;2;4;2;4;2;28;25;457
"150549 PALESTINA DO PARA";-;9;13;15;6;16;11;2;1;1;-;-;2;76
"150550 PARAGOMINAS";-;37;92;81;41;30;13;17;4;2;1;5;5;328
"150553 PARAUAPEBAS";-;452;649;366;135;167;43;20;8;4;24;129;141;2138
"150555 PAU D'ARCO";-;7;2;5;3;4;1;-;-;1;-;2;-;25
"150560 PEIXE-BOI";-;-;1;-;3;-;1;-;-;-;1;-;-;6
"150563 PICARRA";-;13;16;8;11;5;7;-;1;-;-;-;1;62
"150565 PLACAS";-;9;8;24;16;9;2;4;5;-;1;4;2;84
"150570 PONTA DE PEDRAS";-;-;4;18;11;7;-;-;2;3;1;1;1;48
"150580 PORTEL";-;79;61;23;1;1;2;1;1;5;2;2;14;192
"150600 PRAINHA";-;34;48;39;59;15;8;2;1;4;1;-;3;214
"150610 PRIMAVERA";-;18;5;7;2;2;-;1;-;-;1;-;-;36
"150611 QUATIPURU";-;2;-;-;-;-;-;-;-;-;-;-;-;2
"150613 REDENCAO";-;37;31;61;30;9;12;2;2;2;1;-;7;194
"150616 RIO MARIA";-;85;53;3;13;4;-;-;-;-;-;4;1;163
"150618 RONDON DO PARA";-;21;40;28;35;18;5;8;-;-;1;2;4;162
"150619 RUROPOLIS";-;169;98;50;34;9;3;2;6;2;11;33;59;476
"150620 SALINOPOLIS";-;14;24;91;123;58;57;28;28;22;6;9;12;472
"150630 SALVATERRA";-;34;41;49;35;16;8;6;14;3;-;1;6;213
"150635 SANTA BARBARA DO PARA";-;22;15;18;17;7;8;6;11;1;3;2;-;110
"150650 SANTA IZABEL DO PARA";-;31;31;23;24;29;13;18;15;6;5;2;5;202
"150655 SANTA LUZIA DO PARA";-;40;8;4;2;-;2;1;-;1;1;-;1;60
"150658 SANTA MARIA DAS BARREIRAS";-;56;47;1;6;7;-;-;-;-;1;4;16;138
"150660 SANTA MARIA DO PARA";-;7;1;-;1;1;-;-;-;-;7;4;-;21
"150670 SANTANA DO ARAGUAIA";-;19;4;1;6;4;-;-;1;-;-;22;28;85
"150680 SANTAREM";-;161;327;414;207;104;25;23;29;37;16;29;14;1386
"150690 SANTAREM NOVO";-;15;21;27;12;8;3;4;16;15;5;9;9;144
"150700 SANTO ANTONIO DO TAUA";-;6;11;16;1;2;2;2;2;1;-;-;3;46
"150710 SAO CAETANO DE ODIVELAS";-;1;4;3;2;5;2;3;6;1;-;-;-;27
"150715 SAO DOMINGOS DO ARAGUAIA";-;24;109;133;86;30;2;-;-;2;1;-;-;387
"150720 SAO DOMINGOS DO CAPIM";-;-;-;3;4;2;1;-;-;-;-;1;-;11
"150730 SAO FELIX DO XINGU";-;84;52;38;46;37;24;10;17;24;27;79;50;488
"150740 SAO FRANCISCO DO PARA";-;4;3;4;1;-;-;-;-;2;-;2;1;17
"150745 SAO GERALDO DO ARAGUAIA";-;55;53;92;64;25;9;4;1;4;1;-;3;311
"150746 SAO JOAO DA PONTA";-;1;3;1;2;3;2;2;5;2;1;-;-;22
"150747 SAO JOAO DE PIRABAS";-;6;7;13;9;4;5;-;1;2;1;-;3;51
"150750 SAO JOAO DO ARAGUAIA";-;8;6;3;5;5;1;2;2;-;1;3;-;36
"150760 SAO MIGUEL DO GUAMA";-;9;9;24;9;6;1;1;4;2;4;2;-;71
"150770 SAO SEBASTIAO DA BOA VISTA";-;4;-;5;2;-;1;-;-;-;-;-;-;12
"150780 SENADOR JOSE PORFIRIO";-;-;-;-;1;-;1;-;-;1;13;14;8;38
"150790 SOURE";-;13;16;45;28;25;61;44;49;26;12;5;2;326
"150795 TAILANDIA";-;46;27;21;20;6;5;2;1;1;1;-;3;133
"150796 TERRA ALTA";-;-;-;12;9;-;1;3;1;6;-;-;-;32
"150797 TERRA SANTA";-;1;2;-;-;2;-;-;-;-;-;-;-;5
"150800 TOME-ACU";-;11;4;33;22;4;2;5;4;2;2;2;2;93
"150803 TRACUATEUA";-;1;3;15;18;30;10;10;1;4;3;4;1;100
"150805 TRAIRAO";-;2;5;-;-;-;-;-;-;-;-;-;1;8
"150808 TUCUMA";-;53;54;82;71;15;8;7;-;-;3;2;3;298
"150810 TUCURUI";-;78;66;62;32;16;3;1;2;1;-;3;7;271
"150812 ULIANOPOLIS";-;8;4;8;22;11;8;23;19;15;3;-;1;122
"150815 URUARA";-;33;18;26;29;22;13;18;38;7;-;2;-;206
"150820 VIGIA";-;1;-;3;8;5;3;-;-;2;1;-;1;24
"150830 VISEU";-;-;-;9;-;9;3;-;-;-;7;-;-;28
"150835 VITORIA DO XINGU";-;56;40;36;25;14;34;42;23;18;7;13;14;322
"150840 XINGUARA";-;29;30;30;14;13;4;2;1;-;2;4;3;132
"160005 SERRA DO NAVIO";-;23;7;2;4;3;4;-;5;-;-;63;31;142
"160015 PEDRA BRANCA DO AMAPARI";-;19;9;3;65;5;-;1;7;1;2;2;8;122
"160020 CALCOENE";-;14;23;13;5;11;-;-;3;13;19;43;14;158
"160023 FERREIRA GOMES";-;8;23;42;5;-;-;-;2;4;14;5;-;103
"160025 ITAUBAL";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"160027 LARANJAL DO JARI";-;-;-;-;1;1;1;1;-;-;-;-;-;4
"160030 MACAPA";-;70;101;191;166;133;89;102;265;317;164;60;29;1687
"160040 MAZAGAO";-;53;19;17;7;-;-;3;4;1;4;17;34;159
"160050 OIAPOQUE";-;95;39;147;133;24;3;10;5;26;56;34;29;601
"160053 PORTO GRANDE";-;25;45;28;43;20;3;11;3;5;33;3;1;220
"160060 SANTANA";-;9;16;15;10;9;7;11;40;25;13;12;3;170
"160070 TARTARUGALZINHO";-;-;-;-;-;-;-;-;1;-;-;-;2;3
"170025 ABREULANDIA";-;1;2;2;8;2;1;3;6;6;2;1;2;36
"170030 AGUIARNOPOLIS";-;3;-;8;7;-;1;-;-;-;2;4;1;26
"170035 ALIANCA DO TOCANTINS";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"170040 ALMAS";-;-;4;7;6;6;-;-;-;1;-;-;-;24
"170070 ALVORADA";-;4;-;1;-;-;-;-;-;-;-;-;1;6
"170100 ANANAS";-;-;-;-;-;-;-;-;-;-;-;2;1;3
"170105 ANGICO";-;2;12;10;3;-;-;-;-;-;-;-;-;27
"170110 APARECIDA DO RIO NEGRO";-;7;1;6;3;5;-;-;-;-;-;-;-;22
"170130 ARAGOMINAS";-;8;5;3;-;1;-;-;-;-;-;-;-;17
"170190 ARAGUACEMA";-;11;42;19;7;4;-;1;-;1;1;-;1;87
"170200 ARAGUACU";-;59;102;139;99;62;37;6;9;4;10;34;96;657
"170210 ARAGUAINA";-;294;336;634;575;240;102;77;53;60;69;106;132;2678
"170215 ARAGUANA";-;4;3;1;-;2;-;-;-;1;-;-;4;15
"170220 ARAGUATINS";-;88;33;15;9;4;1;2;-;2;4;3;8;169
"170230 ARAPOEMA";-;6;2;2;1;3;4;-;-;2;3;5;12;40
"170240 ARRAIAS";-;4;11;7;18;21;9;2;1;-;-;8;1;82
"170255 AUGUSTINOPOLIS";-;14;25;5;8;4;3;2;1;1;-;1;5;69
"170270 AURORA DO TOCANTINS";-;-;-;-;-;2;-;-;-;-;-;-;-;2
"170290 AXIXA DO TOCANTINS";-;1;2;-;-;-;-;-;-;-;-;-;-;3
"170300 BABACULANDIA";-;-;1;3;3;15;10;-;1;1;-;1;-;35
"170305 BANDEIRANTES DO TOCANTINS";-;-;3;3;1;-;1;-;-;-;-;-;-;8
"170307 BARRA DO OURO";-;-;2;3;-;-;-;-;-;-;-;-;-;5
"170310 BARROLANDIA";-;37;74;15;8;-;-;-;-;-;2;2;1;139
"170320 BERNARDO SAYAO";-;-;3;2;-;2;-;-;-;-;-;-;-;7
"170330 BOM JESUS DO TOCANTINS";-;1;2;5;2;-;1;-;-;-;-;-;-;11
"170360 BRASILANDIA DO TOCANTINS";-;3;5;4;5;2;2;1;-;-;-;-;-;22
"170370 BREJINHO DE NAZARE";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"170380 BURITI DO TOCANTINS";-;20;5;3;-;1;-;-;-;1;-;-;2;32
"170382 CACHOEIRINHA";-;4;2;-;5;5;3;-;-;2;2;2;1;26
"170384 CAMPOS LINDOS";-;2;-;-;1;-;-;-;1;1;-;-;-;5
"170386 CARIRI DO TOCANTINS";-;5;3;3;4;-;1;1;-;-;-;-;1;18
"170388 CARMOLANDIA";-;-;-;2;-;-;-;-;-;-;-;-;-;2
"170389 CARRASCO BONITO";-;-;2;-;-;-;-;-;-;-;-;-;-;2
"170390 CASEARA";-;-;2;2;1;-;-;-;-;2;1;-;4;12
"170410 CENTENARIO";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"170460 CHAPADA DE AREIA";-;8;1;-;-;1;-;3;-;-;1;1;-;15
"170510 CHAPADA DA NATIVIDADE";-;2;-;2;4;6;-;1;-;1;-;-;-;16
"170550 COLINAS DO TOCANTINS";-;83;99;49;46;31;17;1;4;1;3;17;34;385
"170555 COMBINADO";-;-;-;-;1;1;-;1;-;2;-;-;-;5
"170560 CONCEICAO DO TOCANTINS";-;4;1;8;7;-;1;-;-;-;-;-;1;22
"170600 COUTO MAGALHAES";-;4;-;-;1;-;-;-;-;-;-;-;2;7
"170610 CRISTALANDIA";-;55;41;14;4;-;1;-;-;-;-;2;1;118
"170625 CRIXAS DO TOCANTINS";-;6;6;-;-;-;-;-;-;-;-;-;-;12
"170650 DARCINOPOLIS";-;-;1;2;3;1;-;-;-;-;-;-;1;8
"170700 DIANOPOLIS";-;8;8;20;43;47;24;8;3;1;6;4;4;176
"170710 DIVINOPOLIS DO TOCANTINS";-;64;86;52;39;22;6;1;2;-;2;3;5;282
"170720 DOIS IRMAOS DO TOCANTINS";-;5;5;4;2;2;-;2;-;-;4;-;2;26
"170730 DUERE";-;22;17;20;17;8;4;3;2;1;1;3;18;116
"170740 ESPERANTINA";-;4;-;-;-;-;-;-;-;-;-;-;-;4
"170755 FATIMA";-;2;11;1;-;-;1;-;1;-;-;-;-;16
"170765 FIGUEIROPOLIS";-;14;6;12;10;6;3;7;2;-;-;5;4;69
"170770 FILADELFIA";-;-;4;2;-;3;-;-;1;-;-;-;-;10
"170820 FORMOSO DO ARAGUAIA";-;138;227;134;59;25;9;3;-;2;2;6;13;618
