2013
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/denguebr.def
"Município de notificação";"Ign/Em Branco";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110146 PIMENTEIRAS DO OESTE";-;33;24;15;11;3;-;-;-;-;-;3;-;89
"110147 PRIMAVERA DE RONDONIA";-;8;1;-;-;-;-;-;-;-;-;2;-;11
"110148 SAO FELIPE D'OESTE";-;76;11;7;-;3;5;3;2;10;13;12;43;185
"110149 SAO FRANCISCO DO GUAPORE";-;92;111;43;2;1;1;1;-;1;1;1;7;261
"110150 SERINGUEIRAS";-;8;16;11;4;-;-;-;-;-;-;-;-;39
"110155 TEIXEIROPOLIS";-;18;15;1;-;-;-;-;-;-;-;-;2;36
"110160 THEOBROMA";-;5;1;1;1;1;-;-;-;-;-;-;-;9
"110170 URUPA";-;51;9;3;-;-;-;-;-;-;-;-;1;64
"110175 VALE DO ANARI";-;21;13;2;1;-;-;-;-;-;12;8;4;61
"110180 VALE DO PARAISO";-;-;2;-;-;1;-;-;-;-;-;-;1;4
"120001 ACRELANDIA";-;76;157;145;53;16;9;5;-;-;-;1;2;464
"120005 ASSIS BRASIL";-;51;31;20;4;3;-;-;-;-;-;-;1;110
"120010 BRASILEIA";-;76;38;14;6;-;-;1;2;-;-;-;21;158
"120013 BUJARI";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"120017 CAPIXABA";-;7;2;3;4;3;2;-;2;1;3;16;2;45
"120020 CRUZEIRO DO SUL";-;9;9;6;1;-;-;2;2;1;1;2;3;36
"120025 EPITACIOLANDIA";-;1;6;1;-;-;-;2;-;-;-;1;-;11
"120030 FEIJO";-;-;1;-;1;-;-;-;-;-;-;-;-;2
"120032 JORDAO";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"120033 MANCIO LIMA";-;-;-;-;-;-;-;-;-;-;-;-;1;1
"120038 PLACIDO DE CASTRO";-;97;43;21;2;2;-;2;1;1;1;-;16;186
"120040 RIO BRANCO";-;516;339;205;90;54;36;31;11;11;11;44;140;1488
"120043 SANTA ROSA DO PURUS";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"120045 SENADOR GUIOMARD";-;7;11;-;1;2;-;-;1;-;1;1;4;28
"120050 SENA MADUREIRA";-;8;1;16;-;-;6;6;2;4;10;23;1;77
"120060 TARAUACA";-;3;2;-;-;-;-;-;-;-;-;-;-;5
"120070 XAPURI";-;12;9;10;3;13;27;19;-;3;-;3;19;118
"120080 PORTO ACRE";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"130006 AMATURA";-;2;-;-;-;-;-;-;-;-;-;-;-;2
"130008 ANAMA";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"130010 ANORI";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"130014 APUI";-;-;1;-;1;2;-;-;-;-;-;-;-;4
"130030 AUTAZES";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"130040 BARCELOS";-;-;-;2;3;16;5;-;-;2;4;-;-;32
"130060 BENJAMIN CONSTANT";-;-;-;-;-;-;-;-;-;-;-;-;2;2
"130070 BOCA DO ACRE";-;73;64;25;6;-;-;-;-;2;-;1;1;172
"130080 BORBA";-;8;17;19;8;15;20;8;27;28;24;9;19;202
"130110 CAREIRO";-;26;63;33;13;5;3;1;-;-;-;2;4;150
"130115 CAREIRO DA VARZEA";-;-;-;1;-;-;-;-;-;-;-;1;-;2
"130120 COARI";-;35;286;251;138;58;24;22;18;9;8;25;49;923
"130130 CODAJAS";-;24;68;38;1;-;1;-;-;-;-;-;1;133
"130140 EIRUNEPE";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"130170 HUMAITA";-;194;76;44;11;2;-;-;4;6;16;18;8;379
"130185 IRANDUBA";-;-;-;2;3;-;-;-;-;-;-;-;-;5
"130190 ITACOATIARA";-;8;28;25;22;1;6;-;-;1;1;-;8;100
"130210 JAPURA";-;-;1;-;-;-;2;-;-;-;-;-;-;3
"130240 LABREA";-;14;4;3;5;-;1;-;-;-;4;2;-;33
"130250 MANACAPURU";-;142;137;29;4;2;3;-;-;-;-;5;3;325
"130255 MANAQUIRI";-;2;3;1;2;1;-;-;-;-;-;-;-;9
"130260 MANAUS";-;2382;2810;2917;2271;1249;727;462;282;216;210;200;406;14132
"130270 MANICORE";-;2;6;9;8;-;3;2;-;8;4;-;-;42
"130290 MAUES";-;1;5;25;33;15;8;2;-;-;-;2;-;91
"130310 NOVA OLINDA DO NORTE";-;1;3;3;-;-;-;-;-;-;-;-;-;7
"130320 NOVO AIRAO";-;11;16;11;14;1;1;5;1;-;2;-;-;62
"130330 NOVO ARIPUANA";-;1;8;36;36;15;15;7;2;3;1;2;2;128
"130340 PARINTINS";-;4;7;2;2;2;1;1;2;3;-;-;-;24
"130353 PRESIDENTE FIGUEIREDO";-;-;1;1;2;2;-;-;-;1;1;-;-;8
"130356 RIO PRETO DA EVA";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"130370 SANTO ANTONIO DO ICA";-;20;2;3;10;-;-;-;1;-;-;-;-;36
"130380 SAO GABRIEL DA CACHOEIRA";-;36;26;37;43;15;11;18;9;4;14;6;4;223
"130406 TABATINGA";-;170;29;17;8;10;3;2;5;3;3;38;87;375
"130410 TAPAUA";-;-;3;1;-;-;-;-;-;-;-;-;-;4
"130420 TEFE";-;20;46;90;52;71;130;58;19;4;11;11;13;525
"140002 AMAJARI";-;5;3;5;1;-;1;8;2;-;-;-;1;26
"140005 ALTO ALEGRE";-;1;1;-;-;2;1;2;-;-;1;-;-;8
"140010 BOA VISTA";-;24;21;20;17;24;14;22;20;46;33;28;22;291
"140015 BONFIM";-;-;2;4;-;4;2;1;1;-;1;3;-;18
"140017 CANTA";-;-;-;1;4;-;11;19;4;2;-;2;-;43
"140020 CARACARAI";-;16;12;6;-;30;13;3;3;9;10;14;7;123
"140023 CAROEBE";-;-;1;-;1;2;-;-;-;2;-;-;1;7
"140028 IRACEMA";-;1;1;-;6;15;22;17;15;8;-;-;-;85
"140030 MUCAJAI";-;1;-;1;5;4;2;2;3;-;-;3;2;23
"140040 NORMANDIA";-;-;-;-;1;2;-;-;-;2;3;1;-;9
"140045 PACARAIMA";-;1;-;1;-;-;1;-;-;1;-;-;-;4
"140047 RORAINOPOLIS";-;8;11;13;25;49;52;23;32;42;44;14;14;327
"140060 SAO LUIZ";-;1;-;1;-;-;-;-;1;1;-;-;-;4
"140070 UIRAMUTA";-;-;-;-;-;3;-;-;-;-;-;-;2;5
"150010 ABAETETUBA";-;3;10;6;1;4;1;-;2;2;-;-;-;29
"150013 ABEL FIGUEIREDO";-;1;3;5;3;3;-;-;1;-;1;1;-;18
"150020 ACARA";-;1;1;2;1;2;-;-;-;-;-;3;5;15
"150034 AGUA AZUL DO NORTE";-;-;-;2;7;4;-;-;-;1;-;-;-;14
"150040 ALENQUER";-;2;1;-;1;1;-;-;-;-;-;-;-;5
"150060 ALTAMIRA";-;57;85;43;24;11;4;4;3;3;10;6;11;261
"150070 ANAJAS";-;-;-;1;10;-;-;-;-;-;-;-;-;11
"150080 ANANINDEUA";-;16;36;53;47;12;4;1;1;3;4;2;1;180
"150085 ANAPU";-;-;-;42;19;2;1;2;3;3;15;25;7;119
"150090 AUGUSTO CORREA";-;1;1;1;3;-;-;-;1;-;-;-;-;7
"150095 AURORA DO PARA";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"150120 BAIAO";-;1;-;1;-;-;-;-;-;-;-;-;1;3
"150125 BANNACH";-;1;2;3;20;19;1;-;-;-;-;-;-;46
"150130 BARCARENA";-;14;6;4;13;3;-;-;-;-;-;-;1;41
"150140 BELEM";-;79;108;92;77;30;16;18;31;13;14;10;17;505
"150145 BELTERRA";-;14;11;18;5;-;-;-;-;-;-;-;-;48
"150150 BENEVIDES";-;3;14;19;5;3;1;-;1;3;-;-;2;51
"150157 BOM JESUS DO TOCANTINS";-;2;-;-;-;-;-;-;-;-;-;-;-;2
"150160 BONITO";-;-;-;-;-;-;-;-;-;1;2;-;-;3
"150170 BRAGANCA";-;2;4;4;6;2;1;1;-;2;-;-;1;23
"150172 BRASIL NOVO";-;1;3;17;67;17;6;1;-;-;-;2;1;115
"150175 BREJO GRANDE DO ARAGUAIA";-;-;-;-;2;1;3;-;-;-;-;-;-;6
"150178 BREU BRANCO";-;-;3;4;8;9;1;-;-;-;-;-;-;25
"150180 BREVES";-;-;8;4;1;-;-;5;-;1;2;3;-;24
"150190 BUJARU";-;1;-;1;-;-;-;-;-;-;-;-;-;2
"150195 CACHOEIRA DO PIRIA";-;-;-;1;-;1;-;-;-;-;-;1;-;3
"150210 CAMETA";-;1;9;4;1;4;2;3;-;2;1;-;-;27
"150215 CANAA DOS CARAJAS";-;4;38;73;80;37;4;4;6;4;3;2;2;257
"150220 CAPANEMA";-;1;2;3;5;1;1;1;1;4;1;-;-;20
"150230 CAPITAO POCO";-;4;1;-;1;-;1;-;1;-;-;-;-;8
"150240 CASTANHAL";-;1;7;10;26;9;2;-;1;3;-;1;-;60
"150270 CONCEICAO DO ARAGUAIA";-;29;40;48;25;12;14;3;5;1;1;1;3;182
"150275 CONCORDIA DO PARA";-;-;-;-;1;-;-;-;-;-;-;1;-;2
"150276 CUMARU DO NORTE";-;2;-;3;23;22;1;-;-;-;-;1;2;54
"150277 CURIONOPOLIS";-;1;-;7;3;6;1;-;-;-;-;-;-;18
"150290 CURUCA";-;-;4;-;-;1;-;-;-;-;-;-;-;5
"150293 DOM ELISEU";-;4;9;8;10;4;1;3;2;6;3;3;4;57
"150295 ELDORADO DOS CARAJAS";-;-;-;-;-;-;-;-;-;-;-;1;2;3
"150304 FLORESTA DO ARAGUAIA";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"150307 GARRAFAO DO NORTE";-;1;-;-;-;-;-;-;-;-;1;-;-;2
"150309 GOIANESIA DO PARA";-;6;12;24;21;19;3;2;-;-;-;-;-;87
"150320 IGARAPE-ACU";-;-;1;2;1;-;-;-;-;1;-;-;-;5
"150330 IGARAPE-MIRI";-;7;6;8;2;3;-;-;-;1;-;-;1;28
"150340 INHANGAPI";-;-;1;1;2;-;-;-;-;1;-;-;-;5
"150345 IPIXUNA DO PARA";-;3;2;6;5;1;1;-;-;1;-;-;-;19
"150350 IRITUIA";-;33;6;8;5;-;1;-;-;-;-;-;7;60
"150360 ITAITUBA";-;109;40;16;36;19;3;-;4;2;2;3;12;246
"150370 ITUPIRANGA";-;32;48;34;17;13;1;2;5;6;7;3;8;176
"150375 JACAREACANGA";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"150380 JACUNDA";-;3;1;-;-;1;-;-;-;-;-;-;-;5
"150390 JURUTI";-;171;104;41;-;-;-;-;-;4;5;15;31;371
"150400 LIMOEIRO DO AJURU";-;-;1;1;1;-;-;-;-;-;-;-;-;3
"150405 MAE DO RIO";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"150420 MARABA";-;14;24;48;43;4;4;6;2;1;2;3;5;156
"150440 MARAPANIM";-;6;2;4;1;1;-;-;-;-;-;-;-;14
"150442 MARITUBA";-;9;26;29;44;6;-;3;-;-;1;5;-;123
"150445 MEDICILANDIA";-;1;-;19;9;-;-;-;-;-;-;-;-;29
"150470 MOJU";-;1;-;-;-;-;-;-;-;-;1;1;1;4
"150480 MONTE ALEGRE";-;20;47;69;41;2;1;1;1;-;1;-;4;187
"150490 MUANA";-;2;4;15;4;-;-;-;-;-;-;1;-;26
"150495 NOVA ESPERANCA DO PIRIA";-;-;1;-;-;-;-;-;1;3;1;-;-;6
"150497 NOVA IPIXUNA";-;3;2;4;1;1;1;-;-;-;-;2;3;17
"150503 NOVO PROGRESSO";-;96;129;58;28;4;5;2;-;1;2;3;4;332
"150506 NOVO REPARTIMENTO";-;-;8;1;12;18;2;-;-;-;-;-;-;41
"150510 OBIDOS";-;1;17;18;5;2;1;-;-;-;-;-;-;44
"150530 ORIXIMINA";-;37;184;104;18;24;4;5;-;5;2;11;8;402
"150540 OUREM";-;-;-;3;2;-;-;-;-;-;-;-;-;5
"150543 OURILANDIA DO NORTE";-;12;8;24;22;31;8;2;1;-;-;-;-;108
"150548 PACAJA";-;21;30;51;37;17;1;4;2;4;2;27;22;218
"150549 PALESTINA DO PARA";-;1;3;7;5;14;9;-;1;-;-;-;-;40
"150550 PARAGOMINAS";-;10;31;33;12;3;3;-;2;2;1;3;-;100
"150553 PARAUAPEBAS";-;89;111;113;85;112;23;17;5;2;20;117;68;762
"150555 PAU D'ARCO";-;5;1;1;2;-;-;-;-;-;-;-;-;9
"150560 PEIXE-BOI";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"150563 PICARRA";-;6;1;4;7;2;3;-;-;-;-;-;-;23
"150565 PLACAS";-;2;-;2;4;7;1;2;2;-;1;-;2;23
"150570 PONTA DE PEDRAS";-;-;-;-;1;5;-;-;2;3;1;1;-;13
"150580 PORTEL";-;79;61;23;1;-;2;-;-;1;-;-;6;173
"150600 PRAINHA";-;34;48;39;59;15;8;2;1;-;-;-;3;209
"150610 PRIMAVERA";-;1;-;2;1;1;-;-;-;-;1;-;-;6
"150613 REDENCAO";-;10;14;27;14;8;6;-;1;1;-;-;3;84
"150616 RIO MARIA";-;82;50;-;13;4;-;-;-;-;-;1;1;151
"150618 RONDON DO PARA";-;7;7;1;10;4;3;2;-;-;-;2;-;36
"150619 RUROPOLIS";-;140;84;29;28;6;2;-;-;1;-;1;29;320
"150620 SALINOPOLIS";-;9;10;21;20;3;2;2;-;2;-;-;2;71
"150630 SALVATERRA";-;-;2;-;2;2;-;1;4;2;-;1;1;15
"150635 SANTA BARBARA DO PARA";-;2;-;-;2;-;-;-;1;-;1;1;-;7
"150650 SANTA IZABEL DO PARA";-;7;-;3;9;-;-;-;-;-;-;-;1;20
"150658 SANTA MARIA DAS BARREIRAS";-;52;47;1;6;7;-;-;-;-;-;-;1;114
"150660 SANTA MARIA DO PARA";-;-;1;-;1;1;-;-;-;-;-;-;-;3
"150670 SANTANA DO ARAGUAIA";-;19;2;1;4;4;-;-;-;-;-;-;4;34
"150680 SANTAREM";-;114;251;298;126;72;5;2;-;1;8;9;9;895
"150690 SANTAREM NOVO";-;1;1;2;-;-;-;-;-;-;-;-;-;4
"150700 SANTO ANTONIO DO TAUA";-;3;8;12;-;1;2;-;-;-;-;-;-;26
"150710 SAO CAETANO DE ODIVELAS";-;-;2;-;-;-;-;-;-;-;-;-;-;2
"150715 SAO DOMINGOS DO ARAGUAIA";-;13;22;35;52;6;2;-;-;1;-;-;-;131
"150720 SAO DOMINGOS DO CAPIM";-;-;-;-;2;1;-;-;-;-;-;1;-;4
"150730 SAO FELIX DO XINGU";-;72;42;30;33;26;18;1;3;2;1;11;15;254
"150740 SAO FRANCISCO DO PARA";-;-;-;1;-;-;-;-;-;2;-;2;1;6
"150745 SAO GERALDO DO ARAGUAIA";-;11;18;41;44;9;1;1;-;-;1;-;-;126
"150746 SAO JOAO DA PONTA";-;-;2;-;1;-;-;-;-;-;-;-;-;3
"150747 SAO JOAO DE PIRABAS";-;-;4;1;-;-;-;-;-;1;1;-;-;7
"150750 SAO JOAO DO ARAGUAIA";-;1;1;-;5;2;-;-;-;-;-;2;-;11
"150760 SAO MIGUEL DO GUAMA";-;3;7;16;-;-;-;-;1;1;1;2;-;31
"150780 SENADOR JOSE PORFIRIO";-;-;-;-;-;-;-;-;-;1;13;14;8;36
"150790 SOURE";-;5;3;13;12;6;2;1;-;-;-;-;-;42
"150795 TAILANDIA";-;-;9;12;17;1;-;-;-;-;-;-;2;41
"150796 TERRA ALTA";-;-;-;12;9;-;1;3;-;1;-;-;-;26
"150797 TERRA SANTA";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"150800 TOME-ACU";-;-;1;24;17;1;-;1;1;-;-;1;-;46
"150803 TRACUATEUA";-;-;-;2;2;-;-;-;-;3;2;4;-;13
"150805 TRAIRAO";-;2;5;-;-;-;-;-;-;-;-;-;1;8
"150808 TUCUMA";-;12;11;2;-;-;-;-;-;-;-;-;1;26
"150810 TUCURUI";-;10;20;15;9;4;2;-;1;-;-;1;-;62
"150815 URUARA";-;30;14;22;20;13;5;1;-;1;-;-;-;106
"150820 VIGIA";-;1;-;2;-;3;-;-;-;-;-;-;1;7
"150830 VISEU";-;-;-;3;-;4;-;-;-;-;1;-;-;8
"150835 VITORIA DO XINGU";-;33;34;22;19;10;6;1;2;1;1;1;1;131
"150840 XINGUARA";-;19;18;15;5;6;-;-;1;-;-;-;3;67
"160005 SERRA DO NAVIO";-;22;7;2;3;2;4;-;2;-;-;-;2;44
"160015 PEDRA BRANCA DO AMAPARI";-;19;9;3;65;5;-;-;6;1;2;-;1;111
"160020 CALCOENE";-;-;-;11;5;11;-;-;-;-;-;-;-;27
"160023 FERREIRA GOMES";-;8;23;42;5;-;-;-;-;-;-;1;-;79
"160025 ITAUBAL";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"160027 LARANJAL DO JARI";-;-;-;-;1;1;1;1;-;-;-;-;-;4
"160030 MACAPA";-;53;89;159;132;83;35;18;27;27;24;12;10;669
"160040 MAZAGAO";-;53;18;17;6;-;-;-;-;-;-;-;31;125
"160050 OIAPOQUE";-;93;30;145;126;19;2;2;2;-;7;18;29;473
"160053 PORTO GRANDE";-;25;43;28;41;20;2;11;1;-;1;-;-;172
"160060 SANTANA";-;6;13;14;7;3;3;7;23;7;-;3;2;88
"170025 ABREULANDIA";-;-;-;-;2;2;-;-;-;-;-;-;1;5
"170030 AGUIARNOPOLIS";-;2;-;2;4;-;-;-;-;-;-;2;1;11
"170035 ALIANCA DO TOCANTINS";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"170040 ALMAS";-;-;1;7;4;6;-;-;-;1;-;-;-;19
"170070 ALVORADA";-;4;-;-;-;-;-;-;-;-;-;-;-;4
"170100 ANANAS";-;-;-;-;-;-;-;-;-;-;-;2;1;3
"170105 ANGICO";-;1;4;-;-;-;-;-;-;-;-;-;-;5
"170110 APARECIDA DO RIO NEGRO";-;3;-;5;2;5;-;-;-;-;-;-;-;15
"170190 ARAGUACEMA";-;10;38;19;4;2;-;-;-;-;1;-;1;75
"170200 ARAGUACU";-;30;74;104;37;16;10;1;1;-;3;30;86;392
"170210 ARAGUAINA";-;89;45;65;83;100;65;26;33;25;26;43;55;655
"170215 ARAGUANA";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"170220 ARAGUATINS";-;3;2;11;7;4;1;-;-;2;1;2;3;36
"170230 ARAPOEMA";-;4;-;1;-;3;4;-;-;2;-;-;3;17
"170240 ARRAIAS";-;4;11;6;18;18;9;2;-;-;-;8;1;77
"170255 AUGUSTINOPOLIS";-;1;8;3;6;1;3;2;1;-;-;-;3;28
"170270 AURORA DO TOCANTINS";-;-;-;-;-;2;-;-;-;-;-;-;-;2
"170300 BABACULANDIA";-;-;-;3;3;13;10;-;-;-;-;1;-;30
"170305 BANDEIRANTES DO TOCANTINS";-;-;2;-;-;-;-;-;-;-;-;-;-;2
"170307 BARRA DO OURO";-;-;1;1;-;-;-;-;-;-;-;-;-;2
"170310 BARROLANDIA";-;-;1;1;4;-;-;-;-;-;2;1;1;10
"170320 BERNARDO SAYAO";-;-;-;1;-;1;-;-;-;-;-;-;-;2
"170382 CACHOEIRINHA";-;-;-;-;5;1;2;-;-;2;2;-;1;13
"170384 CAMPOS LINDOS";-;1;-;-;-;-;-;-;1;1;-;-;-;3
"170386 CARIRI DO TOCANTINS";-;4;2;2;3;-;-;-;-;-;-;-;1;12
"170389 CARRASCO BONITO";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"170390 CASEARA";-;-;1;2;1;-;-;-;-;2;1;-;2;9
"170460 CHAPADA DE AREIA";-;5;1;-;-;1;-;3;-;-;1;-;-;11
"170510 CHAPADA DA NATIVIDADE";-;2;-;2;-;3;-;-;-;-;-;-;-;7
"170550 COLINAS DO TOCANTINS";-;10;16;6;7;8;6;-;-;1;-;10;21;85
"170555 COMBINADO";-;-;-;-;1;-;-;1;-;2;-;-;-;4
"170560 CONCEICAO DO TOCANTINS";-;4;1;8;7;-;1;-;-;-;-;-;1;22
"170600 COUTO MAGALHAES";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"170610 CRISTALANDIA";-;48;33;9;3;-;-;-;-;-;-;2;1;96
"170625 CRIXAS DO TOCANTINS";-;6;4;-;-;-;-;-;-;-;-;-;-;10
"170650 DARCINOPOLIS";-;-;-;2;3;1;-;-;-;-;-;-;1;7
"170700 DIANOPOLIS";-;2;5;14;38;42;20;7;3;1;1;1;-;134
"170710 DIVINOPOLIS DO TOCANTINS";-;8;11;12;4;2;1;-;-;-;2;3;4;47
"170720 DOIS IRMAOS DO TOCANTINS";-;5;4;2;1;1;-;-;-;-;-;-;-;13
"170730 DUERE";-;22;14;16;4;2;1;-;1;1;1;1;6;69
"170755 FATIMA";-;1;11;-;-;-;-;-;-;-;-;-;-;12
"170765 FIGUEIROPOLIS";-;14;6;7;2;1;-;-;-;-;-;-;2;32
"170770 FILADELFIA";-;-;2;1;-;1;-;-;1;-;-;-;-;5
"170820 FORMOSO DO ARAGUAIA";-;118;209;127;45;14;3;-;-;-;-;1;2;519
"170825 FORTALEZA DO TABOCAO";-;-;-;-;1;-;-;-;-;-;1;-;2;4
"170830 GOIANORTE";-;5;1;-;1;-;-;-;-;-;-;-;-;7
"170900 GOIATINS";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"170930 GUARAI";-;9;6;4;9;10;5;1;2;-;1;4;4;55
"170950 GURUPI";-;254;312;148;38;22;7;2;-;3;1;3;24;814
"171050 ITACAJA";-;1;6;3;1;5;-;-;1;-;2;7;9;35
"171070 ITAGUATINS";-;-;-;1;1;-;-;-;-;-;-;1;3;6
"171090 ITAPIRATINS";-;-;-;-;-;-;-;-;1;-;-;1;-;2
"171110 ITAPORA DO TOCANTINS";-;1;8;7;8;3;-;-;-;-;-;1;-;28
"171150 JAU DO TOCANTINS";-;16;-;-;-;-;-;-;-;-;-;-;2;18
"171190 LAGOA DA CONFUSAO";-;-;-;2;3;-;-;-;-;-;-;-;-;5
"171195 LAGOA DO TOCANTINS";-;-;-;-;3;-;-;-;-;-;1;-;-;4
"171200 LAJEADO";-;7;31;11;-;-;-;-;-;-;-;-;1;50
"171245 LUZINOPOLIS";-;1;1;3;2;-;-;-;-;-;-;-;-;7
"171250 MARIANOPOLIS DO TOCANTINS";-;1;1;-;-;-;-;-;-;-;-;-;-;2
"171280 MAURILANDIA DO TOCANTINS";-;7;9;3;5;-;-;1;-;-;-;-;-;25
"171320 MIRACEMA DO TOCANTINS";-;47;44;29;18;12;9;5;4;5;7;28;37;245
"171330 MIRANORTE";-;11;7;7;11;7;-;-;1;-;8;9;14;75
"171360 MONTE DO CARMO";-;-;-;-;1;-;1;1;-;-;-;-;-;3
"171380 PALMEIRAS DO TOCANTINS";-;1;3;3;15;5;1;-;1;-;-;2;2;33
"171395 MURICILANDIA";-;-;1;1;-;-;-;-;-;-;-;-;-;2
"171420 NATIVIDADE";-;3;3;2;10;4;3;-;-;-;-;-;-;25
"171488 NOVA OLINDA";-;-;-;1;1;2;-;-;1;-;-;-;-;5
"171500 NOVA ROSALANDIA";-;1;-;1;4;-;-;-;-;-;-;1;-;7
"171510 NOVO ACORDO";-;1;1;-;-;1;-;-;-;-;-;-;-;3
"171515 NOVO ALEGRE";-;-;1;10;16;5;-;-;-;-;-;-;-;32
"171525 NOVO JARDIM";-;-;-;2;1;1;-;1;-;-;-;-;-;5
"171575 PALMEIROPOLIS";-;17;30;40;34;24;3;-;1;1;-;1;-;151
"171610 PARAISO DO TOCANTINS";-;11;25;17;27;8;4;6;2;1;4;3;15;123
