2016
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/denguebbr.def
"Município de residência";"Em Branco/ign";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Semana 44";"Semana 45";"Semana 46";"Semana 47";"Semana 48";"Semana 49";"Semana 50";"Semana 51";"Semana 52";"Semana 53";"Total"
"110090 CASTANHEIRAS";-;4;7;4;1;5;6;7;2;8;5;1;5;4;4;4;2;1;2;2;3;2;2;-;-;1;3;-;1;-;-;-;-;1;-;1;-;1;-;-;1;1;1;1;6;3;-;5;4;7;5;-;1;-;124
"110092 CHUPINGUAIA";-;18;12;20;10;10;18;26;21;37;32;15;17;17;19;14;16;19;13;17;14;16;10;5;10;5;5;9;8;5;7;1;3;3;-;4;6;-;1;3;1;3;1;2;2;1;5;6;-;3;3;1;2;1;497
"110094 CUJUBIM";-;11;9;14;6;35;34;37;14;13;16;19;20;16;10;14;9;4;9;4;13;6;1;4;2;4;3;2;3;1;4;2;2;4;1;1;-;1;1;3;1;1;3;1;-;2;3;7;14;7;11;16;16;-;434
"110100 GOVERNADOR JORGE TEIXEIRA";-;6;2;1;4;5;2;3;3;3;3;1;1;4;-;1;2;-;1;2;3;2;-;-;-;3;4;2;12;2;-;2;2;-;1;-;5;7;6;15;3;4;5;7;8;7;10;14;5;4;12;7;10;-;206
"110110 ITAPUA DO OESTE";-;12;14;15;24;19;24;25;26;31;22;20;20;11;10;8;3;-;5;10;5;17;10;7;11;4;12;8;7;8;5;2;3;3;3;2;1;3;2;2;-;-;1;1;-;-;-;22;11;5;4;4;9;-;471
"110120 MINISTRO ANDREAZZA";-;15;10;7;12;6;13;4;7;1;11;6;7;8;9;3;4;2;4;2;4;1;3;1;2;1;1;-;1;2;1;1;-;-;-;-;-;-;2;-;-;-;-;2;1;-;1;1;4;5;12;3;2;-;182
"110130 MIRANTE DA SERRA";-;4;7;9;12;6;7;20;10;4;1;4;4;5;9;12;7;4;7;2;2;5;3;8;6;6;5;1;5;1;7;6;3;2;-;-;4;-;1;1;2;-;-;-;1;-;-;3;-;-;3;20;7;-;236
"110140 MONTE NEGRO";-;31;16;18;11;13;22;27;11;14;17;14;17;27;14;14;12;4;6;7;4;2;4;4;10;3;6;1;2;6;-;1;2;3;1;1;3;1;1;1;2;2;7;9;17;17;48;44;42;38;23;15;19;-;634
"110143 NOVA UNIAO";-;-;2;-;1;1;1;3;1;2;4;4;3;3;6;2;-;2;2;6;1;-;2;4;1;-;2;1;1;-;-;1;-;-;-;-;-;1;-;-;1;-;-;-;-;-;1;-;1;1;-;1;-;-;62
"110145 PARECIS";-;5;10;31;14;16;18;19;8;10;17;9;12;13;12;8;8;1;1;2;3;1;2;8;2;4;-;1;-;1;-;-;1;3;1;1;-;3;3;4;-;2;2;2;2;-;3;1;3;8;-;6;2;3;286
"110146 PIMENTEIRAS DO OESTE";-;2;4;12;9;4;15;14;16;7;7;5;12;2;2;2;1;2;1;2;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;2;2;-;-;3;-;130
"110147 PRIMAVERA DE RONDONIA";-;11;5;9;4;4;4;-;8;4;4;11;7;5;1;-;-;1;1;-;2;-;2;-;-;-;1;-;-;-;1;1;2;3;6;5;4;2;4;5;5;4;11;9;7;13;14;13;18;18;19;18;6;-;272
"110148 SAO FELIPE D'OESTE";-;9;12;10;11;11;11;12;8;8;1;6;6;5;5;8;8;8;7;7;3;5;3;6;7;7;11;8;4;8;3;2;-;1;1;5;3;3;3;-;3;3;2;-;2;3;6;5;3;5;4;1;4;-;277
"110149 SAO FRANCISCO DO GUAPORE";-;16;24;14;12;23;24;26;21;19;26;28;23;15;12;16;24;25;27;21;26;16;12;7;10;15;9;8;3;4;6;4;2;4;4;6;2;4;4;1;2;4;3;-;1;1;5;2;6;7;5;4;8;-;591
"110150 SERINGUEIRAS";-;3;18;51;46;33;37;60;23;42;34;25;30;24;24;13;7;18;16;13;6;6;14;8;7;6;4;2;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;2;-;2;5;8;6;-;599
"110155 TEIXEIROPOLIS";-;-;4;3;2;2;3;-;7;6;4;3;5;4;3;2;6;5;2;1;1;-;1;1;1;-;1;-;1;-;1;-;-;-;1;-;-;1;-;-;1;-;-;1;1;1;1;2;2;2;3;1;2;-;88
"110160 THEOBROMA";-;12;14;12;15;9;6;6;5;11;7;4;5;7;2;7;4;3;2;-;1;2;-;-;1;1;-;1;-;-;-;-;1;-;-;1;-;-;1;2;-;-;1;-;-;-;2;3;1;-;10;10;2;-;171
"110170 URUPA";-;5;12;6;8;5;8;7;5;4;6;9;4;3;3;4;-;-;4;2;2;-;-;1;2;-;1;3;-;-;-;1;1;1;-;-;1;-;-;-;-;-;1;-;-;-;-;-;3;5;7;8;3;-;135
"110175 VALE DO ANARI";-;9;13;13;12;10;8;8;3;8;4;3;9;10;6;12;9;8;6;4;3;6;3;1;4;2;5;1;2;5;4;-;1;1;-;5;-;1;-;-;-;-;-;-;2;3;3;2;1;-;5;5;9;-;229
"110180 VALE DO PARAISO";-;2;3;4;13;17;6;21;6;12;25;15;15;16;10;15;12;11;4;4;4;2;9;2;3;3;1;1;3;1;5;1;-;1;2;-;-;-;4;1;-;-;-;2;-;-;1;-;-;-;3;3;2;-;265
"120001 ACRELANDIA";-;32;36;32;31;40;19;17;10;12;13;9;14;7;8;16;4;8;8;8;2;4;7;4;3;1;3;1;2;2;4;1;-;3;1;-;-;2;1;4;7;8;12;6;10;6;19;6;14;14;12;19;11;-;513
"120005 ASSIS BRASIL";-;126;134;150;138;188;144;130;88;96;74;82;87;40;38;32;38;17;18;29;16;14;8;15;1;2;1;9;4;3;7;1;4;4;4;8;4;3;6;3;11;11;11;24;27;32;32;40;30;28;89;42;84;15;2242
"120010 BRASILEIA";-;403;308;255;192;74;69;79;53;61;79;41;33;36;18;23;24;17;18;14;8;15;11;12;8;7;5;10;10;13;7;5;8;3;8;8;5;6;9;4;11;5;12;16;27;32;22;27;46;77;118;194;204;23;2773
"120013 BUJARI";-;32;20;21;30;37;38;45;33;35;28;12;11;7;10;6;10;3;4;6;3;2;3;3;5;2;1;2;4;5;3;1;2;3;1;2;2;-;1;5;2;2;4;3;4;8;2;7;2;13;28;15;10;-;538
"120017 CAPIXABA";-;23;17;22;13;16;10;11;14;14;16;23;11;5;12;19;22;10;7;7;6;3;4;2;1;2;1;1;1;1;1;2;4;-;4;-;2;3;5;2;1;9;9;6;10;12;18;49;63;65;64;14;11;-;648
"120020 CRUZEIRO DO SUL";-;627;807;678;442;422;347;336;241;250;219;195;174;135;154;151;156;97;125;147;178;156;132;107;88;68;58;71;83;77;54;77;41;54;46;39;47;53;46;57;73;107;175;170;186;332;357;451;444;506;554;442;359;16;11407
"120025 EPITACIOLANDIA";-;254;202;169;130;63;71;52;60;71;70;56;49;53;58;66;40;29;21;26;18;15;16;11;10;4;11;5;11;12;5;11;6;14;4;6;10;11;9;11;10;11;12;23;23;30;37;41;51;73;77;106;101;17;2352
"120030 FEIJO";-;93;104;95;86;67;91;56;59;49;28;26;12;15;5;16;32;17;35;24;19;14;16;20;20;14;8;10;6;13;18;13;13;6;15;22;26;68;95;84;99;98;112;129;168;210;208;221;211;125;136;44;19;-;3190
"120032 JORDAO";-;-;1;1;1;1;2;1;2;-;-;1;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;13
"120033 MANCIO LIMA";-;84;87;39;32;54;36;45;37;47;39;34;24;25;25;20;21;24;17;15;23;20;15;8;7;7;10;9;15;7;10;15;20;18;12;12;10;38;48;20;18;19;41;60;50;55;82;108;131;114;53;51;41;1;1853
"120034 MANOEL URBANO";-;8;2;12;7;9;8;5;3;28;10;10;5;5;7;3;7;9;11;18;12;30;20;13;11;6;10;5;3;1;5;4;1;2;3;2;2;5;2;1;6;13;38;48;78;53;28;6;23;12;12;6;3;-;631
"120035 MARECHAL THAUMATURGO";-;54;69;94;101;92;44;51;50;38;21;27;18;10;18;20;16;19;25;34;22;8;4;2;4;1;1;2;1;2;2;2;4;4;4;2;4;7;4;1;2;3;7;8;12;18;41;53;72;91;64;70;58;18;1399
"120038 PLACIDO DE CASTRO";-;134;108;50;40;34;33;27;20;22;19;18;9;17;9;7;10;2;4;5;4;5;6;4;4;6;3;6;7;1;4;3;2;4;2;3;2;9;8;14;8;14;16;22;36;44;57;63;58;61;148;207;139;2;1540
"120039 PORTO WALTER";-;9;13;13;16;16;13;3;9;10;15;8;12;6;10;9;5;5;5;2;3;1;3;2;1;3;-;-;2;3;3;4;1;-;1;1;-;2;1;5;-;3;6;2;14;12;11;12;9;7;7;8;7;-;313
"120040 RIO BRANCO";-;1047;1162;1704;1519;1143;986;811;679;677;581;414;346;330;293;246;215;158;189;144;134;111;96;72;73;72;68;56;58;42;43;46;45;42;31;57;33;42;66;40;50;58;57;72;84;75;140;157;213;273;434;499;389;83;16455
"120042 RODRIGUES ALVES";-;68;81;72;89;78;65;70;80;45;39;67;41;36;27;29;17;22;33;44;37;42;28;25;16;7;10;17;12;12;19;17;21;12;8;4;11;14;6;13;17;18;9;21;25;47;56;82;89;81;74;70;49;7;1979
"120043 SANTA ROSA DO PURUS";-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;3;-;-;-;-;1;-;-;-;9
"120045 SENADOR GUIOMARD";-;109;50;34;37;16;18;8;5;3;6;6;5;6;5;8;3;3;10;10;4;2;2;-;3;1;3;2;-;3;1;1;1;1;-;-;1;3;1;1;-;3;-;1;5;1;3;13;56;104;138;75;8;-;779
"120050 SENA MADUREIRA";-;120;76;77;79;97;71;87;88;85;70;76;66;40;46;40;36;35;42;20;26;14;27;15;18;8;5;11;10;6;6;8;4;9;4;10;12;12;23;26;54;60;89;81;75;182;176;175;155;130;163;138;79;2;3064
"120060 TARAUACA";-;675;584;500;365;359;274;252;323;300;188;159;138;81;45;58;53;62;45;26;44;47;21;25;16;24;17;13;10;11;14;32;20;14;21;37;6;9;4;7;41;79;87;128;149;167;183;181;188;222;174;172;128;9;6787
"120070 XAPURI";-;145;96;163;155;157;159;156;121;111;106;79;57;73;44;50;32;32;27;28;12;16;13;14;16;8;6;7;8;17;8;11;8;12;4;4;2;7;3;3;2;6;6;14;17;16;37;49;109;290;243;131;83;24;2997
"120080 PORTO ACRE";-;33;37;54;43;53;26;42;27;27;48;72;35;19;15;9;12;11;10;12;7;7;4;6;3;2;8;5;1;1;-;3;-;5;1;3;2;2;6;5;6;14;9;14;22;9;29;32;44;49;23;32;21;2;962
"130002 ALVARAES";-;15;14;22;22;8;9;7;7;4;19;30;37;30;14;17;21;13;14;15;8;5;10;4;3;2;1;-;-;-;2;1;2;2;14;9;12;5;5;6;18;17;11;16;10;23;11;14;15;18;34;22;17;-;635
"130006 AMATURA";-;-;-;2;-;-;-;-;1;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;1;-;-;-;-;-;-;-;-;-;9
"130010 ANORI";-;-;1;-;-;-;1;-;1;1;-;-;-;-;-;-;-;-;2;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;9
"130014 APUI";-;4;3;1;1;1;-;2;-;-;2;-;1;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;1;-;-;23
"130020 ATALAIA DO NORTE";-;12;9;4;6;19;48;20;2;-;-;1;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;1;2;4;12;14;14;18;7;10;10;6;35;18;12;9;3;4;-;305
"130030 AUTAZES";-;-;-;-;1;1;3;3;9;7;1;-;1;1;-;2;-;-;-;1;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;2;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;37
"130040 BARCELOS";-;2;4;-;4;2;3;2;-;-;2;1;2;3;3;2;-;2;1;2;1;4;2;2;4;2;1;8;4;1;2;2;-;2;3;1;1;3;3;4;5;2;-;1;-;-;1;-;2;-;-;-;-;-;96
"130050 BARREIRINHA";-;1;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"130060 BENJAMIN CONSTANT";-;112;139;104;76;65;71;39;31;18;24;27;15;17;18;9;1;2;6;4;2;1;3;1;1;-;-;1;3;1;3;29;8;12;8;22;38;115;123;199;200;198;147;119;76;71;85;93;115;112;113;139;154;-;2970
"130063 BERURI";-;-;2;10;10;5;9;6;7;2;-;1;1;2;2;1;1;1;-;-;1;2;-;-;1;1;1;1;-;-;1;-;-;-;-;-;1;-;-;1;-;-;1;-;-;-;-;-;1;-;-;-;-;-;72
"130068 BOA VISTA DO RAMOS";-;2;2;3;2;5;1;-;-;-;-;1;4;2;4;5;5;2;1;2;1;1;-;-;-;-;-;1;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;48
"130070 BOCA DO ACRE";-;30;53;53;33;43;28;19;15;17;16;17;11;21;6;5;4;8;6;3;6;7;5;11;4;4;4;7;3;1;-;-;3;9;14;19;23;17;14;38;43;54;44;60;58;48;36;46;43;22;18;25;29;2;1105
"130080 BORBA";-;4;10;14;6;20;16;14;9;15;16;4;4;3;7;4;2;10;3;2;4;-;4;3;4;3;1;1;1;1;5;4;2;2;5;2;2;5;6;5;1;4;1;3;2;6;4;8;4;5;6;8;3;-;278
"130083 CAAPIRANGA";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"130090 CANUTAMA";-;-;-;1;8;7;21;7;-;4;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;53
"130100 CARAUARI";-;42;68;69;137;118;32;34;14;27;12;15;17;19;13;12;12;6;4;5;10;3;5;-;3;3;3;3;1;5;2;-;1;-;3;2;1;-;2;2;1;-;7;6;16;44;60;103;95;98;80;49;62;-;1326
"130110 CAREIRO";-;-;3;-;-;1;4;1;5;-;1;1;1;1;2;1;1;2;-;1;3;2;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;1;1;-;-;-;-;-;-;-;35
"130115 CAREIRO DA VARZEA";-;-;-;-;1;1;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"130120 COARI";-;44;37;73;100;141;153;45;19;21;20;14;15;29;25;15;10;5;1;5;4;5;1;2;4;3;1;8;20;15;15;8;3;9;7;-;1;2;-;-;1;4;8;3;-;4;8;11;11;5;23;29;14;-;1001
"130130 CODAJAS";-;4;3;3;3;1;2;-;-;1;5;6;15;16;21;6;1;-;4;4;-;1;1;-;2;-;2;1;5;2;-;5;2;-;-;-;2;1;1;-;-;-;-;-;-;-;1;1;1;-;1;4;2;-;130
"130140 EIRUNEPE";-;16;33;18;22;22;17;21;18;16;16;12;7;3;6;4;5;5;2;8;6;5;2;-;-;3;2;3;-;-;-;-;1;-;1;3;2;2;-;2;5;7;11;8;7;2;5;7;7;17;25;22;21;4;431
"130150 ENVIRA";-;27;30;33;29;39;26;10;5;11;26;19;9;6;8;8;13;14;17;4;12;3;2;2;3;1;2;7;4;1;1;-;4;-;1;1;-;-;-;-;-;-;-;1;-;1;2;-;-;-;1;1;3;4;391
"130160 FONTE BOA";-;-;1;-;-;2;-;-;-;-;-;1;-;1;-;-;1;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"130165 GUAJARA";-;69;55;67;35;29;35;31;28;36;46;37;30;17;18;19;15;19;22;26;33;32;19;43;18;17;9;21;17;17;17;8;14;13;11;13;8;11;9;12;22;37;39;43;45;38;57;78;44;47;57;45;37;-;1565
"130170 HUMAITA";-;48;54;69;52;68;72;41;41;61;39;26;34;39;32;24;37;27;30;15;13;12;11;11;6;15;12;10;4;6;2;5;2;2;2;3;9;2;5;8;4;6;7;11;8;12;18;16;10;15;19;25;27;-;1127
"130180 IPIXUNA";-;61;40;49;33;51;61;35;38;58;18;38;25;31;9;22;21;20;32;37;36;12;8;6;15;11;12;34;17;16;6;5;16;4;-;4;2;1;3;2;3;3;-;8;23;12;25;15;37;24;37;42;38;-;1156
"130185 IRANDUBA";-;8;16;14;11;19;15;19;14;23;32;41;34;29;21;24;20;27;22;23;22;18;12;8;9;10;9;12;11;13;5;3;6;3;1;4;1;2;-;5;4;2;7;1;3;1;-;2;3;2;7;4;7;-;609
"130190 ITACOATIARA";-;17;13;37;58;57;40;38;35;45;24;34;29;21;23;21;17;13;7;10;16;3;2;7;8;3;4;5;8;4;6;6;5;3;6;3;2;5;2;3;3;-;3;3;1;3;3;3;1;-;-;5;12;-;677
"130195 ITAMARATI";-;-;-;-;-;-;1;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"130200 ITAPIRANGA";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
