2024
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/denguebbr.def
"Município de residência";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Total"
"510336 CONQUISTA D'OESTE";2;2;3;3;3;-;-;13
"510337 COTRIGUACU";-;-;1;-;3;1;-;5
"510340 CUIABA";24;30;19;25;8;2;2;110
"510343 CURVELANDIA";-;-;-;-;-;1;-;1
"510350 DIAMANTINO";2;1;2;7;15;5;-;32
"510360 DOM AQUINO";2;3;5;4;4;2;-;20
"510370 FELIZ NATAL";1;1;2;2;-;8;2;16
"510385 GAUCHA DO NORTE";-;-;2;-;-;-;-;2
"510390 GENERAL CARNEIRO";-;1;2;1;17;30;14;65
"510410 GUARANTA DO NORTE";-;3;6;1;5;2;1;18
"510420 GUIRATINGA";3;2;1;4;3;1;1;15
"510452 IPIRANGA DO NORTE";-;-;-;1;-;7;7;15
"510455 ITAUBA";3;2;1;-;-;1;-;7
"510460 ITIQUIRA";-;-;-;-;-;1;-;1
"510480 JACIARA";3;6;4;11;12;4;5;45
"510510 JUARA";4;3;1;1;4;4;3;20
"510515 JUINA";1;1;3;-;4;1;1;11
"510520 JUSCIMEIRA";-;-;-;1;1;3;1;6
"510525 LUCAS DO RIO VERDE";10;1;5;5;8;16;32;77
"510550 VILA BELA DA SANTISSIMA TRINDADE";2;-;2;6;-;-;-;10
"510558 MARCELANDIA";-;1;3;7;9;7;9;36
"510560 MATUPA";-;-;4;1;-;-;-;5
"510562 MIRASSOL D'OESTE";1;1;2;3;6;11;12;36
"510590 NOBRES";-;-;2;-;-;-;-;2
"510600 NORTELANDIA";1;-;-;-;-;-;-;1
"510610 NOSSA SENHORA DO LIVRAMENTO";1;-;-;2;1;-;-;4
"510615 NOVA BANDEIRANTES";-;1;4;2;5;4;-;16
"510617 NOVA NAZARE";-;-;-;2;-;2;-;4
"510618 NOVA LACERDA";1;1;-;1;5;4;4;16
"510619 NOVA SANTA HELENA";-;1;-;-;1;3;2;7
"510620 NOVA BRASILANDIA";3;3;6;-;-;-;-;12
"510621 NOVA CANAA DO NORTE";-;-;-;1;1;-;-;2
"510622 NOVA MUTUM";3;6;20;19;39;45;3;135
"510623 NOVA OLIMPIA";-;7;5;1;5;-;1;19
"510625 NOVA XAVANTINA";3;-;-;1;2;1;1;8
"510626 NOVO MUNDO";-;1;1;8;4;8;7;29
"510627 NOVO HORIZONTE DO NORTE";1;-;-;2;-;2;-;5
"510628 NOVO SAO JOAQUIM";-;-;-;2;-;-;-;2
"510629 PARANAITA";10;4;6;13;12;38;12;95
"510630 PARANATINGA";5;4;8;11;18;22;13;81
"510637 PEDRA PRETA";1;2;2;5;8;4;2;24
"510642 PEIXOTO DE AZEVEDO";19;22;23;43;46;34;18;205
"510645 PLANALTO DA SERRA";-;-;3;1;-;5;6;15
"510665 PONTAL DO ARAGUAIA";2;3;5;1;10;7;9;37
"510670 PONTE BRANCA";8;7;9;1;-;-;-;25
"510675 PONTES E LACERDA";22;18;20;18;28;16;4;126
"510677 PORTO ALEGRE DO NORTE";-;-;1;3;1;-;-;5
"510680 PORTO DOS GAUCHOS";-;-;-;-;-;1;-;1
"510682 PORTO ESPERIDIAO";-;-;-;-;1;-;-;1
"510685 PORTO ESTRELA";-;1;-;-;-;-;-;1
"510700 POXOREO";-;-;4;-;1;2;-;7
"510704 PRIMAVERA DO LESTE";42;59;95;107;87;119;7;516
"510706 QUERENCIA";1;-;1;-;-;-;-;2
"510715 RESERVA DO CABACAL";-;-;-;-;1;2;-;3
"510718 RIBEIRAO CASCALHEIRA";-;-;-;-;3;-;-;3
"510719 RIBEIRAOZINHO";1;1;2;-;-;1;-;5
"510724 SANTA CARMEM";-;-;2;1;-;1;-;4
"510726 SANTO AFONSO";-;-;-;-;-;1;1;2
"510730 SAO JOSE DO RIO CLARO";-;1;1;1;3;1;3;10
"510735 SAO JOSE DO XINGU";-;-;2;-;-;-;-;2
"510740 SAO PEDRO DA CIPA";-;-;-;-;1;-;-;1
"510760 RONDONOPOLIS";13;18;13;20;20;17;1;102
"510770 ROSARIO OESTE";-;1;1;-;-;-;-;2
"510774 SANTA CRUZ DO XINGU";-;-;-;2;2;2;-;6
"510776 SANTA RITA DO TRIVELATO";-;1;-;1;-;1;3;6
"510777 SANTA TEREZINHA";1;-;1;-;-;-;-;2
"510780 SANTO ANTONIO DO LEVERGER";2;3;1;2;-;-;-;8
"510785 SAO FELIX DO ARAGUAIA";-;5;1;-;1;3;1;11
"510787 SAPEZAL";2;1;2;5;3;1;-;14
"510790 SINOP";7;11;12;11;28;90;25;184
"510792 SORRISO";5;-;4;20;25;22;11;87
"510794 TABAPORA";-;-;2;-;-;-;4;6
"510795 TANGARA DA SERRA";66;43;130;218;298;186;53;994
"510800 TAPURAH";-;-;2;1;-;1;-;4
"510805 TERRA NOVA DO NORTE";31;26;20;30;14;18;2;141
"510820 TORIXOREU";-;1;1;1;-;-;-;3
"510830 UNIAO DO SUL";-;1;1;-;-;-;-;2
"510835 VALE DE SAO DOMINGOS";2;-;-;-;-;-;-;2
"510840 VARZEA GRANDE";7;11;6;16;4;51;23;118
"510850 VERA";1;1;-;-;-;-;-;2
"510860 VILA RICA";4;-;3;5;-;-;-;12
"510880 NOVA GUARITA";48;48;41;19;10;3;-;169
"510895 NOVA MONTE VERDE";-;1;1;-;-;-;1;3
"520005 ABADIA DE GOIAS";1;-;7;15;8;6;-;37
"520010 ABADIANIA";5;8;14;6;18;30;12;93
"520013 ACREUNA";1;-;2;5;16;20;7;51
"520015 ADELANDIA";1;-;1;2;2;2;-;8
"520017 AGUA FRIA DE GOIAS";1;4;3;5;18;1;1;33
"520020 AGUA LIMPA";-;-;-;3;3;1;-;7
"520025 AGUAS LINDAS DE GOIAS";713;484;242;244;92;72;24;1871
"520030 ALEXANIA";23;57;99;112;280;261;50;882
"520050 ALOANDIA";-;-;-;-;-;1;-;1
"520055 ALTO HORIZONTE";15;3;2;12;11;6;17;66
"520060 ALTO PARAISO DE GOIAS";10;8;21;31;30;37;12;149
"520080 ALVORADA DO NORTE";-;-;7;5;11;6;5;34
"520082 AMARALINA";-;1;4;3;5;6;1;20
"520085 AMERICANO DO BRASIL";-;-;-;-;-;2;-;2
"520090 AMORINOPOLIS";-;-;-;2;2;6;5;15
"520110 ANAPOLIS";315;304;548;763;1231;919;170;4250
"520130 ANICUNS";-;3;3;9;28;29;16;88
"520140 APARECIDA DE GOIANIA";308;343;429;506;496;568;172;2822
"520150 APORE";1;-;2;7;1;10;-;21
"520160 ARACU";5;2;1;3;8;4;-;23
"520170 ARAGARCAS";2;-;8;4;3;4;2;23
"520180 ARAGOIANIA";1;-;2;1;9;8;2;23
"520215 ARAGUAPAZ";2;2;-;2;1;4;1;12
"520235 ARENOPOLIS";1;1;-;4;1;11;6;24
"520250 ARUANA";-;1;-;2;-;-;-;3
"520260 AURILANDIA";24;10;34;57;49;41;10;225
"520280 AVELINOPOLIS";-;-;-;-;-;2;1;3
"520310 BALIZA";2;-;-;-;2;-;-;4
"520320 BARRO ALTO";4;5;7;17;42;32;14;121
"520330 BELA VISTA DE GOIAS";1;3;2;3;9;5;2;25
"520340 BOM JARDIM DE GOIAS";1;4;5;10;12;17;5;54
"520350 BOM JESUS DE GOIAS";-;-;-;10;8;6;-;24
"520355 BONFINOPOLIS";15;20;16;40;5;4;-;100
"520357 BONOPOLIS";-;-;-;1;-;1;-;2
"520360 BRAZABRANTES";-;1;1;3;4;5;-;14
"520380 BRITANIA";1;4;4;15;19;33;20;96
"520390 BURITI ALEGRE";4;2;6;5;8;7;-;32
"520393 BURITI DE GOIAS";1;1;2;2;5;2;2;15
"520396 BURITINOPOLIS";-;-;2;2;3;5;6;18
"520400 CABECEIRAS";2;1;4;4;4;13;10;38
"520410 CACHOEIRA ALTA";-;-;-;-;3;1;1;5
"520420 CACHOEIRA DE GOIAS";-;-;-;1;3;-;-;4
"520425 CACHOEIRA DOURADA";-;-;1;-;1;-;-;2
"520430 CACU";1;-;-;-;1;1;-;3
"520440 CAIAPONIA";21;22;29;34;35;40;16;197
"520450 CALDAS NOVAS";20;48;53;53;130;246;133;683
"520455 CALDAZINHA";-;1;-;4;1;-;-;6
"520460 CAMPESTRE DE GOIAS";-;-;-;2;3;4;-;9
"520465 CAMPINACU";-;1;1;1;3;7;-;13
"520470 CAMPINORTE";19;10;17;34;43;84;33;240
"520480 CAMPO ALEGRE DE GOIAS";2;1;-;1;-;1;-;5
"520485 CAMPO LIMPO DE GOIAS";3;9;8;9;27;19;7;82
"520490 CAMPOS BELOS";2;1;4;22;33;50;25;137
"520495 CAMPOS VERDES";-;1;-;1;-;-;-;2
"520500 CARMO DO RIO VERDE";1;-;1;4;-;5;4;15
"520510 CATALAO";20;24;74;184;166;139;37;644
"520520 CATURAI";-;1;1;-;1;-;-;3
"520530 CAVALCANTE";2;14;18;15;28;36;20;133
"520540 CERES";9;5;16;17;36;51;16;150
"520545 CEZARINA";1;1;1;1;3;2;2;11
"520547 CHAPADAO DO CEU";4;5;4;12;9;6;8;48
"520549 CIDADE OCIDENTAL";41;48;78;138;78;50;14;447
"520551 COCALZINHO DE GOIAS";82;96;110;128;110;63;8;597
"520552 COLINAS DO SUL";3;8;9;8;15;9;1;53
"520570 CORREGO DO OURO";-;-;1;1;2;1;1;6
"520580 CORUMBA DE GOIAS";3;2;4;9;23;20;2;63
"520590 CORUMBAIBA";1;2;1;6;4;17;38;69
"520620 CRISTALINA";35;70;109;168;199;62;2;645
"520630 CRISTIANOPOLIS";1;-;-;3;2;3;1;10
"520640 CRIXAS";5;3;1;1;2;5;2;19
"520650 CROMINIA";-;1;5;1;3;5;1;16
"520660 CUMARI";1;-;2;3;2;1;1;10
"520670 DAMIANOPOLIS";-;2;6;4;6;11;2;31
"520680 DAMOLANDIA";-;-;-;2;-;4;1;7
"520690 DAVINOPOLIS";-;-;-;6;1;2;1;10
"520710 DIORAMA";1;-;4;1;3;-;1;10
"520725 DOVERLANDIA";-;1;3;17;11;27;11;70
"520735 EDEALINA";-;2;4;6;5;6;3;26
"520740 EDEIA";1;7;6;24;30;42;41;151
"520750 ESTRELA DO NORTE";-;4;8;8;9;2;1;32
"520753 FAINA";-;-;1;1;2;2;-;6
"520760 FAZENDA NOVA";-;-;1;1;4;4;2;12
"520780 FIRMINOPOLIS";1;-;1;1;23;28;11;65
"520790 FLORES DE GOIAS";1;1;3;3;1;2;-;11
"520800 FORMOSA";29;42;77;134;212;267;196;957
"520810 FORMOSO";3;3;1;-;3;9;1;20
"520815 GAMELEIRA DE GOIAS";-;2;-;-;3;3;-;8
"520830 DIVINOPOLIS DE GOIAS";2;2;5;9;18;-;-;36
"520840 GOIANAPOLIS";2;2;1;7;8;13;22;55
"520850 GOIANDIRA";-;2;1;2;-;1;-;6
"520860 GOIANESIA";4;16;11;32;37;27;10;137
"520870 GOIANIA";352;447;542;714;1077;1007;346;4485
"520880 GOIANIRA";1;5;7;12;15;20;4;64
"520890 GOIAS";9;4;15;15;14;6;7;70
"520910 GOIATUBA";6;9;11;25;31;35;23;140
"520915 GOUVELANDIA";3;-;2;4;5;1;-;15
"520920 GUAPO";6;5;13;7;9;3;-;43
"520929 GUARAITA";-;1;1;-;-;1;1;4
"520940 GUARANI DE GOIAS";-;2;9;11;9;6;8;45
"520945 GUARINOS";1;-;-;-;1;-;1;3
"520960 HEITORAI";-;-;-;-;1;-;2;3
"520970 HIDROLANDIA";2;2;5;2;4;11;2;28
"520980 HIDROLINA";1;2;3;2;1;4;4;17
"520990 IACIARA";1;-;13;33;139;114;50;350
"520993 INACIOLANDIA";-;-;1;2;3;11;5;22
"520995 INDIARA";2;5;2;6;8;4;3;30
"521000 INHUMAS";3;13;13;39;44;57;32;201
"521010 IPAMERI";1;2;4;5;9;6;3;30
"521015 IPIRANGA DE GOIAS";4;4;15;27;26;21;20;117
"521020 IPORA";57;89;120;182;150;123;4;725
"521030 ISRAELANDIA";-;1;-;-;1;1;1;4
"521040 ITABERAI";6;9;4;10;18;24;9;80
"521056 ITAGUARI";-;1;1;4;4;22;7;39
"521060 ITAGUARU";2;3;5;7;15;13;-;45
"521080 ITAJA";-;2;1;-;-;-;1;4
"521090 ITAPACI";3;2;6;6;23;22;6;68
"521100 ITAPIRAPUA";1;-;-;2;2;-;-;5
"521120 ITAPURANGA";2;-;4;7;13;13;3;42
"521130 ITARUMA";5;3;5;2;3;-;-;18
"521140 ITAUCU";1;-;-;5;1;3;-;10
"521150 ITUMBIARA";1;6;16;8;13;5;2;51
"521160 IVOLANDIA";1;-;-;4;3;11;2;21
"521170 JANDAIA";1;-;-;-;3;2;2;8
"521180 JARAGUA";4;4;10;14;60;77;62;231
"521190 JATAI";361;365;385;533;576;396;117;2733
"521200 JAUPACI";-;1;1;-;1;4;-;7
"521205 JESUPOLIS";-;-;1;4;1;2;-;8
"521210 JOVIANIA";1;-;1;-;1;-;2;5
"521220 JUSSARA";-;3;8;7;15;19;10;62
"521225 LAGOA SANTA";-;-;-;1;-;-;-;1
"521230 LEOPOLDO DE BULHOES";-;1;-;5;9;6;2;23
"521250 LUZIANIA";130;190;213;326;609;185;44;1697
"521260 MAIRIPOTABA";-;-;1;-;-;-;-;1
"521270 MAMBAI";-;-;-;-;1;1;-;2
"521280 MARA ROSA";35;34;27;51;42;17;-;206
"521290 MARZAGAO";1;1;1;2;2;-;-;7
"521295 MATRINCHA";-;-;-;1;7;4;-;12
"521300 MAURILANDIA";-;-;-;1;3;4;-;8
"521305 MIMOSO DE GOIAS";1;4;5;18;20;10;9;67
"521308 MINACU";-;1;4;5;63;37;18;128
"521310 MINEIROS";21;45;65;131;271;188;12;733
"521350 MONTE ALEGRE DE GOIAS";-;-;-;2;4;3;2;11
"521370 MONTES CLAROS DE GOIAS";2;3;7;5;10;11;19;57
"521375 MONTIVIDIU";-;1;-;5;8;4;1;19
"521380 MORRINHOS";1;2;4;4;5;7;8;31
"521385 MORRO AGUDO DE GOIAS";-;1;-;-;6;4;6;17
"521390 MOSSAMEDES";-;-;-;3;14;7;3;27
"521400 MOZARLANDIA";1;1;3;2;-;1;-;8
"521405 MUNDO NOVO";-;-;2;2;5;6;5;20
"521410 MUTUNOPOLIS";-;-;1;-;-;-;-;1
"521440 NAZARIO";1;6;8;15;13;29;8;80
"521450 NEROPOLIS";2;-;-;12;17;9;16;56
"521460 NIQUELANDIA";3;7;6;13;32;22;12;95
"521470 NOVA AMERICA";-;-;-;-;1;-;2;3
"521480 NOVA AURORA";-;1;-;4;4;-;-;9
"521483 NOVA CRIXAS";-;1;-;2;2;3;-;8
"521486 NOVA GLORIA";-;-;2;3;8;4;2;19
"521487 NOVA IGUACU DE GOIAS";1;-;-;2;5;-;-;8
"521490 NOVA ROMA";-;1;-;-;3;5;-;9
"521500 NOVA VENEZA";-;-;5;5;16;20;8;54
"521520 NOVO BRASIL";-;-;-;-;2;5;-;7
"521523 NOVO GAMA";164;116;141;457;648;377;89;1992
"521525 NOVO PLANALTO";-;-;-;1;2;-;-;3
"521530 ORIZONA";22;29;22;43;70;58;32;276
"521540 OURO VERDE DE GOIAS";2;2;1;5;2;-;1;13
"521550 OUVIDOR";14;18;16;34;28;11;1;122
"521560 PADRE BERNARDO";101;144;135;97;243;216;141;1077
"521565 PALESTINA DE GOIAS";-;-;-;1;2;2;2;7
"521570 PALMEIRAS DE GOIAS";2;4;1;1;2;15;2;27
"521580 PALMELO";-;1;2;-;-;-;-;3
"521590 PALMINOPOLIS";-;-;-;-;1;2;5;8
"521600 PANAMA";-;-;-;-;1;-;-;1
"521630 PARANAIGUARA";-;2;5;1;7;13;6;34
"521640 PARAUNA";2;6;11;40;46;33;2;140
"521645 PEROLANDIA";10;12;17;30;27;9;-;105
"521680 PETROLINA DE GOIAS";1;7;5;10;7;7;3;40
"521690 PILAR DE GOIAS";1;1;-;-;1;3;-;6
"521710 PIRACANJUBA";-;2;1;4;4;2;-;13
"521720 PIRANHAS";2;2;-;-;1;-;-;5
"521730 PIRENOPOLIS";6;13;16;37;70;78;18;238
"521740 PIRES DO RIO";5;7;10;12;27;21;12;94
"521760 PLANALTINA";18;44;67;90;267;204;20;710
"521770 PONTALINA";-;3;-;3;7;6;1;20
"521800 PORANGATU";4;2;2;8;12;51;13;92
"521805 PORTEIRAO";2;3;3;1;-;-;-;9
"521830 POSSE";14;16;30;47;75;68;43;293
"521839 PROFESSOR JAMIL";1;1;2;-;5;4;4;17
"521850 QUIRINOPOLIS";1;2;5;3;2;4;2;19
"521860 RIALMA";2;10;7;24;31;16;5;95
"521870 RIANAPOLIS";2;1;-;1;1;6;6;17
"521878 RIO QUENTE";-;1;1;7;3;9;5;26
"521880 RIO VERDE";15;37;38;98;160;210;73;631
"521890 RUBIATABA";1;2;5;6;10;9;5;38
"521900 SANCLERLANDIA";11;31;76;77;119;84;60;458
"521910 SANTA BARBARA DE GOIAS";1;5;-;-;6;2;6;20
"521920 SANTA CRUZ DE GOIAS";-;-;1;-;-;-;-;1
"521925 SANTA FE DE GOIAS";-;-;-;-;-;2;-;2
"521930 SANTA HELENA DE GOIAS";10;16;18;23;34;20;7;128
"521935 SANTA ISABEL";4;10;4;13;28;9;8;76
"521940 SANTA RITA DO ARAGUAIA";2;6;10;8;19;8;4;57
"521945 SANTA RITA DO NOVO DESTINO";-;1;1;1;-;-;-;3
"521950 SANTA ROSA DE GOIAS";-;-;1;1;1;5;1;9
"521960 SANTA TEREZA DE GOIAS";-;2;1;-;2;3;1;9
"521970 SANTA TEREZINHA DE GOIAS";5;2;6;9;18;6;9;55
"521971 SANTO ANTONIO DA BARRA";-;-;1;1;3;2;8;15
"521973 SANTO ANTONIO DE GOIAS";2;2;1;11;22;27;8;73
"521975 SANTO ANTONIO DO DESCOBERTO";69;34;33;46;191;151;2;526
"521980 SAO DOMINGOS";4;8;21;18;67;43;5;166
"521990 SAO FRANCISCO DE GOIAS";-;2;1;2;7;13;-;25
"522000 SAO JOAO D'ALIANCA";2;2;6;2;14;3;3;32
"522005 SAO JOAO DA PARAUNA";-;2;-;7;6;6;7;28
"522010 SAO LUIS DE MONTES BELOS";5;3;4;17;55;48;43;175
"522015 SAO LUIZ DO NORTE";-;-;-;-;10;20;4;34
"522020 SAO MIGUEL DO ARAGUAIA";27;35;50;41;48;31;9;241
"522026 SAO MIGUEL DO PASSA QUATRO";-;-;2;3;4;7;2;18
"522028 SAO PATRICIO";-;-;-;1;-;2;1;4
"522040 SAO SIMAO";3;5;9;7;19;26;10;79
"522045 SENADOR CANEDO";7;15;15;21;33;33;7;131
"522050 SERRANOPOLIS";21;9;14;18;7;3;-;72
"522060 SILVANIA";5;12;16;35;46;74;48;236
"522068 SIMOLANDIA";-;-;2;3;8;8;11;32
"522070 SITIO D'ABADIA";-;-;-;19;25;18;21;83
"522100 TAQUARAL DE GOIAS";-;-;-;1;2;7;1;11
"522108 TERESINA DE GOIAS";-;1;2;2;3;3;2;13
"522119 TEREZOPOLIS DE GOIAS";1;1;1;5;5;5;6;24
"522130 TRES RANCHOS";1;-;4;1;9;6;4;25
"522140 TRINDADE";32;42;44;85;86;80;56;425
"522145 TROMBAS";-;2;1;1;1;2;-;7
"522150 TURVANIA";-;-;2;1;3;11;3;20
"522155 TURVELANDIA";-;-;-;-;-;13;19;32
"522157 UIRAPURU";-;2;-;-;3;6;-;11
"522160 URUACU";58;55;107;123;134;125;9;611
"522170 URUANA";1;10;11;7;3;7;3;42
"522180 URUTAI";-;1;1;1;8;7;10;28
"522185 VALPARAISO DE GOIAS";185;224;211;256;339;243;36;1494
"522190 VARJAO";-;-;-;-;1;-;-;1
"522200 VIANOPOLIS";2;3;2;4;10;19;40;80
"522205 VICENTINOPOLIS";-;1;-;-;-;-;-;1
"522220 VILA BOA";1;-;1;-;5;1;1;9
"522230 VILA PROPICIO";2;5;5;15;17;3;4;51
"530010 BRASILIA";7796;7684;11875;17350;18032;12431;5803;80971
"Total";53118;64519;93132;127810;146977;125130;56296;666982
&
