2023
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/denguebbr.def
"Município de residência";"Em Branco/ign";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Semana 44";"Semana 45";"Semana 46";"Semana 47";"Semana 48";"Semana 49";"Semana 50";"Semana 51";"Semana 52";"Semana 53";"Total"
"110012 JI-PARANA";-;82;76;88;62;45;74;46;38;36;19;21;19;17;7;7;9;5;1;1;2;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;2;-;4;26;-;691
"110013 MACHADINHO D'OESTE";-;11;2;5;23;41;27;1;2;9;1;6;3;-;4;-;3;1;1;1;2;1;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;1;9;-;159
"110014 NOVA BRASILANDIA D'OESTE";-;5;8;14;9;9;7;7;3;5;11;6;1;2;3;1;1;-;-;2;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;2;5;-;105
"110015 OURO PRETO DO OESTE";-;1;3;5;6;6;3;2;3;-;2;2;4;5;3;2;-;2;-;1;3;2;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;61
"110018 PIMENTA BUENO";-;47;55;66;63;81;103;70;61;64;67;38;31;30;19;20;19;14;7;9;4;1;4;-;1;-;1;1;1;-;-;1;1;2;1;-;1;-;1;2;2;-;-;5;2;1;-;1;1;-;1;5;19;-;923
"110020 PORTO VELHO";-;58;57;77;87;81;66;42;44;80;69;50;47;37;33;35;25;25;27;20;18;25;16;14;10;12;14;14;16;18;8;4;8;8;4;3;2;5;2;4;5;9;10;10;5;9;5;2;11;8;15;14;20;-;1288
"110025 PRESIDENTE MEDICI";-;14;20;49;34;58;59;29;21;26;11;-;3;4;4;4;1;-;1;1;4;-;2;1;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;3;-;-;-;1;-;1;-;-;356
"110026 RIO CRESPO";-;4;8;2;-;1;-;2;5;-;2;3;1;-;2;1;2;-;4;1;1;2;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2;3;-;-;-;50
"110028 ROLIM DE MOURA";-;32;23;60;45;43;51;51;52;25;49;45;37;28;17;30;18;14;20;11;5;-;-;1;-;-;2;2;2;2;4;1;3;1;-;-;-;1;2;1;1;-;-;-;-;-;-;-;-;1;1;1;8;-;690
"110029 SANTA LUZIA D'OESTE";-;17;11;13;10;9;5;7;4;2;5;8;2;-;1;2;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;-;-;4;1;9;-;115
"110030 VILHENA";-;128;145;114;133;83;109;57;64;68;143;43;43;69;43;53;51;19;44;35;29;21;19;21;23;25;12;14;12;10;4;9;5;10;8;-;4;5;2;12;5;3;13;8;7;6;2;12;7;6;17;24;72;-;1871
"110032 SAO MIGUEL DO GUAPORE";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;1;2;1;-;1;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;12
"110033 NOVA MAMORE";-;5;14;14;28;31;22;9;11;15;24;10;6;5;4;2;2;1;3;-;2;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;214
"110034 ALVORADA D'OESTE";-;50;33;34;12;17;22;6;7;5;5;2;1;-;1;-;1;-;1;-;-;2;1;1;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;24;-;230
"110037 ALTO ALEGRE DOS PARECIS";-;1;3;1;4;3;1;1;1;3;9;7;3;4;2;2;1;7;2;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;5;9;21;23;12;4;-;-;12;3;-;-;-;-;147
"110040 ALTO PARAISO";-;4;11;3;-;3;2;1;1;-;2;6;-;-;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;-;40
"110045 BURITIS";-;7;3;7;15;18;21;3;3;4;7;2;2;2;2;5;6;4;-;-;1;-;-;1;1;1;2;-;-;1;1;-;1;1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;3;-;127
"110050 NOVO HORIZONTE DO OESTE";-;-;1;1;2;6;1;2;-;3;4;2;3;1;2;-;1;-;-;1;-;1;2;1;1;-;-;-;-;2;1;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-;-;1;-;-;-;-;42
"110060 CACAULANDIA";-;13;10;17;21;26;27;23;25;16;18;9;7;6;4;4;2;3;14;7;3;2;2;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;1;-;-;-;1;-;4;-;271
"110070 CAMPO NOVO DE RONDONIA";-;4;2;8;19;3;12;6;3;1;1;5;1;-;1;-;3;1;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;2;-;-;-;77
"110080 CANDEIAS DO JAMARI";-;5;4;2;6;-;3;2;1;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;1;-;1;1;2;1;-;-;-;1;-;-;-;1;-;-;1;-;-;-;1;-;1;-;5;-;45
"110090 CASTANHEIRAS";-;-;-;-;-;-;1;-;-;1;-;1;2;2;-;1;-;-;-;-;-;-;-;-;-;-;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"110092 CHUPINGUAIA";-;6;3;3;8;9;13;12;12;21;25;10;11;9;13;11;11;14;10;11;6;13;5;4;10;3;1;5;6;3;2;1;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;277
"110094 CUJUBIM";-;2;2;2;2;28;28;31;9;8;10;12;11;9;4;7;5;2;8;1;10;3;-;4;1;3;1;-;2;-;3;-;1;-;-;-;-;-;-;1;-;-;2;-;-;1;-;-;-;-;-;1;5;-;219
"110100 GOVERNADOR JORGE TEIXEIRA";-;6;2;1;3;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;4;-;20
"110110 ITAPUA DO OESTE";-;10;12;11;18;10;12;17;13;20;12;14;14;5;4;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;2;8;-;185
"110120 MINISTRO ANDREAZZA";-;3;-;1;4;1;2;1;4;1;5;3;2;4;2;1;-;1;3;-;1;1;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;43
"110130 MIRANTE DA SERRA";-;4;6;7;9;6;4;20;9;4;1;3;2;1;-;7;2;1;-;1;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;-;94
"110140 MONTE NEGRO";-;6;6;5;3;3;15;20;8;7;14;11;12;21;10;10;9;1;5;3;2;1;-;-;2;-;3;-;-;-;-;-;1;2;1;1;1;-;1;-;-;-;1;1;1;-;-;-;2;1;-;-;-;-;190
"110143 NOVA UNIAO";-;-;-;-;-;-;-;-;-;1;3;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"110145 PARECIS";-;2;2;7;4;2;2;-;-;2;2;1;4;7;6;4;4;-;-;1;1;-;1;3;1;4;-;-;-;-;-;-;1;-;1;-;-;3;3;1;-;2;1;-;1;-;3;1;1;4;-;1;2;-;85
"110146 PIMENTEIRAS DO OESTE";-;2;2;2;4;3;10;7;8;2;-;1;2;1;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;46
"110147 PRIMAVERA DE RONDONIA";-;2;2;4;1;2;2;-;4;2;2;7;4;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;3;5;4;4;2;4;5;5;4;8;8;5;9;8;4;2;-;2;2;1;-;120
"110148 SAO FELIPE D'OESTE";-;4;11;5;6;3;7;8;2;4;1;2;1;-;2;2;3;1;2;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;1;-;-;-;70
"110149 SAO FRANCISCO DO GUAPORE";-;11;12;7;6;8;6;10;13;7;5;18;3;4;3;3;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;121
"110150 SERINGUEIRAS";-;1;2;11;10;13;3;6;-;1;-;-;-;1;2;1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;54
"110155 TEIXEIROPOLIS";-;-;-;1;1;2;2;-;1;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"110160 THEOBROMA";-;10;14;9;12;8;3;5;4;7;6;2;3;5;-;4;-;3;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;97
"110170 URUPA";-;2;2;3;4;1;2;-;1;2;1;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;23
"110175 VALE DO ANARI";-;4;8;10;9;8;1;2;-;1;2;1;5;6;6;9;6;4;1;-;2;4;2;1;1;1;2;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;103
"110180 VALE DO PARAISO";-;1;3;4;7;6;1;4;1;-;2;4;2;3;7;6;3;1;1;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;1;2;-;64
"120001 ACRELANDIA";-;4;8;5;2;2;6;2;2;1;-;-;2;-;2;5;-;2;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;1;2;1;-;2;-;-;-;1;14;2;-;71
"120005 ASSIS BRASIL";-;94;90;88;41;30;14;27;25;34;27;51;52;18;26;10;11;6;3;6;10;4;4;10;-;-;-;1;-;-;-;-;-;1;2;1;1;-;3;-;-;1;-;1;2;-;-;3;2;2;17;17;49;-;784
"120010 BRASILEIA";-;328;250;203;136;26;17;24;14;21;40;21;13;17;2;12;11;6;12;6;5;7;4;4;3;4;1;4;2;3;1;3;4;3;5;4;1;5;3;1;3;-;6;4;6;12;7;10;16;24;60;143;141;-;1658
"120013 BUJARI";-;14;4;6;20;24;23;27;16;24;11;5;2;1;3;4;1;1;1;2;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;1;1;-;1;8;25;12;5;-;248
"120017 CAPIXABA";-;15;4;-;2;2;2;1;-;1;1;6;2;3;2;-;4;3;3;2;-;1;-;-;-;1;-;1;-;-;1;-;-;-;-;-;-;1;-;-;-;-;2;-;3;7;11;47;53;53;53;12;4;-;303
"120020 CRUZEIRO DO SUL";-;130;219;67;40;110;45;16;27;37;33;18;28;15;30;31;25;15;16;9;15;8;10;4;4;9;12;6;9;9;5;10;3;12;3;4;1;4;6;4;4;8;13;9;9;15;22;24;16;20;30;43;36;-;1298
"120025 EPITACIOLANDIA";-;175;122;92;61;16;15;6;11;12;16;15;11;17;24;22;10;13;4;8;8;4;2;-;4;3;1;-;3;2;2;2;1;1;1;2;-;2;2;1;1;2;2;6;3;1;4;4;4;8;12;54;54;-;846
"120030 FEIJO";-;57;37;37;27;19;27;14;10;3;1;4;5;11;4;16;31;14;29;15;16;10;13;13;6;10;2;2;-;2;2;-;4;-;1;1;-;-;1;1;-;-;-;2;5;55;108;156;120;40;56;16;5;-;1008
"120032 JORDAO";-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;4
"120033 MANCIO LIMA";-;26;40;13;15;18;12;15;16;22;14;1;4;10;7;10;10;10;3;1;4;3;6;4;1;3;3;2;5;2;1;3;7;4;6;2;2;3;1;-;-;-;1;-;1;-;5;2;1;1;4;4;3;-;331
"120034 MANOEL URBANO";-;1;1;4;4;3;2;1;-;4;-;2;-;1;1;1;2;1;-;1;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;4;31;54;39;12;1;1;2;-;-;-;-;178
"120035 MARECHAL THAUMATURGO";-;7;3;12;8;26;7;2;3;1;2;3;1;-;-;-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;2;-;3;1;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;4;-;91
"120038 PLACIDO DE CASTRO";-;109;62;13;4;5;1;1;-;8;6;4;5;7;4;2;1;-;2;2;-;1;-;3;1;1;1;-;1;-;-;-;-;-;1;-;-;1;-;1;1;-;-;-;-;-;-;1;4;31;127;170;104;-;685
"120039 PORTO WALTER";-;5;7;8;12;10;5;2;2;3;10;-;7;2;-;1;1;1;-;-;1;-;-;-;-;2;-;-;1;-;2;2;1;-;1;1;-;1;-;2;-;-;-;1;-;-;1;2;-;2;-;-;5;-;101
"120040 RIO BRANCO";-;435;500;778;667;368;105;27;23;27;22;33;20;32;35;49;51;25;36;20;16;17;9;12;4;3;5;8;12;7;8;5;10;3;2;12;5;6;14;7;10;8;12;16;18;25;44;53;60;113;201;162;87;1;4228
"120042 RODRIGUES ALVES";-;19;36;17;21;13;6;-;1;2;4;10;5;11;4;4;3;4;4;6;4;4;3;3;1;1;1;2;-;1;1;-;4;-;-;-;1;2;2;1;3;1;3;1;-;2;1;4;5;3;2;5;2;-;233
"120043 SANTA ROSA DO PURUS";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;3;-;-;-;-;-;-;-;-;5
"120045 SENADOR GUIOMARD";-;98;46;24;26;14;12;1;-;-;1;-;1;1;-;-;1;1;1;2;-;-;1;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;7;52;94;130;67;-;-;585
"120050 SENA MADUREIRA";-;25;4;2;5;4;6;4;5;21;15;29;28;15;22;20;15;14;18;7;11;3;4;4;4;2;3;4;3;4;3;3;4;4;2;5;5;7;11;12;28;20;16;13;7;7;15;24;10;20;75;47;24;-;663
"120060 TARAUACA";-;67;58;57;44;37;39;27;34;22;12;16;12;7;2;11;8;7;4;1;6;7;1;1;1;1;2;-;-;1;-;1;4;3;-;-;-;-;1;1;-;-;-;2;1;1;4;1;1;2;4;4;15;-;530
"120070 XAPURI";-;16;8;6;3;7;2;2;1;4;3;2;6;14;8;5;6;6;1;-;1;1;-;-;-;-;1;-;-;1;1;1;-;-;1;1;-;-;-;-;-;-;-;2;3;1;2;9;53;204;178;75;20;-;655
"120080 PORTO ACRE";-;8;9;8;6;3;2;9;7;12;28;51;20;8;-;2;3;3;2;2;1;3;-;-;1;-;-;1;-;-;-;2;-;2;-;1;-;-;1;-;-;2;-;1;-;-;-;-;2;6;9;10;3;-;228
"130002 ALVARAES";-;15;14;22;19;7;7;4;-;-;-;-;2;-;1;1;2;2;-;-;-;1;-;-;-;-;-;-;-;-;-;1;2;2;14;9;12;5;5;6;18;16;11;14;9;23;11;14;15;18;34;22;17;-;375
"130006 AMATURA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"130010 ANORI";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"130014 APUI";-;3;3;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"130020 ATALAIA DO NORTE";-;9;6;4;6;19;46;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;114
"130030 AUTAZES";-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"130040 BARCELOS";-;1;4;-;4;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;1;-;1;-;-;-;-;1;3;1;1;2;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;24
"130050 BARREIRINHA";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"130060 BENJAMIN CONSTANT";-;7;10;6;6;11;22;8;4;4;1;-;2;3;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;3;1;-;1;6;-;101
"130063 BERURI";-;-;-;5;7;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16
"130068 BOA VISTA DO RAMOS";-;1;2;3;2;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"130070 BOCA DO ACRE";-;4;5;1;-;-;1;1;-;-;-;2;-;1;1;1;-;1;1;-;-;-;-;2;1;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;2;-;-;28
"130080 BORBA";-;1;2;7;5;16;13;6;1;7;4;1;3;-;2;-;-;1;-;-;1;-;-;-;1;1;-;-;-;-;-;-;1;-;-;-;-;-;1;1;-;-;-;1;-;-;-;1;-;-;-;1;-;-;78
"130083 CAAPIRANGA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"130090 CANUTAMA";-;-;-;1;6;5;21;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40
"130100 CARAUARI";-;1;10;42;111;86;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;258
"130110 CAREIRO";-;-;1;-;-;-;1;-;2;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;7
"130115 CAREIRO DA VARZEA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"130120 COARI";-;29;25;49;74;100;99;13;-;-;-;-;-;-;-;-;-;-;-;3;3;4;1;1;2;-;-;4;12;4;6;3;-;1;2;-;-;-;-;-;-;-;-;-;-;-;2;3;8;3;20;24;14;-;509
"130130 CODAJAS";-;4;3;2;1;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;1;-;-;-;1;-;3;2;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;1;1;-;1;4;2;-;32
"130140 EIRUNEPE";-;-;-;1;7;7;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;3;-;-;1;-;-;24
"130150 ENVIRA";-;4;8;18;21;31;21;3;-;-;-;1;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;111
"130160 FONTE BOA";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"130165 GUAJARA";-;11;1;3;4;1;-;1;-;2;1;2;-;-;2;3;1;-;-;1;1;1;-;1;1;2;2;-;-;1;2;-;-;1;1;-;1;-;1;-;2;1;-;2;1;3;2;2;1;1;1;1;1;-;66
"130170 HUMAITA";-;30;23;35;34;40;38;20;16;19;6;5;4;5;2;1;3;1;4;-;1;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;4;-;1;1;1;-;-;2;1;21;-;323
"130180 IPIXUNA";-;60;40;44;28;44;52;23;20;22;7;13;11;7;5;14;17;16;25;24;14;3;1;1;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;5;8;16;-;524
"130185 IRANDUBA";-;3;8;12;5;9;1;4;-;2;3;3;2;-;1;3;4;2;5;1;9;6;4;1;3;7;3;7;8;8;3;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;1;3;-;134
"130190 ITACOATIARA";-;2;1;9;38;30;12;2;-;-;-;-;-;-;-;-;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;99
"130195 ITAMARATI";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"130210 JAPURA";-;2;7;24;14;6;13;3;-;-;-;2;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;4;5;9;12;10;43;33;48;28;18;34;30;16;-;364
"130230 JUTAI";-;27;25;47;77;52;26;35;22;5;3;2;3;17;37;18;21;21;18;22;21;17;15;20;11;21;23;18;30;21;15;7;3;10;2;4;3;5;5;4;9;4;4;4;6;5;-;7;3;3;4;7;8;-;797
